step	表示期間	相対年	単位	期間幅_年	本番フェーズ	説明
1	1年目1か月	0.08	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
2	1年目2か月	0.17	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
3	1年目3か月	0.25	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
4	1年目4か月	0.33	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
5	1年目5か月	0.42	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
6	1年目6か月	0.50	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
7	1年目7か月	0.58	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
8	1年目8か月	0.67	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
9	1年目9か月	0.75	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
10	1年目10か月	0.83	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
11	1年目11か月	0.92	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
12	1年目12か月	1.00	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
13	2年目1か月	1.08	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
14	2年目2か月	1.17	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
15	2年目3か月	1.25	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
16	2年目4か月	1.33	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
17	2年目5か月	1.42	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
18	2年目6か月	1.50	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
19	2年目7か月	1.58	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
20	2年目8か月	1.67	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
21	2年目9か月	1.75	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
22	2年目10か月	1.83	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
23	2年目11か月	1.92	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
24	2年目12か月	2.00	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
25	3年目1か月	2.08	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
26	3年目2か月	2.17	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
27	3年目3か月	2.25	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
28	3年目4か月	2.33	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
29	3年目5か月	2.42	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
30	3年目6か月	2.50	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
31	3年目7か月	2.58	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
32	3年目8か月	2.67	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
33	3年目9か月	2.75	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
34	3年目10か月	2.83	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
35	3年目11か月	2.92	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
36	3年目12か月	3.00	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
37	4年目1か月	3.08	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
38	4年目2か月	3.17	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
39	4年目3か月	3.25	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
40	4年目4か月	3.33	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
41	4年目5か月	3.42	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
42	4年目6か月	3.50	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
43	4年目7か月	3.58	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
44	4年目8か月	3.67	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
45	4年目9か月	3.75	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
46	4年目10か月	3.83	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
47	4年目11か月	3.92	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
48	4年目12か月	4.00	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
