event_id	start_step	end_step	event_type	event_name	intensity	target	direction	description
BASE01	1	10	baseline	初期適応	0.35	全員	距離測定↑ 生活不安↑	ISSでの共同生活が始まり、互いの距離感と生活ルールを探る。
OBJ07	6	100	object	持ち寄り棚	0.45	common_area	故郷共有↑ 弱い紐帯↑	共用エリアに持ち寄り棚が置かれ、写真・レシピ・手紙などを通じて背景を共有できる。
CONF01	9	10	conflict	共用部の声量	0.5	ISS07;ISS02	すれ違い↑ 会話短縮↑	明るい会話が疲れている人には負荷として伝わり、共用部で声量をめぐるすれ違いが起きる。
REPE01	11	13	repair	共用部の声量の修復	0.18	ISS07;ISS02	距離再調整↑ 継続観察↑	持ち寄り棚を使い、声量と休息合図について短く確認する。
BASE02	11	30	baseline	関係形成	0.45	全員	偶発対話↑ 小摩擦↑	共同食・作業・休息のリズムが見え始め、相性差と支え合いが同時に出る。
OBJ06	11	100	object	話しかけてOKサイン	0.4	cupola	声かけ障壁↓ 相談↑	キューポラの一席に話しかけてOKサインが置かれ、孤立者に声をかけるきっかけが生まれる。
CONF02	16	17	conflict	キューポラ声かけ	0.68	ISS03;ISS09	言い合い↑ 会話短縮↑	一人で地球を見たい人と、心配して声をかけたい人がぶつかる。
OBJ09	18	100	object	個室聖域マーク	0.42	crew_quarters	プライバシー尊重↑ 侵入不安↓	個室入口に聖域マークが置かれ、一人でいることを尊重する暗黙の合図ができる。
REPE02	18	21	repair	キューポラ声かけの修復	0.18	ISS03;ISS09	距離再調整↑ 継続観察↑	OKサインを使い、声をかける前の確認と一人でいる時間について短く確認する。
CONF03	25	26	conflict	個室待ち	0.66	ISS02;ISS05	プライバシー圧↑ 会話短縮↑	一人になりたいタイミングが重なり、個室の順番と声かけの仕方に敏感になる。
REPE03	27	30	repair	個室待ちの修復	0.18	ISS02;ISS05	距離再調整↑ 継続観察↑	個室聖域マークを使い、個室利用の順番と再開時刻を短く確認する。
OBJ03	24	100	object	リソース・スコアボード	0.38	common_area	協力可視化↑ 個人責め↓	水・酸素・食料の節約がチームスコアとして見え、個人責任ではなく共同達成として扱える。
OBJ10	28	100	object	モジュール移動投票パネル	0.35	lab_module;hab_module	移動動機↑ こもり込み↓	別モジュールへ移動した人だけが答えられる二択パネルが置かれ、ゆるい移動理由になる。
BASE03	31	60	baseline	中盤ストレス	0.6	全員	疲労↑ 孤立リスク↑	閉鎖空間の疲れ、個室需要、役割偏りが蓄積する。
CONF04	33	34	conflict	資源スコアの圧	0.55	ISS00;ISS08	責められ感↑ 会話短縮↑	資源表示が誰かを責める数字として見え始める。
