step	agent_id	module_id	x	y	stress	is_isolated	active_event_ids
1	ISS00	crew_quarters	27.72	34.17	50.9	false	
1	ISS01	common_area	47.03	48.68	63.0	false	
1	ISS02	cupola	50.87	28.8	63.2	false	
1	ISS03	crew_quarters	27.72	31.83	70.4	true	
1	ISS04	cupola	49.09	27.21	33.7	false	
1	ISS05	crew_quarters	28.31	34.95	52.9	false	
1	ISS06	crew_quarters	25.6	32.59	45.1	false	
1	ISS07	common_area	48.82	55.55	38.7	false	
1	ISS08	lab_module	74.65	49.02	61.4	false	
1	ISS09	crew_quarters	25.14	34.27	37.4	false	
2	ISS00	common_area	51.61	48.74	55.4	false	
2	ISS01	crew_quarters	25.13	34.36	56.2	false	
2	ISS02	common_area	52.99	53.32	68.5	false	
2	ISS03	crew_quarters	26.8	31.66	70.0	true	
2	ISS04	hab_module	25.57	51.23	34.1	false	
2	ISS05	exercise_area	52.17	73.14	52.6	false	
2	ISS06	exercise_area	47.72	71.34	40.2	false	
2	ISS07	exercise_area	50.46	77.0	45.5	false	
2	ISS08	crew_quarters	27.35	33.67	56.5	false	
2	ISS09	lab_module	70.59	50.52	37.2	false	
3	ISS00	common_area	51.11	48.28	53.8	false	
3	ISS01	hab_module	24.12	50.66	62.1	false	
3	ISS02	common_area	53.9	52.16	61.8	false	
3	ISS03	hab_module	25.29	45.5	73.6	false	
3	ISS04	crew_quarters	26.32	35.43	36.5	false	
3	ISS05	hab_module	29.26	48.98	57.0	false	
3	ISS06	common_area	45.83	48.4	42.4	false	
3	ISS07	crew_quarters	27.99	37.05	39.4	false	
3	ISS08	common_area	50.6	48.04	63.0	false	
3	ISS09	crew_quarters	25.34	35.31	34.0	false	
4	ISS00	crew_quarters	27.0	33.51	51.6	false	
4	ISS01	common_area	47.27	51.77	58.4	false	
4	ISS02	cupola	52.2	27.14	68.5	false	
4	ISS03	crew_quarters	25.04	32.23	67.8	true	
4	ISS04	hab_module	26.57	51.7	37.9	false	
4	ISS05	crew_quarters	27.98	33.43	55.3	false	
4	ISS06	hab_module	23.03	49.87	43.9	false	
4	ISS07	common_area	54.01	54.01	43.6	false	
4	ISS08	hab_module	26.69	48.3	56.3	false	
4	ISS09	common_area	47.86	52.46	39.6	false	
5	ISS00	lab_module	73.1	48.3	51.1	false	
5	ISS01	exercise_area	48.66	74.96	58.8	false	
5	ISS02	crew_quarters	28.95	34.15	63.2	true	
5	ISS03	exercise_area	46.86	71.14	74.6	false	
5	ISS04	exercise_area	50.31	74.58	33.5	false	
5	ISS05	hab_module	28.11	47.65	54.2	false	
5	ISS06	crew_quarters	24.62	35.15	45.2	false	
5	ISS07	common_area	55.1	52.49	42.5	false	
5	ISS08	lab_module	72.64	48.41	61.9	false	
5	ISS09	common_area	48.78	53.02	32.8	false	
6	ISS00	crew_quarters	26.33	33.57	54.3	false	
6	ISS01	lab_module	72.37	52.56	62.3	false	
6	ISS02	common_area	53.94	47.9	66.0	false	
6	ISS03	crew_quarters	24.01	33.77	68.2	true	
6	ISS04	common_area	51.08	51.74	39.8	false	
6	ISS05	cupola	50.31	25.15	51.7	false	
6	ISS06	crew_quarters	24.94	35.81	41.2	false	
6	ISS07	crew_quarters	29.57	34.85	39.7	false	
6	ISS08	common_area	48.68	48.43	58.6	false	
6	ISS09	crew_quarters	26.66	36.13	39.4	false	
7	ISS00	lab_module	72.09	48.75	55.0	false	
7	ISS01	crew_quarters	26.75	36.13	61.5	true	
7	ISS02	lab_module	75.79	47.28	66.6	false	
7	ISS03	common_area	44.34	50.4	72.9	false	
7	ISS04	lab_module	74.58	51.07	33.0	false	
7	ISS05	common_area	49.55	46.78	56.8	false	
7	ISS06	crew_quarters	25.47	36.33	41.2	false	
7	ISS07	hab_module	31.37	49.02	39.7	false	
7	ISS08	exercise_area	48.83	72.55	58.6	false	
7	ISS09	exercise_area	50.6	75.34	34.3	false	
8	ISS00	exercise_area	48.8	72.61	51.1	false	
8	ISS01	crew_quarters	27.28	36.04	59.6	true	
8	ISS02	crew_quarters	27.66	32.46	61.8	true	
8	ISS03	common_area	44.78	52.22	71.1	false	
8	ISS04	hab_module	28.35	50.58	39.0	false	
8	ISS05	common_area	48.52	47.1	50.2	false	
8	ISS06	hab_module	25.72	53.58	44.5	false	
8	ISS07	crew_quarters	29.18	33.04	42.4	false	
8	ISS08	hab_module	25.08	49.65	62.6	false	
8	ISS09	common_area	51.87	52.67	36.7	false	
9	ISS00	common_area	47.98	49.68	58.0	false	
9	ISS01	cupola	51.0	28.03	58.7	false	
9	ISS02	common_area	50.39	45.55	76.3	false	CONF01
9	ISS03	cupola	47.89	28.65	70.0	false	
9	ISS04	crew_quarters	27.77	34.52	35.9	false	
9	ISS05	cupola	48.83	25.62	57.8	false	
9	ISS06	crew_quarters	26.87	36.73	39.7	false	
9	ISS07	common_area	53.65	45.65	55.9	false	CONF01
9	ISS08	crew_quarters	25.73	34.62	62.1	true	
9	ISS09	hab_module	28.94	51.59	38.8	false	
10	ISS00	exercise_area	48.66	73.49	56.3	false	
10	ISS01	common_area	52.73	51.77	57.0	false	
10	ISS02	common_area	48.92	45.67	80.8	false	CONF01
10	ISS03	crew_quarters	25.37	36.98	71.0	true	
10	ISS04	hab_module	28.37	49.47	34.9	false	
10	ISS05	crew_quarters	25.27	33.81	53.6	false	
10	ISS06	common_area	51.67	54.14	41.0	false	
10	ISS07	common_area	52.03	44.7	57.9	false	CONF01
10	ISS08	hab_module	25.22	50.75	57.4	false	
10	ISS09	common_area	53.11	50.95	37.9	false	
11	ISS00	lab_module	71.76	50.83	57.1	false	
11	ISS01	cupola	51.58	27.14	60.7	false	
11	ISS02	common_area	47.57	46.26	60.7	false	REPA01
11	ISS03	hab_module	25.93	54.66	75.1	false	
11	ISS04	common_area	51.63	48.77	34.9	false	
11	ISS05	hab_module	24.05	49.72	53.3	false	
11	ISS06	crew_quarters	28.21	36.18	40.3	false	
11	ISS07	common_area	50.2	44.33	39.5	false	REPA01
11	ISS08	common_area	48.55	51.45	63.2	false	
11	ISS09	hab_module	29.46	49.91	33.5	false	
12	ISS00	exercise_area	49.09	74.26	53.6	false	
12	ISS01	lab_module	75.95	49.76	57.3	false	
12	ISS02	common_area	46.48	47.25	63.1	false	REPA01
12	ISS03	common_area	50.89	55.6	69.4	false	
12	ISS04	hab_module	27.7	48.59	40.4	false	
12	ISS05	common_area	46.83	50.73	51.5	false	
12	ISS06	hab_module	29.97	51.86	43.0	false	
12	ISS07	common_area	48.34	44.57	43.6	false	REPA01
12	ISS08	hab_module	26.0	51.53	60.3	false	
12	ISS09	common_area	53.04	48.83	39.3	false	
13	ISS00	crew_quarters	26.35	35.44	58.9	true	
13	ISS01	common_area	52.97	48.68	59.6	false	
13	ISS02	common_area	45.78	48.55	63.5	false	REPA01
13	ISS03	cupola	51.33	29.25	86.8	false	CONF02
13	ISS04	lab_module	73.69	48.35	36.8	false	
13	ISS05	common_area	47.24	51.72	58.7	false	
13	ISS06	lab_module	76.9	50.71	40.6	false	
13	ISS07	common_area	46.67	45.41	43.1	false	REPA01
13	ISS08	cupola	49.88	27.77	63.1	false	
13	ISS09	cupola	51.25	25.7	55.5	false	CONF02
14	ISS00	common_area	49.86	52.04	52.6	false	
14	ISS01	lab_module	75.23	48.15	64.4	false	
14	ISS02	common_area	45.54	50.0	64.2	false	
14	ISS03	cupola	52.07	28.68	88.3	false	CONF02
14	ISS04	crew_quarters	26.68	33.48	34.4	false	
14	ISS05	lab_module	71.54	52.11	54.9	false	
14	ISS06	common_area	54.42	49.38	46.2	false	
14	ISS07	cupola	47.68	25.12	40.0	false	
14	ISS08	crew_quarters	26.96	35.5	63.3	true	
14	ISS09	cupola	50.84	25.35	54.0	false	CONF02
15	ISS00	crew_quarters	27.01	35.49	53.6	false	
15	ISS01	hab_module	28.02	47.61	59.3	false	
15	ISS02	common_area	45.78	51.45	70.1	false	
15	ISS03	cupola	52.59	27.9	85.2	false	CONF02
15	ISS04	common_area	49.2	48.12	38.8	false	
15	ISS05	crew_quarters	26.19	36.03	57.3	false	
15	ISS06	crew_quarters	28.74	33.49	44.6	false	
15	ISS07	exercise_area	46.36	72.21	45.4	false	
15	ISS08	exercise_area	50.7	74.42	57.5	false	
15	ISS09	cupola	50.34	25.16	56.6	false	CONF02
16	ISS00	hab_module	27.7	51.41	53.8	false	
16	ISS01	crew_quarters	27.0	32.89	57.2	false	
16	ISS02	hab_module	23.82	52.29	65.3	false	
16	ISS03	cupola	52.83	27.0	72.0	false	REPA02
16	ISS04	crew_quarters	26.07	33.74	33.5	false	
16	ISS05	common_area	49.94	53.25	56.4	false	
16	ISS06	cupola	51.55	25.14	43.6	false	
16	ISS07	lab_module	68.53	50.25	45.2	false	
16	ISS08	cupola	50.78	27.41	61.0	false	
16	ISS09	cupola	49.8	25.13	31.3	false	REPA02
17	ISS00	lab_module	74.61	51.03	51.3	false	
17	ISS01	common_area	49.43	46.79	60.8	false	
17	ISS02	crew_quarters	25.53	36.37	68.6	true	
17	ISS03	cupola	52.75	26.06	69.8	false	REPA02
17	ISS04	exercise_area	48.81	72.59	39.1	false	
17	ISS05	exercise_area	50.67	75.31	50.8	false	
17	ISS06	exercise_area	51.26	70.55	45.5	false	
17	ISS07	exercise_area	46.49	74.67	42.3	false	
17	ISS08	crew_quarters	27.71	34.87	57.0	false	
17	ISS09	cupola	49.29	25.29	34.0	false	REPA02
18	ISS00	common_area	51.95	50.63	57.4	false	
18	ISS01	lab_module	71.93	47.63	56.7	false	
18	ISS02	common_area	48.92	54.33	67.7	false	
18	ISS03	cupola	52.38	25.21	70.4	false	REPA02
18	ISS04	crew_quarters	25.74	34.32	38.9	false	
18	ISS05	cupola	50.98	28.05	55.6	false	
18	ISS06	crew_quarters	26.98	32.28	39.5	false	
18	ISS07	crew_quarters	24.61	36.36	46.0	false	
18	ISS08	common_area	52.04	50.07	58.6	false	
18	ISS09	cupola	48.85	25.6	32.6	false	REPA02
19	ISS00	crew_quarters	27.77	34.48	54.1	false	
19	ISS01	common_area	47.58	47.82	62.2	false	
19	ISS02	cupola	50.19	28.97	62.0	false	
19	ISS03	crew_quarters	28.5	32.26	73.9	true	
19	ISS04	exercise_area	48.65	73.46	36.5	false	
19	ISS05	crew_quarters	28.1	35.41	57.3	false	
19	ISS06	cupola	49.5	24.58	42.4	false	
19	ISS07	common_area	47.16	54.91	39.6	false	
19	ISS08	lab_module	74.88	49.5	63.2	false	
19	ISS09	common_area	47.07	48.57	34.1	false	
20	ISS00	hab_module	28.35	49.42	55.1	false	
20	ISS01	common_area	47.0	48.73	63.6	false	
20	ISS02	crew_quarters	27.66	36.54	79.5	true	CONF03
20	ISS03	common_area	51.85	44.64	75.0	false	
20	ISS04	cupola	49.1	27.23	38.0	false	
20	ISS05	crew_quarters	28.32	34.92	74.6	true	CONF03
20	ISS06	cupola	48.82	24.86	43.9	false	
20	ISS07	common_area	48.92	55.57	40.8	false	
20	ISS08	hab_module	28.13	49.0	64.4	false	
20	ISS09	common_area	46.77	49.6	35.5	false	
21	ISS00	crew_quarters	27.55	33.86	57.4	false	
21	ISS01	hab_module	24.04	49.81	62.5	false	
21	ISS02	crew_quarters	28.27	36.13	85.1	true	CONF03
21	ISS03	exercise_area	50.0	69.47	69.4	false	
21	ISS04	crew_quarters	26.05	35.25	41.1	false	
21	ISS05	crew_quarters	28.37	34.39	70.7	true	CONF03
21	ISS06	crew_quarters	25.02	33.1	41.4	false	
21	ISS07	crew_quarters	27.14	37.31	42.9	false	
21	ISS08	common_area	51.17	48.32	59.2	false	
21	ISS09	common_area	46.82	50.68	41.5	false	
22	ISS00	crew_quarters	27.29	33.63	57.6	false	
22	ISS01	cupola	48.43	27.17	61.9	false	
22	ISS02	crew_quarters	28.72	35.55	86.0	true	CONF03
22	ISS03	cupola	49.08	24.07	73.5	false	
22	ISS04	common_area	49.17	51.87	35.0	false	
22	ISS05	crew_quarters	28.25	33.86	75.1	true	CONF03
22	ISS06	common_area	45.81	48.47	41.9	false	
22	ISS07	lab_module	75.4	54.21	42.8	false	
22	ISS08	crew_quarters	27.03	33.52	58.9	true	
22	ISS09	lab_module	70.92	51.4	37.0	false	
23	ISS00	exercise_area	50.31	71.92	51.1	false	
23	ISS01	crew_quarters	25.4	35.41	63.3	true	
23	ISS02	crew_quarters	28.95	34.85	63.1	true	REPA03
23	ISS03	hab_module	23.84	46.27	69.1	false	
23	ISS04	crew_quarters	26.66	35.52	36.7	false	
23	ISS05	crew_quarters	27.96	33.41	49.8	false	REPA03
23	ISS06	lab_module	69.53	49.94	46.5	false	
23	ISS07	common_area	54.08	53.94	40.2	false	
23	ISS08	lab_module	73.16	48.3	60.6	false	
23	ISS09	crew_quarters	25.7	35.75	40.4	false	
24	ISS00	cupola	49.89	25.73	55.7	false	
24	ISS01	common_area	48.04	52.6	57.2	false	
24	ISS02	crew_quarters	28.95	34.11	67.0	true	REPA03
24	ISS03	common_area	45.24	46.91	70.3	false	
24	ISS04	crew_quarters	27.0	35.49	35.7	false	
24	ISS05	crew_quarters	27.54	33.08	50.2	false	REPA03
24	ISS06	crew_quarters	24.63	35.19	41.6	false	
24	ISS07	common_area	55.14	52.4	46.2	false	
24	ISS08	hab_module	26.11	48.42	57.1	false	
24	ISS09	common_area	48.83	53.04	38.5	false	
25	ISS00	crew_quarters	26.32	33.57	51.2	false	
25	ISS01	crew_quarters	26.25	36.05	60.3	true	
25	ISS02	crew_quarters	28.7	33.42	61.1	true	REPA03
25	ISS03	hab_module	22.16	48.86	75.5	false	
25	ISS04	common_area	51.11	51.72	34.7	false	
