event_id	start_step	end_step	event_type	timeline_type	label	module_id	participant_ids	related_object_id	related_conflict_id	intensity	direction	description
BASE01	1	10	baseline	baseline	初期適応					0.35	距離測定↑ 生活不安↑	ISSでの共同生活が始まり、互いの距離感と生活ルールを探る。
CONF01	9	11	conflict	conflict	共用部の声量	common_area	ISS07;ISS02			0.52	すれ違い↑ 疲労反応↑	明るい会話が、疲れている人には負荷として伝わり、共用部で声量をめぐるすれ違いが起きる。
BASE02	11	30	baseline	baseline	関係形成					0.45	偶発対話↑ 小摩擦↑	共同食・作業・休息のリズムが見え始め、相性差と支え合いが同時に出る。
OBSA01	12	14	followup	followup	共用部の声量の追跡観測	common_area	ISS07;ISS02		CONF01	0.05	余韻観察↑ 距離測定↑	共用部の声量のあと、共同食や共用部で短い再接触、回避、沈黙のどれが出るかを観測する。会話の成否は指定しない。
CONF02	16	19	conflict	conflict	キューポラ声かけ	cupola	ISS03;ISS09			0.72	言い合い↑ 孤立反応↑	一人で地球を見たい人と、心配して声をかけたい人がぶつかる。
OBSA02	20	23	followup	followup	キューポラ声かけの追跡観測	cupola	ISS03;ISS09		CONF02	0.05	余韻観察↑ 距離測定↑	キューポラ声かけのあと、地球観測や移動のタイミングで短い再接触、回避、沈黙のどれが出るかを観測する。会話の成否は指定しない。
CONF03	25	28	conflict	conflict	個室待ち	crew_quarters	ISS02;ISS05			0.74	プライバシー圧↑ 言い合い↑	一人になりたいタイミングが重なり、個室の順番と声かけの仕方に敏感になる。
OBSA03	29	32	followup	followup	個室待ちの追跡観測	crew_quarters	ISS02;ISS05		CONF03	0.05	余韻観察↑ 距離測定↑	個室待ちのあと、同じ生活圏で短い再接触、回避、沈黙のどれが出るかを観測する。会話の成否は指定しない。
BASE03	31	60	baseline	baseline	中盤ストレス					0.6	疲労↑ 孤立リスク↑	閉鎖空間の疲れ、個室需要、役割偏りが蓄積する。
CONF04	33	36	conflict	conflict	資源スコアの圧	common_area	ISS00;ISS08			0.58	責められ感↑ 反発↑	資源表示が協力ではなく、誰かを責める数字として見え始める。
OBSA04	37	40	followup	followup	資源スコアの圧の追跡観測	common_area	ISS00;ISS08		CONF04	0.05	余韻観察↑ 距離測定↑	資源スコアの圧のあと、同じ作業手順で短い再接触、回避、沈黙のどれが出るかを観測する。会話の成否は指定しない。
CONF05	42	44	conflict	conflict	運動枠の順番	exercise_area	ISS06;ISS08			0.5	順番摩擦↑ 疲労感↑	身体ルーティンを守りたい人と、疲れて運動枠を逃したくない人の希望が重なる。
