指標ID	表示名	定義	主に効く対象	推奨範囲	観測理由
FM01	結婚意向	誰かと生活を組む未来を望む度合い	23-40	0-100	家族形成の入口
FM02	子ども意向	子どもを迎えたいと思う度合い	23-40	0-100	出生行動の入口
FM03	子育て実行可能性	所得・住居・時間・支援から見た実行可能性	23-40	0-100	意向と実行の差を見る
FM04	次世代信頼	この社会に子どもを置けると思える度合い	15-40	0-100	構造持続理論の中核指標
FM05	先送り傾向	本当は望むが今は無理として延期する度合い	23-40	0-100	少子化で重要な未達停滞
FM06	諦め傾向	望みを下げ、家族形成を断念する方向の強さ	23-40	0-100	諦念/喪失感との接続
FM07	共同養育期待	パートナー・家族・地域・制度と一緒に育てられる感覚	23-40	0-100	連帯感と制度支援の接続
FM08	家計余力知覚	住居費・教育費・雇用不安を含む家計余力の知覚	23-40	0-100	費用制約の主要経路
FM09	時間余力知覚	仕事・ケア・通勤・学習負荷を含む時間余力の知覚	23-40	0-100	子育て実行可能性の主要経路
FM10	制度支援信頼	保育・教育・医療・育休・住宅支援を頼れる感覚	23-40	0-100	政策介入の効き方を見る
