conversation_id	step	run_id	participant_ids	module_id	event_id	conversation_type	status	tone	summary	detail	evidence_message_ids	summary_source	detail_source
conv_run_e_no_conflict_step001_routine	1	run_e_no_conflict	ISS05;ISS06	common_area		routine	closed	normal	田中誠とAishaが「補給品の置き場所」を短く調整する。	common_areaでの通常会話。田中誠は「控えめ」、Aishaは「率直」。話題は「補給品の置き場所」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_e_no_conflict_step001_routine_01;msg_conv_run_e_no_conflict_step001_routine_02	scripted_summary	scripted_detail
conv_run_e_no_conflict_step002_routine	2	run_e_no_conflict	ISS05;ISS06	exercise_area		routine	closed	normal	田中誠とAishaが「身体ルーティン」を短く調整する。	exercise_areaでの通常会話。田中誠は「控えめ」、Aishaは「率直」。話題は「身体ルーティン」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_e_no_conflict_step002_routine_01;msg_conv_run_e_no_conflict_step002_routine_02	scripted_summary	scripted_detail
conv_run_e_no_conflict_step003_routine	3	run_e_no_conflict	ISS06;ISS08	common_area		routine	closed	normal	AishaとMarcusが「食事と片付け」を短く調整する。	common_areaでの通常会話。Aishaは「率直」、Marcusは「率直で揺れやすい」。話題は「食事と片付け」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_e_no_conflict_step003_routine_01;msg_conv_run_e_no_conflict_step003_routine_02	scripted_summary	scripted_detail
conv_run_e_no_conflict_step004_routine	4	run_e_no_conflict	ISS01;ISS09	common_area		routine	closed	normal	PriyaとHenriが「補給品の置き場所」を短く調整する。	common_areaでの通常会話。Priyaは「内省的」、Henriは「穏やか」。話題は「補給品の置き場所」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_e_no_conflict_step004_routine_01;msg_conv_run_e_no_conflict_step004_routine_02	scripted_summary	scripted_detail
conv_run_e_no_conflict_step005_routine	5	run_e_no_conflict	ISS01;ISS04	exercise_area		routine	closed	normal	PriyaとLinhが「運動枠」を短く調整する。	exercise_areaでの通常会話。Priyaは「内省的」、Linhは「温かい」。話題は「運動枠」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_e_no_conflict_step005_routine_01;msg_conv_run_e_no_conflict_step005_routine_02	scripted_summary	scripted_detail
conv_run_e_no_conflict_step006_routine	6	run_e_no_conflict	ISS12;ISS02	common_area		routine	closed	normal	TariqとFatimaが「食事と片付け」を短く調整する。	common_areaでの通常会話。Tariqは「短く実物で確認する」、Fatimaは「慎重」。話題は「食事と片付け」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_e_no_conflict_step006_routine_01;msg_conv_run_e_no_conflict_step006_routine_02	scripted_summary	scripted_detail
conv_run_e_no_conflict_step007_routine	7	run_e_no_conflict	ISS00;ISS04	lab_module		routine	closed	normal	陳偉とLinhが「資源残量」を短く調整する。	lab_moduleでの通常会話。陳偉は「短く控えめ」、Linhは「温かい」。話題は「資源残量」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_e_no_conflict_step007_routine_01;msg_conv_run_e_no_conflict_step007_routine_02	scripted_summary	scripted_detail
conv_run_e_no_conflict_step008_routine	8	run_e_no_conflict	ISS06;ISS08	hab_module		routine	closed	normal	AishaとMarcusが「空調と音」を短く調整する。	hab_moduleでの通常会話。Aishaは「率直」、Marcusは「率直で揺れやすい」。話題は「空調と音」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_e_no_conflict_step008_routine_01;msg_conv_run_e_no_conflict_step008_routine_02	scripted_summary	scripted_detail
conv_run_e_no_conflict_step009_routine	9	run_e_no_conflict	ISS00;ISS04	common_area		routine	closed	normal	陳偉とLinhが「共用部の声量」を短く調整する。	common_areaでの通常会話。陳偉は「短く控えめ」、Linhは「温かい」。話題は「共用部の声量」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_e_no_conflict_step009_routine_01;msg_conv_run_e_no_conflict_step009_routine_02	scripted_summary	scripted_detail
conv_run_e_no_conflict_step010_routine	10	run_e_no_conflict	ISS01;ISS09	common_area		routine	closed	normal	PriyaとHenriが「食事と片付け」を短く調整する。	common_areaでの通常会話。Priyaは「内省的」、Henriは「穏やか」。話題は「食事と片付け」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_e_no_conflict_step010_routine_01;msg_conv_run_e_no_conflict_step010_routine_02	scripted_summary	scripted_detail
