conversation_id	step	run_id	participant_ids	module_id	event_id	conversation_type	status	tone	summary	detail	evidence_message_ids	summary_source	detail_source
conv_run_a_smoke_step001_routine	1	run_a_smoke	ISS05;ISS06	common_area		routine	closed	normal	田中とAishaが補給品の置き場所を短く擦り合わせる	common_areaでの低負荷な接点。田中は控えめに切り出し、Aishaは率直に手順を提案。crew_quartersから戻る前の軽い段取り合わせで、関係性は中立だが穏やかに保たれている。	msg_conv_run_a_smoke_step001_routine_01;msg_conv_run_a_smoke_step001_routine_02;msg_conv_run_a_smoke_step001_routine_03	llm_summary	llm_detail
conv_run_a_smoke_step002_routine	2	run_a_smoke	ISS05;ISS06	exercise_area		routine	closed	normal	運動エリアで田中誠とAishaが負荷の調整を短く話す	exercise_areaにて、前ステップで物の置き方を確認し合った余韻のまま、田中誠が控えめにAishaの運動量を気にかける。Aishaは率直に自分のペースを返しつつ、田中誠にも軽く一歩を促す。深入りはしない短い接点。	msg_conv_run_a_smoke_step002_routine_01;msg_conv_run_a_smoke_step002_routine_02;msg_conv_run_a_smoke_step002_routine_03	llm_summary	llm_detail
conv_run_a_smoke_step003_routine	3	run_a_smoke	ISS06;ISS08	common_area		routine	closed	normal	AishaがMarcusに片付けの分担を短く確認する	common_areaでAisha(ISS06)が注意域のMarcus(ISS08)に夕食後の片付けを軽く打診。Marcusは負荷を抱えつつ、短い確認には応じる。長居は避け、最小限の合意で距離を保った接点になっている。	msg_conv_run_a_smoke_step003_routine_01;msg_conv_run_a_smoke_step003_routine_02;msg_conv_run_a_smoke_step003_routine_03	llm_summary	llm_detail
conv_run_a_smoke_step004_routine	4	run_a_smoke	ISS01;ISS09	common_area		routine	closed	normal	補給品の置き場所をPriyaとHenriが短く決める	common_areaで初期適応中。Priyaは注意域で長話を避けたい様子、Henriは穏やかに観察しながら受ける。補給品の戻し場所を巡る低負荷な調整で、共同生活の接点を保つ短い会話。	msg_conv_run_a_smoke_step004_routine_01;msg_conv_run_a_smoke_step004_routine_02;msg_conv_run_a_smoke_step004_routine_03	llm_summary	llm_detail
conv_run_a_smoke_step005_routine	5	run_a_smoke	ISS01;ISS04	exercise_area		routine	closed	normal	運動枠の使い方をPriyaとLinhが短く調整する	exercise_areaでの通常会話。Priyaは前ステップの片付けの余韻が残り、注意域で短い言葉に留めている。Linhは落ち着いた様子で、相手の負荷を察しながら運動枠の順番を軽く確認する。	msg_conv_run_a_smoke_step005_routine_01;msg_conv_run_a_smoke_step005_routine_02;msg_conv_run_a_smoke_step005_routine_03	llm_summary	llm_detail
conv_run_a_smoke_step006_routine	6	run_a_smoke	ISS00;ISS07	common_area		routine	closed	normal	陳偉とSofiaが片付けの分担を短く決める	common_areaで陳偉が控えめに声をかけ、Sofiaが軽い口調で応じる。前段の余韻なく、低負荷な接点として食事後の作業をその場で擦り合わせ、互いの距離を保つ。	msg_conv_run_a_smoke_step006_routine_01;msg_conv_run_a_smoke_step006_routine_02;msg_conv_run_a_smoke_step006_routine_03	llm_summary	llm_detail
conv_run_a_smoke_step007_routine	7	run_a_smoke	ISS00;ISS04	lab_module		routine	closed	normal	陳偉とLinhが資源スコアの見方を短く擦り合わせる	lab_moduleでの低負荷な接点。前ステップで陳偉はISS07と片付けを分担。今回は資源スコアを責めの材料にしないよう、Linhが受け止め、陳偉が短く頷く距離感。	msg_conv_run_a_smoke_step007_routine_01;msg_conv_run_a_smoke_step007_routine_02;msg_conv_run_a_smoke_step007_routine_03	llm_summary	llm_detail
conv_run_a_smoke_step008_routine	8	run_a_smoke	ISS02;ISS01	common_area		routine	closed	normal	FatimaとPriyaが補給品の置き場所を短く確認し合う	common_areaでの低負荷な接点。Fatimaは慎重に切り出し、Priyaは前ステップの整理経験を踏まえて控えめに応じる。両者とも注意域で、深入りせず作業の段取りだけ整える。	msg_conv_run_a_smoke_step008_routine_01;msg_conv_run_a_smoke_step008_routine_02;msg_conv_run_a_smoke_step008_routine_03	llm_summary	llm_detail
conv_run_a_smoke_step009_CONF01	9	run_a_smoke	ISS07;ISS02	common_area	CONF01	conflict	unresolved	trouble	共用部の声量でSofiaとFatimaが小さく衝突、距離を取って終わる	common_areaで疲労が溜まる中、Sofiaの明るい声がFatimaの警戒に触れる。Fatimaは弱音を出せず短く返し、Sofiaも本音を引いて場を収める。修復には至らず、互いに距離を置いたまま終わる。	msg_conv_run_a_smoke_step009_CONF01_01;msg_conv_run_a_smoke_step009_CONF01_02;msg_conv_run_a_smoke_step009_CONF01_03	llm_summary	llm_detail
conv_run_a_smoke_step009_routine	9	run_a_smoke	ISS00;ISS07	common_area		routine	closed	normal	陳偉とSofiaが補給品の置き場所を短く決める	common_areaで陳偉とSofiaが補給品の置き場所を低負荷に調整する。前ステップで皿洗いを分担した流れの延長で、声量警戒のSofiaに陳偉が控えめに尋ね、Sofiaは表現を抑えて短く返す。	msg_conv_run_a_smoke_step009_routine_01;msg_conv_run_a_smoke_step009_routine_02;msg_conv_run_a_smoke_step009_routine_03	llm_summary	llm_detail
conv_run_a_smoke_step010_CONF01	10	run_a_smoke	ISS07;ISS02	common_area	CONF01	conflict	unresolved	trouble	声量の件、Sofiaが蒸し返しFatimaが固く線を引く	common_areaで前ステップの未消化が残る。Sofiaは軽く戻そうとして本音を滲ませ、Fatimaは弱音を出せず短く距離を取る。修復には届かず、互いに目を合わせないまま会話が途切れる。	msg_conv_run_a_smoke_step010_CONF01_01;msg_conv_run_a_smoke_step010_CONF01_02;msg_conv_run_a_smoke_step010_CONF01_03	llm_summary	llm_detail
conv_run_a_smoke_step010_routine	10	run_a_smoke	ISS01;ISS09	common_area		routine	closed	normal	PriyaとHenriが食器の片付け順を短く擦り合わせる	common_areaでの夕食後。Priyaは内省的に手元を見ながら、Henriに片付けの段取りを小声で確認する。Henriは穏やかに受け、無理のない分担に落ち着ける。前ステップで棚や順番を譲り合った余韻が残る。	msg_conv_run_a_smoke_step010_routine_01;msg_conv_run_a_smoke_step010_routine_02;msg_conv_run_a_smoke_step010_routine_03	llm_summary	llm_detail
conv_run_a_smoke_step011_REPA01	11	run_a_smoke	ISS07;ISS02	common_area	REPA01	repair	repaired	repair	共用部でSofiaとFatimaが少しだけ距離を戻す	step9-10で声量を巡って気まずさが残った二人が、common_areaで短く言葉を交わす。Sofiaは謝罪の形ではなく次の振る舞いを変える宣言で、Fatimaは弱音ではなく事実だけを返し、距離が一段戻る。	msg_conv_run_a_smoke_step011_REPA01_01;msg_conv_run_a_smoke_step011_REPA01_02;msg_conv_run_a_smoke_step011_REPA01_03	llm_summary	llm_detail
conv_run_a_smoke_step011_routine	11	run_a_smoke	ISS01;ISS04	cupola		routine	closed	normal	PriyaとLinh、地球を見る時間を静かに分け合う	cupolaでPriyaは注意域のため言葉を最小限にし、Linhは温かく場を保つ。前のステップで皿拭きを続けたPriyaの余韻を汲み、無理に話さず眺める時間を共有する短い接点。	msg_conv_run_a_smoke_step011_routine_01;msg_conv_run_a_smoke_step011_routine_02;msg_conv_run_a_smoke_step011_routine_03	llm_summary	llm_detail
conv_run_a_smoke_step012_REPA01	12	run_a_smoke	ISS07;ISS02	common_area	REPA01	repair	repaired	repair	声量の件、距離を少し戻し短く言葉を交わす	common_areaで、Sofiaが昨日の笑い声の出し方を自分で調整すると小さく宣言。Fatimaは弱音は出さず、声量だけの話だと短く返し、隣に少し残ることを選ぶ。完全和解ではなく距離の戻し方の段階。	msg_conv_run_a_smoke_step012_REPA01_01;msg_conv_run_a_smoke_step012_REPA01_02;msg_conv_run_a_smoke_step012_REPA01_03	llm_summary	llm_detail
conv_run_a_smoke_step012_routine	12	run_a_smoke	ISS02;ISS03	common_area		routine	closed	normal	FatimaとAmirが補給品の棚位置を短く確認し合う	common_areaでの低負荷な接点。Fatimaは前ステップの修復直後で警戒が残り、Amirは絶望気味で長話を避ける。互いに距離を保ったまま、棚の向きとラベルだけを短く確認して終える。	msg_conv_run_a_smoke_step012_routine_01;msg_conv_run_a_smoke_step012_routine_02;msg_conv_run_a_smoke_step012_routine_03	llm_summary	llm_detail
conv_run_a_smoke_step013_CONF02	13	run_a_smoke	ISS03;ISS09	cupola	CONF02	conflict	unresolved	trouble	キューポラでHenriが声をかけ、Amirが線を引く	cupolaでの摩擦。前ステップでAmirは補給確認に短く応じたばかりで余白が少ない。Henriが穏やかに距離を詰めるが、Amirは故郷を察したような言い方に警戒し境界を出す。Henriは引き、保留のまま終わる。	msg_conv_run_a_smoke_step013_CONF02_01;msg_conv_run_a_smoke_step013_CONF02_02;msg_conv_run_a_smoke_step013_CONF02_03	llm_summary	llm_detail
conv_run_a_smoke_step013_REPA01	13	run_a_smoke	ISS07;ISS02	common_area	REPA01	repair	repaired	repair	声量の修復後、二人は距離を少し戻し共用部での過ごし方を再調整する	common_areaでの修復継続。Sofiaは派手な明るさを抑え、Fatimaは弱音ではなく具体行動で距離を戻そうとする。前ステップで『いていい』を確認できた余韻を踏まえ、共用部での共存ルールを言葉少なに更新する。	msg_conv_run_a_smoke_step013_REPA01_01;msg_conv_run_a_smoke_step013_REPA01_02;msg_conv_run_a_smoke_step013_REPA01_03	llm_summary	llm_detail
