意思決定項目	値の例	主な入力	日本的な制約	若者への影響	現役世代への影響	構造持続論ありで見る点
採用方針	新卒維持,新卒縮小,中途即戦力化,採用停止,地域採用強化	雇用不確実性,AI自動化,資金余力,人手不足圧力	新卒一括採用、長期雇用、年功賃金、採用広報の慣性	初職の入口、未来経路、制度信頼に直撃する	配置転換、管理負荷、育成責任に効く	短期効率だけでなく若手の役割経路を残せるか
若手育成方針	OJT維持,AI前提育成,即戦力化,育成縮小,学校連携	採用方針,AI導入余力,若手育成余力	現場OJT依存、属人的技能、教育投資の後回し	努力が報われる感覚、自己効力感を左右する	中堅層の教育負荷、技能継承負荷に効く	育成を社会持続投資として評価できるか
AI導入方針	全社導入,管理部門導入,現場補助,限定実験,導入見送り	計算資源制約,短期利益圧力,競争環境	稟議、既存システム、現場抵抗、情報管理	職務消滅不安と学習機会格差を生む	再学習圧力、業務再設計、評価制度変更に効く	人を置き換えるだけでなく能力拡張に使えるか
ロボ導入方針	倉庫導入,工場導入,介護補助,点検補助,導入見送り	人手不足圧力,資金余力,ロボ導入余力	設備投資回収、現場安全、労使調整、地方中小の資金不足	身体労働職の将来像と地域雇用観を変える	現場負荷軽減と置換不安を同時に生む	ケア・インフラ維持を支える技術として使えるか
雇用維持姿勢	正社員維持,配置転換,非正規調整,外注化,削減	短期利益圧力,雇用安定,人手不足	正社員保護と非正規調整弁、解雇回避文化	不公平感、怒り、裏切られ感に効く	中間管理職の調整負荷に効く	負担を弱い層へ押しつけていないか
非正規外注方針	依存維持,依存縮小,専門外注化,季節調整,内製化	需要変動,人件費,価格転嫁余力	雇用調整弁としての非正規利用	若年非正規の生活設計を不安定化する	現役非正規の諦念や怒りに効く	不安定労働を構造維持の犠牲にしていないか
賃上げ価格転嫁方針	賃上げ,価格転嫁,据え置き,賞与調整,福利厚生強化	生活コスト,利益率,価格転嫁余力	取引慣行、下請け構造、顧客離れ懸念	生活安心感と子ども意向に効く	家計防衛、転職意向、制度信頼に効く	生活基盤を残す分配になっているか
地域責任方針	地域採用,学校連携,撤退,拠点集約,共同事業	地域需要,人手不足,地域責任意識	地方の雇用先不足、自治体との関係	地域に残る未来経路を左右する	介護・子育て・通勤可能性に効く	地域の修復経路を企業が支えられるか
ケア支援方針	介護休業拡充,時短柔軟化,ケアロボ支援,制度なし	介護需要,人手不足,制度信頼	制度はあっても現場で使いにくい問題	子どもを迎える現実性と家族観に効く	介護離職と疲労感を左右する	不可視ケアを社会基盤として扱えるか
事業転換方針	高付加価値化,省人化,地域密着,撤退,社会持続事業化	AIロボ普及,景気,財政,市場縮小	既存顧客、下請け関係、社内合意コスト	職業選択の将来像に効く	再学習、配置転換、雇用維持に効く	利益と構造持続の両立先を作れるか
