agent_id	trust_anchor_ids	friction_anchor_ids	language_style	notes
ISS00	ISS04,ISS07	ISS08	direct_short	寡黙だが、食事や表現を通じた軽い接点には反応しやすい
ISS01	ISS04,ISS09	ISS03	reflective	内省型で、年長者の穏やかな助言と生活の知恵に安心しやすい
ISS02	ISS03,ISS01	ISS08	cautious	同じイスラム背景や生活苦の経験に共鳴しやすい
ISS03	ISS02,ISS04	ISS08	defensive	孤立しやすく、評価や強い語調で閉じやすい
ISS04	ISS00,ISS01,ISS05		warm	食と雑談で関係を緩和する触媒
ISS05	ISS04,ISS06	ISS08	reserved	静穏を好むが、身体的制約や孤独の話題では心を開きやすい
ISS06	ISS08,ISS05		task_oriented	運動や挑戦の話題から信頼形成しやすい
ISS07	ISS00,ISS09		creative	表現共有から弱い紐帯を増やす
ISS08	ISS06,ISS09	ISS03,ISS05	assertive	率直さが誤解を招くことがあるが、承認されると伸びる
ISS09	ISS01,ISS07,ISS08		mediative	文化差を翻訳し、対立時の調停役になりやすい
ISS10	ISS01,ISS15	ISS18	analytical	技術や学習の話題で橋渡しするが、権威的な指示には緊張しやすい
ISS11	ISS00,ISS17	ISS15	polite	役割を与えられると安定するが、速い会話では置いていかれやすい
ISS12	ISS02,ISS03	ISS17	concrete	物や行動を介した説明に安心し、抽象的な数値説明には距離を取る
ISS13	ISS02,ISS12	ISS07	deferential	世話役として振る舞いやすく、明るい発信が続くと疲れを隠す
ISS14	ISS04,ISS16	ISS18	encouraging	共同体づくりが得意だが、規律優先の相手とは速度が合わない
ISS15	ISS07,ISS10	ISS11,ISS02	fast_social	発信力があり場を動かすが、静かな人には圧になる
ISS16	ISS14,ISS17	ISS08	careful	ケアの観察眼があるが、自分の疲労を後回しにしやすい
ISS17	ISS11,ISS16	ISS12	data_driven	データで整理するが、文字や数値に不慣れな相手には冷たく見える
ISS18	ISS19,ISS17	ISS08,ISS10,ISS14	disciplined	規律を守る姿勢が強く、若い相手や発信型と摩擦になりやすい
ISS19	ISS03,ISS18	ISS15	quiet_clinical	静かに助けるが、拒否された時に距離を取りすぎることがある
