step	module_id	occupancy	capacity	crowding_level	is_over_capacity
1	hab_module	1	20	normal	False
1	lab_module	3	10	normal	False
1	cupola	5	3	over	True
1	common_area	5	15	normal	False
1	exercise_area	0	4	normal	False
1	crew_quarters	6	10	normal	False
2	hab_module	2	20	normal	False
2	lab_module	4	10	normal	False
2	cupola	1	3	normal	False
2	common_area	5	15	normal	False
2	exercise_area	4	4	high	False
2	crew_quarters	4	10	normal	False
3	hab_module	6	20	normal	False
3	lab_module	1	10	normal	False
3	cupola	0	3	normal	False
3	common_area	6	15	normal	False
3	exercise_area	2	4	normal	False
3	crew_quarters	5	10	normal	False
4	hab_module	4	20	normal	False
4	lab_module	1	10	normal	False
4	cupola	2	3	normal	False
4	common_area	6	15	normal	False
4	exercise_area	0	4	normal	False
4	crew_quarters	7	10	normal	False
5	hab_module	3	20	normal	False
5	lab_module	3	10	normal	False
5	cupola	0	3	normal	False
5	common_area	4	15	normal	False
5	exercise_area	6	4	over	True
5	crew_quarters	4	10	normal	False
6	hab_module	1	20	normal	False
6	lab_module	4	10	normal	False
6	cupola	2	3	normal	False
6	common_area	7	15	normal	False
6	exercise_area	0	4	normal	False
6	crew_quarters	6	10	normal	False
7	hab_module	1	20	normal	False
7	lab_module	6	10	normal	False
7	cupola	2	3	normal	False
7	common_area	5	15	normal	False
7	exercise_area	1	4	normal	False
7	crew_quarters	5	10	normal	False
8	hab_module	5	20	normal	False
8	lab_module	2	10	normal	False
8	cupola	1	3	normal	False
8	common_area	5	15	normal	False
8	exercise_area	5	4	over	True
8	crew_quarters	2	10	normal	False
9	hab_module	3	20	normal	False
9	lab_module	1	10	normal	False
9	cupola	4	3	over	True
9	common_area	8	15	normal	False
9	exercise_area	0	4	normal	False
9	crew_quarters	4	10	normal	False
10	hab_module	3	20	normal	False
10	lab_module	1	10	normal	False
10	cupola	2	3	normal	False
10	common_area	8	15	normal	False
10	exercise_area	1	4	normal	False
10	crew_quarters	5	10	normal	False
11	hab_module	5	20	normal	False
11	lab_module	1	10	normal	False
11	cupola	3	3	high	False
11	common_area	8	15	normal	False
11	exercise_area	0	4	normal	False
11	crew_quarters	3	10	normal	False
12	hab_module	3	20	normal	False
12	lab_module	2	10	normal	False
12	cupola	0	3	normal	False
12	common_area	7	15	normal	False
12	exercise_area	4	4	high	False
12	crew_quarters	4	10	normal	False
13	hab_module	1	20	normal	False
13	lab_module	4	10	normal	False
13	cupola	3	3	high	False
13	common_area	7	15	normal	False
13	exercise_area	0	4	normal	False
13	crew_quarters	5	10	normal	False
14	hab_module	0	20	normal	False
14	lab_module	6	10	normal	False
14	cupola	2	3	normal	False
14	common_area	5	15	normal	False
14	exercise_area	1	4	normal	False
14	crew_quarters	6	10	normal	False
15	hab_module	5	20	normal	False
15	lab_module	1	10	normal	False
15	cupola	1	3	normal	False
15	common_area	6	15	normal	False
15	exercise_area	3	4	high	False
15	crew_quarters	4	10	normal	False
16	hab_module	5	20	normal	False
16	lab_module	1	10	normal	False
16	cupola	5	3	over	True
16	common_area	4	15	normal	False
16	exercise_area	0	4	normal	False
16	crew_quarters	5	10	normal	False
17	hab_module	1	20	normal	False
17	lab_module	4	10	normal	False
17	cupola	2	3	normal	False
17	common_area	3	15	normal	False
17	exercise_area	6	4	over	True
17	crew_quarters	4	10	normal	False
18	hab_module	1	20	normal	False
18	lab_module	3	10	normal	False
18	cupola	5	3	over	True
18	common_area	6	15	normal	False
18	exercise_area	0	4	normal	False
18	crew_quarters	5	10	normal	False
19	hab_module	3	20	normal	False
19	lab_module	2	10	normal	False
19	cupola	4	3	over	True
19	common_area	4	15	normal	False
19	exercise_area	5	4	over	True
19	crew_quarters	2	10	normal	False
20	hab_module	4	20	normal	False
20	lab_module	1	10	normal	False
20	cupola	5	3	over	True
20	common_area	5	15	normal	False
20	exercise_area	0	4	normal	False
20	crew_quarters	5	10	normal	False
21	hab_module	2	20	normal	False
21	lab_module	3	10	normal	False
21	cupola	5	3	over	True
21	common_area	5	15	normal	False
21	exercise_area	2	4	normal	False
21	crew_quarters	3	10	normal	False
22	hab_module	1	20	normal	False
22	lab_module	5	10	normal	False
22	cupola	4	3	over	True
22	common_area	6	15	normal	False
22	exercise_area	0	4	normal	False
22	crew_quarters	4	10	normal	False
23	hab_module	2	20	normal	False
23	lab_module	3	10	normal	False
23	cupola	0	3	normal	False
23	common_area	4	15	normal	False
23	exercise_area	7	4	over	True
23	crew_quarters	4	10	normal	False
24	hab_module	4	20	normal	False
24	lab_module	1	10	normal	False
24	cupola	3	3	high	False
24	common_area	6	15	normal	False
24	exercise_area	0	4	normal	False
24	crew_quarters	6	10	normal	False
25	hab_module	4	20	normal	False
25	lab_module	2	10	normal	False
25	cupola	1	3	normal	False
25	common_area	3	15	normal	False
25	exercise_area	4	4	high	False
25	crew_quarters	6	10	normal	False
26	hab_module	2	20	normal	False
26	lab_module	4	10	normal	False
26	cupola	2	3	normal	False
26	common_area	5	15	normal	False
26	exercise_area	1	4	normal	False
26	crew_quarters	6	10	normal	False
27	hab_module	2	20	normal	False
27	lab_module	5	10	normal	False
27	cupola	1	3	normal	False
27	common_area	4	15	normal	False
27	exercise_area	1	4	normal	False
27	crew_quarters	7	10	normal	False
28	hab_module	3	20	normal	False
28	lab_module	1	10	normal	False
28	cupola	1	3	normal	False
28	common_area	6	15	normal	False
28	exercise_area	2	4	normal	False
28	crew_quarters	7	10	normal	False
29	hab_module	4	20	normal	False
29	lab_module	1	10	normal	False
29	cupola	3	3	high	False
29	common_area	5	15	normal	False
29	exercise_area	0	4	normal	False
29	crew_quarters	7	10	normal	False
30	hab_module	1	20	normal	False
30	lab_module	6	10	normal	False
30	cupola	2	3	normal	False
30	common_area	6	15	normal	False
30	exercise_area	1	4	normal	False
30	crew_quarters	4	10	normal	False
31	hab_module	1	20	normal	False
31	lab_module	5	10	normal	False
31	cupola	4	3	over	True
31	common_area	5	15	normal	False
31	exercise_area	0	4	normal	False
31	crew_quarters	5	10	normal	False
32	hab_module	4	20	normal	False
32	lab_module	2	10	normal	False
32	cupola	1	3	normal	False
32	common_area	4	15	normal	False
32	exercise_area	5	4	over	True
32	crew_quarters	4	10	normal	False
33	hab_module	2	20	normal	False
33	lab_module	1	10	normal	False
33	cupola	5	3	over	True
33	common_area	6	15	normal	False
33	exercise_area	0	4	normal	False
33	crew_quarters	6	10	normal	False
34	hab_module	0	20	normal	False
34	lab_module	3	10	normal	False
34	cupola	0	3	normal	False
34	common_area	6	15	normal	False
34	exercise_area	8	4	over	True
34	crew_quarters	3	10	normal	False
35	hab_module	2	20	normal	False
35	lab_module	2	10	normal	False
35	cupola	4	3	over	True
35	common_area	7	15	normal	False
35	exercise_area	0	4	normal	False
35	crew_quarters	5	10	normal	False
36	hab_module	2	20	normal	False
36	lab_module	4	10	normal	False
36	cupola	0	3	normal	False
36	common_area	5	15	normal	False
36	exercise_area	5	4	over	True
36	crew_quarters	4	10	normal	False
37	hab_module	5	20	normal	False
37	lab_module	1	10	normal	False
37	cupola	3	3	high	False
37	common_area	6	15	normal	False
37	exercise_area	0	4	normal	False
37	crew_quarters	5	10	normal	False
38	hab_module	4	20	normal	False
38	lab_module	1	10	normal	False
38	cupola	2	3	normal	False
38	common_area	9	15	normal	False
38	exercise_area	1	4	normal	False
38	crew_quarters	3	10	normal	False
39	hab_module	1	20	normal	False
39	lab_module	3	10	normal	False
39	cupola	0	3	normal	False
39	common_area	8	15	normal	False
39	exercise_area	3	4	high	False
39	crew_quarters	5	10	normal	False
40	hab_module	3	20	normal	False
40	lab_module	3	10	normal	False
40	cupola	2	3	normal	False
40	common_area	5	15	normal	False
40	exercise_area	3	4	high	False
40	crew_quarters	4	10	normal	False
41	hab_module	6	20	normal	False
41	lab_module	2	10	normal	False
41	cupola	2	3	normal	False
41	common_area	5	15	normal	False
41	exercise_area	1	4	normal	False
41	crew_quarters	4	10	normal	False
42	hab_module	6	20	normal	False
42	lab_module	2	10	normal	False
42	cupola	0	3	normal	False
42	common_area	5	15	normal	False
42	exercise_area	3	4	high	False
42	crew_quarters	4	10	normal	False
43	hab_module	2	20	normal	False
43	lab_module	5	10	normal	False
43	cupola	1	3	normal	False
43	common_area	5	15	normal	False
43	exercise_area	2	4	normal	False
43	crew_quarters	5	10	normal	False
44	hab_module	0	20	normal	False
44	lab_module	3	10	normal	False
44	cupola	4	3	over	True
44	common_area	5	15	normal	False
44	exercise_area	2	4	normal	False
44	crew_quarters	6	10	normal	False
45	hab_module	3	20	normal	False
45	lab_module	1	10	normal	False
45	cupola	0	3	normal	False
45	common_area	4	15	normal	False
45	exercise_area	6	4	over	True
45	crew_quarters	6	10	normal	False
46	hab_module	3	20	normal	False
46	lab_module	1	10	normal	False
46	cupola	4	3	over	True
46	common_area	5	15	normal	False
46	exercise_area	2	4	normal	False
46	crew_quarters	5	10	normal	False
47	hab_module	2	20	normal	False
47	lab_module	3	10	normal	False
47	cupola	1	3	normal	False
47	common_area	2	15	normal	False
47	exercise_area	7	4	over	True
47	crew_quarters	5	10	normal	False
48	hab_module	2	20	normal	False
48	lab_module	4	10	normal	False
48	cupola	4	3	over	True
48	common_area	6	15	normal	False
48	exercise_area	1	4	normal	False
48	crew_quarters	3	10	normal	False
49	hab_module	1	20	normal	False
49	lab_module	4	10	normal	False
49	cupola	3	3	high	False
49	common_area	8	15	normal	False
49	exercise_area	0	4	normal	False
49	crew_quarters	4	10	normal	False
50	hab_module	5	20	normal	False
50	lab_module	1	10	normal	False
50	cupola	5	3	over	True
50	common_area	7	15	normal	False
50	exercise_area	0	4	normal	False
50	crew_quarters	2	10	normal	False
51	hab_module	3	20	normal	False
51	lab_module	2	10	normal	False
51	cupola	0	3	normal	False
51	common_area	6	15	normal	False
51	exercise_area	3	4	high	False
51	crew_quarters	6	10	normal	False
52	hab_module	1	20	normal	False
52	lab_module	5	10	normal	False
52	cupola	2	3	normal	False
52	common_area	9	15	normal	False
52	exercise_area	0	4	normal	False
52	crew_quarters	3	10	normal	False
53	hab_module	0	20	normal	False
53	lab_module	3	10	normal	False
53	cupola	0	3	normal	False
53	common_area	8	15	normal	False
53	exercise_area	3	4	high	False
53	crew_quarters	6	10	normal	False
54	hab_module	4	20	normal	False
54	lab_module	1	10	normal	False
54	cupola	1	3	normal	False
54	common_area	8	15	normal	False
54	exercise_area	1	4	normal	False
54	crew_quarters	5	10	normal	False
55	hab_module	4	20	normal	False
55	lab_module	1	10	normal	False
55	cupola	3	3	high	False
55	common_area	7	15	normal	False
55	exercise_area	0	4	normal	False
55	crew_quarters	5	10	normal	False
56	hab_module	1	20	normal	False
56	lab_module	4	10	normal	False
56	cupola	0	3	normal	False
56	common_area	7	15	normal	False
56	exercise_area	4	4	high	False
56	crew_quarters	4	10	normal	False
57	hab_module	2	20	normal	False
57	lab_module	5	10	normal	False
57	cupola	2	3	normal	False
57	common_area	9	15	normal	False
57	exercise_area	0	4	normal	False
57	crew_quarters	2	10	normal	False
58	hab_module	0	20	normal	False
58	lab_module	3	10	normal	False
58	cupola	2	3	normal	False
58	common_area	7	15	normal	False
58	exercise_area	4	4	high	False
58	crew_quarters	4	10	normal	False
59	hab_module	4	20	normal	False
59	lab_module	2	10	normal	False
59	cupola	5	3	over	True
59	common_area	6	15	normal	False
59	exercise_area	1	4	normal	False
59	crew_quarters	2	10	normal	False
60	hab_module	1	20	normal	False
60	lab_module	3	10	normal	False
60	cupola	1	3	normal	False
60	common_area	5	15	normal	False
60	exercise_area	5	4	over	True
60	crew_quarters	5	10	normal	False
61	hab_module	1	20	normal	False
61	lab_module	1	10	normal	False
61	cupola	5	3	over	True
61	common_area	7	15	normal	False
61	exercise_area	0	4	normal	False
61	crew_quarters	6	10	normal	False
62	hab_module	2	20	normal	False
62	lab_module	2	10	normal	False
62	cupola	0	3	normal	False
62	common_area	5	15	normal	False
62	exercise_area	6	4	over	True
62	crew_quarters	5	10	normal	False
63	hab_module	3	20	normal	False
63	lab_module	2	10	normal	False
63	cupola	4	3	over	True
63	common_area	6	15	normal	False
63	exercise_area	0	4	normal	False
63	crew_quarters	5	10	normal	False
64	hab_module	4	20	normal	False
64	lab_module	1	10	normal	False
64	cupola	0	3	normal	False
64	common_area	7	15	normal	False
64	exercise_area	3	4	high	False
64	crew_quarters	5	10	normal	False
65	hab_module	2	20	normal	False
65	lab_module	3	10	normal	False
65	cupola	2	3	normal	False
65	common_area	9	15	normal	False
65	exercise_area	0	4	normal	False
65	crew_quarters	4	10	normal	False
66	hab_module	0	20	normal	False
66	lab_module	4	10	normal	False
66	cupola	2	3	normal	False
66	common_area	8	15	normal	False
66	exercise_area	0	4	normal	False
66	crew_quarters	6	10	normal	False
67	hab_module	1	20	normal	False
67	lab_module	1	10	normal	False
67	cupola	1	3	normal	False
67	common_area	8	15	normal	False
67	exercise_area	2	4	normal	False
67	crew_quarters	7	10	normal	False
68	hab_module	6	20	normal	False
68	lab_module	0	10	normal	False
68	cupola	3	3	high	False
68	common_area	7	15	normal	False
68	exercise_area	0	4	normal	False
68	crew_quarters	4	10	normal	False
69	hab_module	3	20	normal	False
69	lab_module	1	10	normal	False
69	cupola	3	3	high	False
69	common_area	7	15	normal	False
69	exercise_area	2	4	normal	False
69	crew_quarters	4	10	normal	False
70	hab_module	2	20	normal	False
70	lab_module	4	10	normal	False
70	cupola	3	3	high	False
70	common_area	7	15	normal	False
70	exercise_area	0	4	normal	False
70	crew_quarters	4	10	normal	False
71	hab_module	4	20	normal	False
71	lab_module	2	10	normal	False
71	cupola	1	3	normal	False
71	common_area	5	15	normal	False
71	exercise_area	5	4	over	True
71	crew_quarters	3	10	normal	False
72	hab_module	4	20	normal	False
72	lab_module	2	10	normal	False
72	cupola	4	3	over	True
72	common_area	7	15	normal	False
72	exercise_area	0	4	normal	False
72	crew_quarters	3	10	normal	False
73	hab_module	3	20	normal	False
73	lab_module	2	10	normal	False
73	cupola	0	3	normal	False
73	common_area	5	15	normal	False
73	exercise_area	6	4	over	True
73	crew_quarters	4	10	normal	False
74	hab_module	1	20	normal	False
74	lab_module	3	10	normal	False
74	cupola	5	3	over	True
74	common_area	7	15	normal	False
74	exercise_area	0	4	normal	False
74	crew_quarters	4	10	normal	False
75	hab_module	1	20	normal	False
75	lab_module	3	10	normal	False
75	cupola	2	3	normal	False
75	common_area	6	15	normal	False
75	exercise_area	3	4	high	False
75	crew_quarters	5	10	normal	False
76	hab_module	5	20	normal	False
76	lab_module	1	10	normal	False
76	cupola	2	3	normal	False
76	common_area	8	15	normal	False
76	exercise_area	1	4	normal	False
76	crew_quarters	3	10	normal	False
77	hab_module	6	20	normal	False
77	lab_module	1	10	normal	False
77	cupola	3	3	high	False
77	common_area	7	15	normal	False
77	exercise_area	0	4	normal	False
77	crew_quarters	3	10	normal	False
78	hab_module	3	20	normal	False
78	lab_module	4	10	normal	False
78	cupola	1	3	normal	False
78	common_area	7	15	normal	False
78	exercise_area	3	4	high	False
78	crew_quarters	2	10	normal	False
79	hab_module	2	20	normal	False
79	lab_module	6	10	normal	False
79	cupola	3	3	high	False
79	common_area	5	15	normal	False
79	exercise_area	0	4	normal	False
79	crew_quarters	4	10	normal	False
80	hab_module	3	20	normal	False
80	lab_module	2	10	normal	False
80	cupola	3	3	high	False
80	common_area	6	15	normal	False
80	exercise_area	0	4	normal	False
80	crew_quarters	6	10	normal	False
81	hab_module	5	20	normal	False
81	lab_module	1	10	normal	False
81	cupola	2	3	normal	False
81	common_area	5	15	normal	False
81	exercise_area	1	4	normal	False
81	crew_quarters	6	10	normal	False
82	hab_module	1	20	normal	False
82	lab_module	2	10	normal	False
82	cupola	1	3	normal	False
82	common_area	8	15	normal	False
82	exercise_area	2	4	normal	False
82	crew_quarters	6	10	normal	False
83	hab_module	0	20	normal	False
83	lab_module	5	10	normal	False
83	cupola	3	3	high	False
83	common_area	7	15	normal	False
83	exercise_area	0	4	normal	False
83	crew_quarters	5	10	normal	False
84	hab_module	3	20	normal	False
84	lab_module	2	10	normal	False
84	cupola	0	3	normal	False
84	common_area	5	15	normal	False
84	exercise_area	5	4	over	True
84	crew_quarters	5	10	normal	False
85	hab_module	3	20	normal	False
85	lab_module	1	10	normal	False
85	cupola	4	3	over	True
85	common_area	10	15	normal	False
85	exercise_area	0	4	normal	False
85	crew_quarters	2	10	normal	False
86	hab_module	2	20	normal	False
86	lab_module	0	10	normal	False
86	cupola	2	3	normal	False
86	common_area	8	15	normal	False
86	exercise_area	4	4	high	False
86	crew_quarters	4	10	normal	False
87	hab_module	0	20	normal	False
87	lab_module	3	10	normal	False
87	cupola	5	3	over	True
87	common_area	8	15	normal	False
87	exercise_area	1	4	normal	False
87	crew_quarters	3	10	normal	False
88	hab_module	2	20	normal	False
88	lab_module	3	10	normal	False
88	cupola	4	3	over	True
88	common_area	6	15	normal	False
88	exercise_area	0	4	normal	False
88	crew_quarters	5	10	normal	False
89	hab_module	2	20	normal	False
89	lab_module	1	10	normal	False
89	cupola	0	3	normal	False
89	common_area	8	15	normal	False
89	exercise_area	4	4	high	False
89	crew_quarters	5	10	normal	False
90	hab_module	3	20	normal	False
90	lab_module	1	10	normal	False
90	cupola	0	3	normal	False
90	common_area	3	15	normal	False
90	exercise_area	6	4	over	True
90	crew_quarters	7	10	normal	False
91	hab_module	1	20	normal	False
91	lab_module	3	10	normal	False
91	cupola	6	3	over	True
91	common_area	5	15	normal	False
91	exercise_area	0	4	normal	False
91	crew_quarters	5	10	normal	False
92	hab_module	2	20	normal	False
92	lab_module	5	10	normal	False
92	cupola	2	3	normal	False
92	common_area	3	15	normal	False
92	exercise_area	3	4	high	False
92	crew_quarters	5	10	normal	False
93	hab_module	6	20	normal	False
93	lab_module	1	10	normal	False
93	cupola	4	3	over	True
93	common_area	6	15	normal	False
93	exercise_area	0	4	normal	False
93	crew_quarters	3	10	normal	False
94	hab_module	6	20	normal	False
94	lab_module	1	10	normal	False
94	cupola	3	3	high	False
94	common_area	6	15	normal	False
94	exercise_area	0	4	normal	False
94	crew_quarters	4	10	normal	False
95	hab_module	1	20	normal	False
95	lab_module	3	10	normal	False
95	cupola	3	3	high	False
95	common_area	7	15	normal	False
95	exercise_area	2	4	normal	False
95	crew_quarters	4	10	normal	False
96	hab_module	1	20	normal	False
96	lab_module	6	10	normal	False
96	cupola	5	3	over	True
96	common_area	6	15	normal	False
96	exercise_area	0	4	normal	False
96	crew_quarters	2	10	normal	False
97	hab_module	1	20	normal	False
97	lab_module	3	10	normal	False
97	cupola	4	3	over	True
97	common_area	5	15	normal	False
97	exercise_area	3	4	high	False
97	crew_quarters	4	10	normal	False
98	hab_module	4	20	normal	False
98	lab_module	2	10	normal	False
98	cupola	5	3	over	True
98	common_area	5	15	normal	False
98	exercise_area	1	4	normal	False
98	crew_quarters	3	10	normal	False
99	hab_module	4	20	normal	False
99	lab_module	2	10	normal	False
99	cupola	5	3	over	True
