conversation_id	step	run_id	participant_ids	module_id	event_id	conversation_type	status	tone	summary	detail	evidence_message_ids	summary_source	detail_source
conv_run_d_20x100_rule_only_step001_routine	1	run_d_20x100_rule_only	ISS05;ISS06	common_area		routine	repaired	normal	補給品配置を短く確認し、次の作業流れを整える	前段での運用の余韻を受け、共同エリアで田中誠とAishaが補給品の置き場を確認。静かな生活リズムを崩さないよう、短い応酬の後に再整理へ方向を寄せる。	msg_conv_run_d_20x100_rule_only_step001_routine_01;msg_conv_run_d_20x100_rule_only_step001_routine_02;msg_conv_run_d_20x100_rule_only_step001_routine_03	llm_summary	llm_detail
conv_run_d_20x100_rule_only_step002_routine	2	run_d_20x100_rule_only	ISS05;ISS06	exercise_area		routine	repaired	normal	運動前に補給と移動の流れを短く決め、静けさを維持する合意	前段で補給場所の迷いを共有した流れを受け、運動エリアで体幹ルーティン前に短く調整した。ISS05は慎重に譲れない点を示し、ISS06は率直に時間配分を主張、地球観測前の個室移動と静穏時間を意識した距離感の再確認で衝突を収束させた。	msg_conv_run_d_20x100_rule_only_step002_routine_01;msg_conv_run_d_20x100_rule_only_step002_routine_02;msg_conv_run_d_20x100_rule_only_step002_routine_03	llm_summary	llm_detail
conv_run_d_20x100_rule_only_step003_routine	3	run_d_20x100_rule_only	ISS06;ISS08	common_area		routine	repaired	normal	食事後の片付けを前倒しし、短時間で役割を合わせた	前段でISS05が時間管理を整えた流れを受け、共用エリアでAishaとMarcusが食事後の片付けを確認。Aishaは地球観測前の準備を優先し、Marcusは疲労と警戒で短く応答するが、範囲を限定して協力し静かな個室復帰へ誘導した。	msg_conv_run_d_20x100_rule_only_step003_routine_01;msg_conv_run_d_20x100_rule_only_step003_routine_02;msg_conv_run_d_20x100_rule_only_step003_routine_03	llm_summary	llm_detail
conv_run_d_20x100_rule_only_step004_routine	4	run_d_20x100_rule_only	ISS01;ISS09	common_area		routine	repaired	normal	補給品の置き場所を入口近くで再確認し、流れを整えた	common_areaでの会話。前段階の短い調整を受け、Priyaは不安と警戒を残しつつ確認を優先。Henriは穏やかに合意形成を図り、衝突を小さく収めて作業の妥協点へ寄せた。	msg_conv_run_d_20x100_rule_only_step004_routine_01;msg_conv_run_d_20x100_rule_only_step004_routine_02	llm_summary	llm_detail
conv_run_d_20x100_rule_only_step005_routine	5	run_d_20x100_rule_only	ISS01;ISS04	exercise_area		routine	repaired	normal	入口横で運動枠を短く固定し、曖昧さを減らして共同行動へ	前ステップで入口付近の取り決めを共有後、Priyaは不安と迷いが残る中で短い確認を優先。exercise_areaでLinhが観察しつつ協調を維持し、微かな刺々しさを残しながらも短時間の合意に修復する流れ。	msg_conv_run_d_20x100_rule_only_step005_routine_01;msg_conv_run_d_20x100_rule_only_step005_routine_02;msg_conv_run_d_20x100_rule_only_step005_routine_03	llm_summary	llm_detail
conv_run_d_20x100_rule_only_step006_routine	6	run_d_20x100_rule_only	ISS12;ISS02	common_area		routine	repaired	normal	食事片付けを短時間で分担し、無理のない再接続を取り決めた	TariqとFatimaはcommon areaで食事後の片付けを短く確認し合い、Fatimaの慎重さと疲労を見ながら、個室の静穏時間を優先した流れを作った。地球観測前後の体の運動を挟む再合流で摩擦を下げる形に落ち着いた。	msg_conv_run_d_20x100_rule_only_step006_routine_01;msg_conv_run_d_20x100_rule_only_step006_routine_02;msg_conv_run_d_20x100_rule_only_step006_routine_03	llm_summary	llm_detail
conv_run_d_20x100_rule_only_step007_routine	7	run_d_20x100_rule_only	ISS00;ISS04	lab_module		routine	repaired	normal	資源残量を5分枠で共有し、確認のズレを抑える調整	前段で短時間確認の運用を擦り合わせた流れを受け、lab_moduleで資源残量の確認を再確認したやり取り。ISS00の不安を刺激しすぎない短い指摘に対し、ISS04が温かく受け止めて場の連携を取り戻した。	msg_conv_run_d_20x100_rule_only_step007_routine_01;msg_conv_run_d_20x100_rule_only_step007_routine_02	llm_summary	llm_detail
conv_run_d_20x100_rule_only_step008_routine	8	run_d_20x100_rule_only	ISS06;ISS08	hab_module		routine	repaired	normal	空調音の短時間確認で、地球観測前の静穏時間を再調整	hab_moduleでの定例的なやり取り。Aishaは前回の食事片付け支援の延長として短く提案し、Marcusは評価される不安を抱えつつも5分ルールを受け入れ、静かな個室移動で感情の余韻を保とうとした。	msg_conv_run_d_20x100_rule_only_step008_routine_01;msg_conv_run_d_20x100_rule_only_step008_routine_02	llm_summary	llm_detail
conv_run_d_20x100_rule_only_step009_CONF01	9	run_d_20x100_rule_only	ISS07;ISS02	common_area	CONF01	conflict	repaired	trouble	共用部の音量調整で緊張を緩める	SofiaとFatimaは共用部での声量を巡り言葉が刺さりやすく緊張。前段の食事後片付けや個室で静穏時間を取る流れを踏まえ、共用部で短くやり取りしつつ、観測前後の生活リズムに配慮して距離を戻す方へ進んだ。	msg_conv_run_d_20x100_rule_only_step009_CONF01_01;msg_conv_run_d_20x100_rule_only_step009_CONF01_02;msg_conv_run_d_20x100_rule_only_step009_CONF01_03	llm_summary	llm_detail
conv_run_d_20x100_rule_only_step009_routine	9	run_d_20x100_rule_only	ISS00;ISS04	common_area		routine	repaired	normal	共用部音量を5分単位で調整し、緊張をほどく	前段の「5分だけ確認する」流れを引き継ぎ、共用部で陳偉が短い注意を発し、Linhが受け止めて歩調を合わせる形で摩擦を一段和らげた。陳偉は不安を抱えつつ協力的、Linhは温かく作業の段取りまで支えることで場を安定化している。	msg_conv_run_d_20x100_rule_only_step009_routine_01;msg_conv_run_d_20x100_rule_only_step009_routine_02;msg_conv_run_d_20x100_rule_only_step009_routine_03	llm_summary	llm_detail
