conversation_id	step	run_id	participant_ids	module_id	event_id	conversation_type	status	tone	summary	detail	evidence_message_ids	summary_source	detail_source
conv_run_d_20x100_rule_only_step001_routine	1	run_d_20x100_rule_only	ISS05;ISS06	common_area		routine	closed	normal	田中誠とAishaが「補給品の置き場所」を短く調整する。	common_areaでの通常会話。田中誠は「控えめ」、Aishaは「率直」。話題は「補給品の置き場所」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step001_routine_01;msg_conv_run_d_20x100_rule_only_step001_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step002_routine	2	run_d_20x100_rule_only	ISS05;ISS06	exercise_area		routine	closed	normal	田中誠とAishaが「身体ルーティン」を短く調整する。	exercise_areaでの通常会話。田中誠は「控えめ」、Aishaは「率直」。話題は「身体ルーティン」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step002_routine_01;msg_conv_run_d_20x100_rule_only_step002_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step003_routine	3	run_d_20x100_rule_only	ISS06;ISS08	common_area		routine	closed	normal	AishaとMarcusが「食事と片付け」を短く調整する。	common_areaでの通常会話。Aishaは「率直」、Marcusは「率直で揺れやすい」。話題は「食事と片付け」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step003_routine_01;msg_conv_run_d_20x100_rule_only_step003_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step004_routine	4	run_d_20x100_rule_only	ISS01;ISS09	common_area		routine	closed	normal	PriyaとHenriが「補給品の置き場所」を短く調整する。	common_areaでの通常会話。Priyaは「内省的」、Henriは「穏やか」。話題は「補給品の置き場所」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step004_routine_01;msg_conv_run_d_20x100_rule_only_step004_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step005_routine	5	run_d_20x100_rule_only	ISS01;ISS04	exercise_area		routine	closed	normal	PriyaとLinhが「運動枠」を短く調整する。	exercise_areaでの通常会話。Priyaは「内省的」、Linhは「温かい」。話題は「運動枠」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step005_routine_01;msg_conv_run_d_20x100_rule_only_step005_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step006_routine	6	run_d_20x100_rule_only	ISS12;ISS02	common_area		routine	closed	normal	TariqとFatimaが「食事と片付け」を短く調整する。	common_areaでの通常会話。Tariqは「短く実物で確認する」、Fatimaは「慎重」。話題は「食事と片付け」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step006_routine_01;msg_conv_run_d_20x100_rule_only_step006_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step007_routine	7	run_d_20x100_rule_only	ISS00;ISS04	lab_module		routine	closed	normal	陳偉とLinhが「資源残量」を短く調整する。	lab_moduleでの通常会話。陳偉は「短く控えめ」、Linhは「温かい」。話題は「資源残量」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step007_routine_01;msg_conv_run_d_20x100_rule_only_step007_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step008_routine	8	run_d_20x100_rule_only	ISS06;ISS08	hab_module		routine	closed	normal	AishaとMarcusが「空調と音」を短く調整する。	hab_moduleでの通常会話。Aishaは「率直」、Marcusは「率直で揺れやすい」。話題は「空調と音」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step008_routine_01;msg_conv_run_d_20x100_rule_only_step008_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step009_CONF01	9	run_d_20x100_rule_only	ISS07;ISS02	common_area	CONF01	conflict	open	trouble	SofiaとFatimaが「共用部の声量」で摩擦を起こす。	common_areaでの摩擦会話。当事者特性: Sofia: 表現豊か / 場を明るくしようとして本音を後回しにする; Fatima: 慎重 / 弱音を出すことに強い抵抗がある。摩擦要因: すれ違い↑ 会話短縮↑。	msg_conv_run_d_20x100_rule_only_step009_CONF01_01;msg_conv_run_d_20x100_rule_only_step009_CONF01_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step009_routine	9	run_d_20x100_rule_only	ISS00;ISS04	common_area		routine	closed	normal	陳偉とLinhが「共用部の声量」を短く調整する。	common_areaでの通常会話。陳偉は「短く控えめ」、Linhは「温かい」。話題は「共用部の声量」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step009_routine_01;msg_conv_run_d_20x100_rule_only_step009_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step010_CONF01	10	run_d_20x100_rule_only	ISS07;ISS02	common_area	CONF01	conflict	open	trouble	SofiaとFatimaが「共用部の声量」で摩擦を起こす。	common_areaでの摩擦会話。当事者特性: Sofia: 表現豊か / 場を明るくしようとして本音を後回しにする; Fatima: 慎重 / 弱音を出すことに強い抵抗がある。摩擦要因: すれ違い↑ 会話短縮↑。	msg_conv_run_d_20x100_rule_only_step010_CONF01_01;msg_conv_run_d_20x100_rule_only_step010_CONF01_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step010_routine	10	run_d_20x100_rule_only	ISS01;ISS09	common_area		routine	closed	normal	PriyaとHenriが「食事と片付け」を短く調整する。	common_areaでの通常会話。Priyaは「内省的」、Henriは「穏やか」。話題は「食事と片付け」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step010_routine_01;msg_conv_run_d_20x100_rule_only_step010_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step011_REPD01	11	run_d_20x100_rule_only	ISS07;ISS02	common_area	REPD01	repair	repaired	repair	SofiaとFatimaが「共用部の声量の修復」の後、距離と言い方を戻し始める。	common_areaでの修復会話。当事者特性: Sofia: 表現豊か / 場を明るくしようとして本音を後回しにする; Fatima: 慎重 / 弱音を出すことに強い抵抗がある。修復要因: 距離再調整↑ 継続観察↑。	msg_conv_run_d_20x100_rule_only_step011_REPD01_01;msg_conv_run_d_20x100_rule_only_step011_REPD01_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step011_routine	11	run_d_20x100_rule_only	ISS11;ISS00	common_area		routine	closed	normal	Meiと陳偉が「故郷の写真」を短く調整する。	common_areaでの通常会話。Meiは「丁寧で控えめ」、陳偉は「短く控えめ」。話題は「故郷の写真」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step011_routine_01;msg_conv_run_d_20x100_rule_only_step011_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step012_REPD01	12	run_d_20x100_rule_only	ISS07;ISS02	common_area	REPD01	repair	repaired	repair	SofiaとFatimaが「共用部の声量の修復」の後、距離と言い方を戻し始める。	common_areaでの修復会話。当事者特性: Sofia: 表現豊か / 場を明るくしようとして本音を後回しにする; Fatima: 慎重 / 弱音を出すことに強い抵抗がある。修復要因: 距離再調整↑ 継続観察↑。	msg_conv_run_d_20x100_rule_only_step012_REPD01_01;msg_conv_run_d_20x100_rule_only_step012_REPD01_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step012_routine	12	run_d_20x100_rule_only	ISS02;ISS03	common_area		routine	closed	normal	FatimaとAmirが「補給品の置き場所」を短く調整する。	common_areaでの通常会話。Fatimaは「慎重」、Amirは「防衛的」。話題は「補給品の置き場所」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step012_routine_01;msg_conv_run_d_20x100_rule_only_step012_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step013_REPD01	13	run_d_20x100_rule_only	ISS07;ISS02	common_area	REPD01	repair	repaired	repair	SofiaとFatimaが「共用部の声量の修復」の後、距離と言い方を戻し始める。	common_areaでの修復会話。当事者特性: Sofia: 表現豊か / 場を明るくしようとして本音を後回しにする; Fatima: 慎重 / 弱音を出すことに強い抵抗がある。修復要因: 距離再調整↑ 継続観察↑。	msg_conv_run_d_20x100_rule_only_step013_REPD01_01;msg_conv_run_d_20x100_rule_only_step013_REPD01_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step013_routine	13	run_d_20x100_rule_only	ISS00;ISS04	common_area		routine	closed	normal	陳偉とLinhが「食事と片付け」を短く調整する。	common_areaでの通常会話。陳偉は「短く控えめ」、Linhは「温かい」。話題は「食事と片付け」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step013_routine_01;msg_conv_run_d_20x100_rule_only_step013_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step014_routine	14	run_d_20x100_rule_only	ISS06;ISS08	common_area		routine	closed	normal	AishaとMarcusが「共用部の声量」を短く調整する。	common_areaでの通常会話。Aishaは「率直」、Marcusは「率直で揺れやすい」。話題は「共用部の声量」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step014_routine_01;msg_conv_run_d_20x100_rule_only_step014_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step015_routine	15	run_d_20x100_rule_only	ISS07;ISS09	exercise_area		routine	closed	normal	SofiaとHenriが「順番調整」を短く調整する。	exercise_areaでの通常会話。Sofiaは「表現豊か」、Henriは「穏やか」。話題は「順番調整」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step015_routine_01;msg_conv_run_d_20x100_rule_only_step015_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step016_CONF02	16	run_d_20x100_rule_only	ISS03;ISS09	cupola	CONF02	conflict	open	trouble	AmirとHenriが「キューポラ声かけ」で摩擦を起こす。	cupolaでの摩擦会話。当事者特性: Amir: 防衛的 / 故郷喪失と閉鎖空間の孤立が重なりやすい; Henri: 穏やか / 調停役に回りすぎて自分の疲労を見落とす。摩擦要因: 言い合い↑ 会話短縮↑。	msg_conv_run_d_20x100_rule_only_step016_CONF02_01;msg_conv_run_d_20x100_rule_only_step016_CONF02_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step016_routine	16	run_d_20x100_rule_only	ISS01;ISS04	common_area		routine	closed	normal	PriyaとLinhが「食事と片付け」を短く調整する。	common_areaでの通常会話。Priyaは「内省的」、Linhは「温かい」。話題は「食事と片付け」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step016_routine_01;msg_conv_run_d_20x100_rule_only_step016_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step017_CONF02	17	run_d_20x100_rule_only	ISS03;ISS09	cupola	CONF02	conflict	open	trouble	AmirとHenriが「キューポラ声かけ」で摩擦を起こす。	cupolaでの摩擦会話。当事者特性: Amir: 防衛的 / 故郷喪失と閉鎖空間の孤立が重なりやすい; Henri: 穏やか / 調停役に回りすぎて自分の疲労を見落とす。摩擦要因: 言い合い↑ 会話短縮↑。	msg_conv_run_d_20x100_rule_only_step017_CONF02_01;msg_conv_run_d_20x100_rule_only_step017_CONF02_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step017_routine	17	run_d_20x100_rule_only	ISS04;ISS05	exercise_area		routine	closed	normal	Linhと田中誠が「身体ルーティン」を短く調整する。	exercise_areaでの通常会話。Linhは「温かい」、田中誠は「控えめ」。話題は「身体ルーティン」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step017_routine_01;msg_conv_run_d_20x100_rule_only_step017_routine_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step018_REPD02	18	run_d_20x100_rule_only	ISS03;ISS09	cupola	REPD02	repair	repaired	repair	AmirとHenriが「キューポラ声かけの修復」の後、距離と言い方を戻し始める。	cupolaでの修復会話。当事者特性: Amir: 防衛的 / 故郷喪失と閉鎖空間の孤立が重なりやすい; Henri: 穏やか / 調停役に回りすぎて自分の疲労を見落とす。修復要因: 距離再調整↑ 継続観察↑。	msg_conv_run_d_20x100_rule_only_step018_REPD02_01;msg_conv_run_d_20x100_rule_only_step018_REPD02_02	scripted_summary	scripted_detail
conv_run_d_20x100_rule_only_step018_routine	18	run_d_20x100_rule_only	ISS14;ISS16	common_area		routine	closed	normal	KwameとElenaが「補給品の置き場所」を短く調整する。	common_areaでの通常会話。Kwameは「励ます」、Elenaは「観察してから支える」。話題は「補給品の置き場所」。長い相談ではなく、共同生活を維持するための低負荷な接点として扱う。	msg_conv_run_d_20x100_rule_only_step018_routine_01;msg_conv_run_d_20x100_rule_only_step018_routine_02	scripted_summary	scripted_detail
