conversation_id	step	run_id	participant_ids	module_id	event_id	conversation_type	status	tone	summary	detail	evidence_message_ids	summary_source	detail_source
conv_run_b_smoke_step001_routine	1	run_b_smoke	ISS05;ISS06	common_area		routine	closed	normal	田中誠とAishaが補給品の置き場所を短く詰める	common_areaでの低負荷な接点。田中誠は控えめに切り出し、Aishaが率直に運用案を返す。前会話履歴はなく、共同生活のリズムを整える短い調整に留まる。	msg_conv_run_b_smoke_step001_routine_01;msg_conv_run_b_smoke_step001_routine_02;msg_conv_run_b_smoke_step001_routine_03	llm_summary	llm_detail
conv_run_b_smoke_step002_routine	2	run_b_smoke	ISS05;ISS06	exercise_area		routine	closed	normal	exercise_areaで田中とAishaが負荷の調整を短く相談する	前ステップの補給品整理から場所を運動エリアに移し、田中誠は控えめにAishaの負荷を気にかけ、Aishaは率直に自分のペースを伝える。距離感は保ちつつ低負荷な接点が続いている。	msg_conv_run_b_smoke_step002_routine_01;msg_conv_run_b_smoke_step002_routine_02;msg_conv_run_b_smoke_step002_routine_03	llm_summary	llm_detail
conv_run_b_smoke_step003_routine	3	run_b_smoke	ISS06;ISS08	common_area		routine	closed	normal	AishaとMarcusが片付けの分担を短く確認する	common_areaでの routine。前ステップでAishaは脚の重さを訴え個室で伸ばす流れだった。Marcusは注意域で長話を避けたい状態。短い確認だけで分担を決め、互いの負荷に踏み込みすぎない。	msg_conv_run_b_smoke_step003_routine_01;msg_conv_run_b_smoke_step003_routine_02;msg_conv_run_b_smoke_step003_routine_03	llm_summary	llm_detail
conv_run_b_smoke_step004_routine	4	run_b_smoke	ISS01;ISS09	common_area		routine	closed	normal	PriyaとHenriが補給品の戻し場所を短く確認する	common_areaでの低負荷な接点。Priyaは注意域で長話を避け、必要最低限の確認に留める。Henriは穏やかに受け、場の運用を整える。前ステップ履歴はなく、共同生活維持の短いやり取り。	msg_conv_run_b_smoke_step004_routine_01;msg_conv_run_b_smoke_step004_routine_02;msg_conv_run_b_smoke_step004_routine_03	llm_summary	llm_detail
conv_run_b_smoke_step005_routine	5	run_b_smoke	ISS01;ISS04	exercise_area		routine	closed	normal	運動枠を短く譲り合い、互いの間合いを確かめる	exercise_areaでPriyaとLinhが運動枠を調整する。前ステップで荷物の置き場を尋ねた余韻が残るPriyaは短く確認するに留め、Linhは温かく受けて譲歩を示し、低負荷な接点として収束する。	msg_conv_run_b_smoke_step005_routine_01;msg_conv_run_b_smoke_step005_routine_02;msg_conv_run_b_smoke_step005_routine_03	llm_summary	llm_detail
conv_run_b_smoke_step006_routine	6	run_b_smoke	ISS00;ISS07	common_area		routine	closed	normal	陳偉とSofiaが片付けの段取りを短く合わせる	common_areaでの食後の短い接点。陳偉は控えめに切り出し、Sofiaは明るく応じつつ自分の作業の区切りを伝える。長居せず低負荷に距離を保ったまま共同生活を維持する流れ。	msg_conv_run_b_smoke_step006_routine_01;msg_conv_run_b_smoke_step006_routine_02;msg_conv_run_b_smoke_step006_routine_03	llm_summary	llm_detail
conv_run_b_smoke_step007_routine	7	run_b_smoke	ISS00;ISS04	lab_module		routine	closed	normal	陳偉とLinhが資源スコアを短く確認する	lab_moduleで陳偉が資源スコアの見方を控えめに切り出し、Linhが温かく受け止める。前ステップで片付けやお茶のやり取りを共有した余韻が残り、責めない調子で短く調整する低負荷な接点。	msg_conv_run_b_smoke_step007_routine_01;msg_conv_run_b_smoke_step007_routine_02;msg_conv_run_b_smoke_step007_routine_03	llm_summary	llm_detail
conv_run_b_smoke_step008_routine	8	run_b_smoke	ISS02;ISS01	common_area		routine	open	normal	持ち寄り棚越しに、Fatimaが短い接点だけ置いていく	common_areaの持ち寄り棚前。注意域の二人が長い会話を避け、棚を口実に短いナッジ接点を交わす。Fatimaは慎重に距離を保ち、Priyaは内省的に受け取る。完全な解決ではなく、戻れる余地を残した低負荷な接触。	msg_conv_run_b_smoke_step008_routine_01;msg_conv_run_b_smoke_step008_routine_02;msg_conv_run_b_smoke_step008_routine_03	llm_summary	llm_detail
conv_run_b_smoke_step009_CONF01	9	run_b_smoke	ISS07;ISS02	common_area	CONF01	conflict	unresolved	trouble	共用部の声量でSofiaとFatimaが短く衝突、距離だけ戻す	common_areaでの摩擦。Sofiaは表現を抑えられた苛立ちを短く出し、Fatimaは弱音を出せず防御的に黙る。ストレス5.3/7.3、棚の前で目を合わせず、解決はせず一旦距離を取る形で終わる。	msg_conv_run_b_smoke_step009_CONF01_01;msg_conv_run_b_smoke_step009_CONF01_02;msg_conv_run_b_smoke_step009_CONF01_03	llm_summary	llm_detail
conv_run_b_smoke_step009_routine	9	run_b_smoke	ISS00;ISS07	common_area		routine	open	normal	棚越しの短い接点で声量の警戒を和らげる	common_areaの持ち寄り棚前で、陳偉が控えめに声をかけ、Sofiaは声量問題で残る警戒をほどきつつ短く返す。前回のお茶の流れを引き継ぎ、長居せず距離だけ戻す低負荷な接点。	msg_conv_run_b_smoke_step009_routine_01;msg_conv_run_b_smoke_step009_routine_02;msg_conv_run_b_smoke_step009_routine_03	llm_summary	llm_detail
conv_run_b_smoke_step010_REPB01	10	run_b_smoke	ISS07;ISS02	common_area	REPB01	repair	repaired	repair	声量の件、棚の端で小さくに切り替える合図を共有	common_areaでの修復会話。Sofiaは謝罪を重ねず行動を小さく変える形で距離を戻し、Fatimaは弱音を避けつつ休む合図だけを共有する。前ステップの注意の余韻が残り、互いに踏み込まずに棚周りの所作で接点を保つ。	msg_conv_run_b_smoke_step010_REPB01_01;msg_conv_run_b_smoke_step010_REPB01_02;msg_conv_run_b_smoke_step010_REPB01_03	llm_summary	llm_detail
conv_run_b_smoke_step010_routine	10	run_b_smoke	ISS01;ISS09	common_area		routine	closed	normal	PriyaとHenriが片付けの分担を短く確かめる	common_areaで持ち寄り棚の前。Priyaは前ステップで棚の置き場に慣れつつあり、Henriに穏やかに合図する。長居はせず、夕食後の手順だけを軽く揃える低負荷な接点。	msg_conv_run_b_smoke_step010_routine_01;msg_conv_run_b_smoke_step010_routine_02;msg_conv_run_b_smoke_step010_routine_03	llm_summary	llm_detail
conv_run_b_smoke_step011_REPB01	11	run_b_smoke	ISS07;ISS02	common_area	REPB01	repair	repaired	repair	棚の端で小声、合図で休む約束を確かめ直す	common_areaでSofiaとFatimaが前ステップの取り決めを確認。Sofiaは明るさを控え、Fatimaは合図の使い方を一段だけ言葉にする。距離は戻りつつあるが完全解決ではなく、当面の運用を小さく揃える段階。	msg_conv_run_b_smoke_step011_REPB01_01;msg_conv_run_b_smoke_step011_REPB01_02;msg_conv_run_b_smoke_step011_REPB01_03	llm_summary	llm_detail
conv_run_b_smoke_step011_routine	11	run_b_smoke	ISS01;ISS04	cupola		routine	closed	normal	PriyaとLinhがcupolaで地球を見る時間を短く擦り合わせる	cupolaでPriyaは注意域のまま、長く話さずに済む形を探す。Linhは温かく合わせ、見る時間を共有しつつ会話の余白を残す。前ステップの片付け後の余韻が残り、距離は近すぎず遠すぎずに保たれる。	msg_conv_run_b_smoke_step011_routine_01;msg_conv_run_b_smoke_step011_routine_02;msg_conv_run_b_smoke_step011_routine_03	llm_summary	llm_detail
conv_run_b_smoke_step012_routine	12	run_b_smoke	ISS06;ISS08	hab_module		routine	closed	normal	空調音とリズムを短く擦り合わせるAishaとMarcus	hab_moduleでの低負荷な接点。Marcusは注意域で長話を避けたい様子、Aishaはそれを察して短く確認するだけにとどめる。前ステップの片付け配分の延長で、距離は近づきすぎず保たれている。	msg_conv_run_b_smoke_step012_routine_01;msg_conv_run_b_smoke_step012_routine_02;msg_conv_run_b_smoke_step012_routine_03	llm_summary	llm_detail
conv_run_b_smoke_step013_CONF02	13	run_b_smoke	ISS03;ISS09	cupola	CONF02	conflict	unresolved	trouble	Henriの声かけにAmirが防衛的に距離を取る	cupolaでHenriが控えめに声をかけるが、Amirは故郷の話を勝手に読まれることを警戒し短く拒む。Henriは引き下がりつつ場所だけ譲り、完全な和解には至らない。	msg_conv_run_b_smoke_step013_CONF02_01;msg_conv_run_b_smoke_step013_CONF02_02;msg_conv_run_b_smoke_step013_CONF02_03	llm_summary	llm_detail
conv_run_b_smoke_step013_routine	13	run_b_smoke	ISS08;ISS09	cupola		routine	closed	normal	Marcusが地球を見る時間を短く頼み、Henriが静かに応じる	cupolaでMarcusは注意域、空調のいらつきを引きずり言葉数が少ない。Henriは「キューポラ声かけ」で警戒中、調停疲れも残る。互いに短い確認だけで距離を保ち、視線は地球側に置く。	msg_conv_run_b_smoke_step013_routine_01;msg_conv_run_b_smoke_step013_routine_02;msg_conv_run_b_smoke_step013_routine_03	llm_summary	llm_detail
conv_run_b_smoke_step014_REPB02	14	run_b_smoke	ISS03;ISS09	cupola	REPB02	repair	repaired	repair	AmirとHenriが声かけの距離を取り決め、警戒を少し緩める	cupolaでstep13の衝突後、AmirはHenriに距離の戻し方を提示する。窓辺に座ったまま、OKサインが出ている時だけ声をかける、答えない時はそのままにする、という運用に二人で合意し、修復の入口に立つ。	msg_conv_run_b_smoke_step014_REPB02_01;msg_conv_run_b_smoke_step014_REPB02_02;msg_conv_run_b_smoke_step014_REPB02_03	llm_summary	llm_detail
conv_run_b_smoke_step014_routine	14	run_b_smoke	ISS07;ISS09	cupola		routine	closed	normal	SofiaとHenriが窓辺で見る時間を短く区切る	cupolaでSofiaが先にHenriへ短い問いだけにすると申し出る。前ステップで窓を譲ったHenriは、奥で静かに見る時間を選ぶ。修復の余韻を保ちつつ、互いの距離を保った低負荷な交わし方になっている。	msg_conv_run_b_smoke_step014_routine_01;msg_conv_run_b_smoke_step014_routine_02;msg_conv_run_b_smoke_step014_routine_03	llm_summary	llm_detail
conv_run_b_smoke_step015_REPB02	15	run_b_smoke	ISS03;ISS09	cupola	REPB02	repair	repaired	repair	AmirとHenri、声かけの距離を少しだけ戻し直す	cupolaでの修復継続。Amirは防衛を緩めつつ、サインの運用ルールを自分から確かめ直す。Henriは調停役を引きすぎず、自分の引き際も口にする。完全な和解ではなく、明日も同じ窓に並べる距離まで戻す。	msg_conv_run_b_smoke_step015_REPB02_01;msg_conv_run_b_smoke_step015_REPB02_02;msg_conv_run_b_smoke_step015_REPB02_03	llm_summary	llm_detail
conv_run_b_smoke_step015_routine	15	run_b_smoke	ISS05;ISS06	common_area		routine	closed	normal	持ち寄り棚の前で田中誠とAishaが短く近況を交わす	common_areaの持ち寄り棚前。田中誠は控えめに棚の小物に触れ、Aishaは率直に脚の調子を一言添える。前ステップまでの低負荷な接点を維持し、深入りせず距離を保つ。	msg_conv_run_b_smoke_step015_routine_01;msg_conv_run_b_smoke_step015_routine_02;msg_conv_run_b_smoke_step015_routine_03	llm_summary	llm_detail
conv_run_b_smoke_step016_routine	16	run_b_smoke	ISS01;ISS04	common_area		routine	closed	normal	Priyaが片付けの分担をLinhに静かに尋ねる	common_areaでの夕食後。Priyaは内省的に皿洗いの分担を切り出し、Linhは温かく受けつつ自分のペースも残す。前ステップで雲を黙って見た余韻が残り、長く話さない短い接点として共同生活が続く。	msg_conv_run_b_smoke_step016_routine_01;msg_conv_run_b_smoke_step016_routine_02;msg_conv_run_b_smoke_step016_routine_03	llm_summary	llm_detail
