step	世界イベント名	説明
1	ISS滞在開始	新しい閉鎖生活が始まり、相互距離の測定が始まる。
2	通信遅延の自覚	地上との返答遅れが心理的不確実性を高める。
3	作業手順の再調整	慣れない作業分担で軽い摩擦が生まれる。
4	家族通信の遅延	地上の家族や友人からの返答が遅れ、距離と不確実性を意識する。
5	資源節約アラート	水と食料の節約通知が行動選択を狭める。
6	共同食の改善試行	食事の工夫が会話のきっかけを作る。
7	個人時間の使い方が分岐	一人で回復する人と孤立に傾く人の差が少しずつ見え始める。
8	休息リズムの乱れ	睡眠のズレが感情強度を上げる。
9	窓観測の人気集中	キューポラ利用の偏りが待ち時間ストレスを生む。
10	小さな相互扶助発生	道具共有をきっかけに信頼の芽が出る。
11	作業評価の曖昧化	貢献の見えにくさが不公平感を生む。
12	共同食の席順固定化	いつも近い席に座る組み合わせができ、安心と疎外感が同時に生まれる。
13	共通ルール再確認	暗黙ルールを明文化し摩擦の抑制を試みる。
14	孤独反応の増加	一部メンバーで会話回避が進む。
15	運動習慣の分岐	運動継続者と離脱者で気分差が広がる。
16	文化的誤解の発生	善意の行為が意図通り受け取られない。
17	中間レビュー	残日数の認知が行動を再編する。
18	地上災害ニュース流入	家族安全への懸念が急増する。
19	相談行動の増減	弱音共有の可否で孤立度が分かれる。
20	共同課題の成功体験	協働成功が一時的に希望を押し上げる。
21	疲労の蓄積可視化	小さな苛立ちが連鎖しやすくなる。
22	通信品質の回復	地上接続改善で安心感がやや戻る。
23	役割の固定化	いつも同じ人が調整役を担い消耗する。
24	生活ルーチン再設計	休息・作業・交流の時間配分を見直す。
25	折り返し通知	帰還まで半分という認知が期待と不安を同時に増やす。
26	通信のすれ違い	地上との短い通信で伝えたいことが伝わらず、気持ちの置き場に困る。
27	規範の衝突	静穏優先と対話優先の価値観がぶつかる。
28	対話促進サインの効果	話しかけ許可が新しい接点を生む。
29	個室利用競合	プライバシー需要の増大で待機ストレスが生じる。
30	小集団化の進行	親しい組み合わせが固定し周縁が生まれる。
31	食卓での緩和	共同食が分断を一時的に橋渡しする。
32	帰還後の生活準備	帰還後の生活を具体的に考え始め、期待と現実不安が並ぶ。
33	作業負荷の偏在	能力差で負荷集中が発生する。
34	暗黙の気遣い疲れ	本音を隠すコストが増える。
35	誤解の修復成功	率直な対話が関係修復に寄与する。
36	帰還後ルーティンの再計画	地球での生活リズムを想像し、今の習慣を持ち帰れるか考え始める。
37	資源不足の再警戒	再び節約要請が強まり緊張が戻る。
38	観測窓での内省増加	地球観測時間が感情整理に使われる。
39	支援役の疲弊	助ける側の消耗が見え始める。
40	共同ルールの再改定	中盤の経験を踏まえて規範を調整する。
41	帰還準備タスク開始	手続き負荷で余裕が減る。
42	地上比較情報の流入	他者成功情報が焦りを誘発する。
43	未解決課題の顕在化	先送りした不満が再浮上する。
44	対話の質の分岐	短い衝突か深い理解かで結果が割れる。
45	帰還後生活の想像	期待先行と現実不安が拮抗する。
46	別れの予感	関係維持意識が高まり協調が戻る。
47	最終評価の意識	他者評価を気にして発話が慎重になる。
48	小さな感謝の連鎖	感謝表現が心理的安全を回復させる。
49	帰還直前の緊張	ミス回避意識で行動が硬くなる。
50	帰還フェーズ	滞在経験の意味付けが次の行動意図を決める。
