conversation_id	step	run_id	participant_ids	module_id	event_id	conversation_type	status	tone	summary	detail	evidence_message_ids	summary_source	detail_source
conv_run_c_step001_routine	1	run_c	ISS05;ISS06	common_area		routine	closed	normal	田中誠が補給棚の乱れに気づき、Aishaが即座に整理案を返す	common_areaで田中誠（ストレス55・不安）が棚の散らばりに控えめに触れ、Aishaが率直に解決策を出す。互いをtrust_anchorに持つ二人の、関係構築前の最初のさりげない接点。	msg_conv_run_c_step001_routine_01;msg_conv_run_c_step001_routine_02	llm_summary	llm_detail
conv_run_c_step002_routine	2	run_c	ISS05;ISS06	exercise_area		routine	closed	normal	運動エリアで使用時間を静かに融通し合う	補給品整理から引き続き運動エリアで鉢合わせた二人。Aishaが残り時間を率直に告げ、田中誠は急かさず静かに返す。前ステップの短い協力を引き継ぐ形で、共有空間をさりげなく気遣い合う低負荷な接点。	msg_conv_run_c_step002_routine_01;msg_conv_run_c_step002_routine_02	llm_summary	llm_detail
conv_run_c_step003_routine	3	run_c	ISS06;ISS08	common_area		routine	closed	normal	Aishaが夕食の順番を譲り、Marcusが片付けを引き取る	common_areaでの食事調整。Aishaは高ストレスのMarcusに気づき先に食べるよう促す。MarcusはAishaを信頼しているが余裕がなく、片付けは自分でやると短く返した。前ステップの作業余韻が残る静かな接点。	msg_conv_run_c_step003_routine_01;msg_conv_run_c_step003_routine_02	llm_summary	llm_detail
conv_run_c_step004_routine	4	run_c	ISS01;ISS09	common_area		routine	closed	normal	PriyaとHenriが補給品棚の使い方をさらりと確認	common_areaでの低負荷な接触。不安を抱えるPriyaが手短に棚の整理を打診し、信頼しているHenriが急かさず穏やかに受ける。前履歴はなく、初期適応期の静かな共同生活の接点として機能している。	msg_conv_run_c_step004_routine_01;msg_conv_run_c_step004_routine_02	llm_summary	llm_detail
conv_run_c_step005_routine	5	run_c	ISS01;ISS04	exercise_area		routine	closed	normal	exercise_areaでPriyaとLinhが運動枠をさっと調整する	exercise_areaで鉢合わせ。前ステップで棚の話をISS09と短く切り上げたPriyaはここでも最小限の言葉で先使用を確認。Linhは余裕をもって応じ、場を穏やかに流す。接触は軽く、両者への負荷はほぼない。	msg_conv_run_c_step005_routine_01;msg_conv_run_c_step005_routine_02	llm_summary	llm_detail
conv_run_c_step006_routine	6	run_c	ISS06;ISS09	hab_module		routine	closed	normal	HenriがAishaに個室を出るタイミングを短く伝える	Henriは刺激を減らすため個室にこもっており、Aishaがhab_moduleから直接タイミングを確認する。前ステップでHenriはISS01に棚の整理を急かさず受け流しており、今も自分のペースを静かに保っている。やりとりは情報交換の域にとどまり、互いに干渉しない距離感が続いている。	msg_conv_run_c_step006_routine_01;msg_conv_run_c_step006_routine_02	llm_summary	llm_detail
conv_run_c_step007_routine	7	run_c	ISS00;ISS04	lab_module		routine	closed	normal	陳偉がスコア低下に気づき、Linhが穏やかに受け止める	lab_moduleで陳偉がリソーススコアのわずかな変化に短く気づきを口にする。前ステップでLinhが機材を気持ちよく譲った余韻が残り、二人の間に余計な緊張はない。Linhの一言が陳偉の不安をそっと和らげる。	msg_conv_run_c_step007_routine_01;msg_conv_run_c_step007_routine_02	llm_summary	llm_detail
conv_run_c_step008_routine	8	run_c	ISS06;ISS08	hab_module		routine	closed	normal	ファン音をAishaが確認、Marcusが静かな方を選ぶ	hab_moduleでAishaが空調ファンの出力を確認。Marcusはストレス高めで怒りを抱えつつも、集中したいと短く伝えた。step3の食事のやり取りで生まれた適度な距離感を保ちながら、必要最低限の接点で終わる。	msg_conv_run_c_step008_routine_01;msg_conv_run_c_step008_routine_02	llm_summary	llm_detail
conv_run_c_step009_CONF01	9	run_c	ISS07;ISS02	common_area	CONF01	conflict	open	trouble	声量を遠まわしに指摘され、Fatimaが疑問返しで受ける	共用エリア、step9。前のやり取りはなく初めての直接的な摩擦。SofiaがFatimaの声量を遠まわしに指摘すると、Fatimaは謝らず「そんなに大きかったか」と疑問返し。双方の緊張がじわじわ警戒に転じ始めている。	msg_conv_run_c_step009_CONF01_01;msg_conv_run_c_step009_CONF01_02	llm_summary	llm_detail
conv_run_c_step009_routine	9	run_c	ISS00;ISS04	common_area		routine	closed	normal	陳偉が騒がしさをぽつりと漏らし、Linhが棚前へ静かに誘う	ステップ7でスコアを短く指摘した陳偉が、今回も不安を抱えたまま周囲の声量をぽつりと漏らす。Linhは持ち寄り棚そばの空きを見つけ場所を小さく勧め、二人の低負荷な接点を維持する。陳偉の緊張は続くが、Linhの反応が共用部の余韻を和らげている。	msg_conv_run_c_step009_routine_01;msg_conv_run_c_step009_routine_02	llm_summary	llm_detail
conv_run_c_step010_REPB01	10	run_c	ISS07;ISS02	common_area	REPB01	repair	repaired	repair	棚の前だと響くよ、とSofiaが言い直し、Fatimaが短く受け取る	前ステップでSofiaがFatimaの声量を指摘し、わずかな緊張が残ったまま。持ち寄り棚の前で、Sofiaは謝罪せず「棚の辺りは音が通りやすい」と環境に帰属させることで距離を縮めようとする。Fatimaは打ち解けないまま短く受け取り、修復は動き出すが完全には解けない。	msg_conv_run_c_step010_REPB01_01;msg_conv_run_c_step010_REPB01_02	llm_summary	llm_detail
conv_run_c_step010_routine	10	run_c	ISS01;ISS09	common_area		routine	closed	normal	残り物の扱いをさらっと確認しあう	step4で棚の整理を軽く話した余韻が残る中、common_areaでPriyaが夕食の残り物をどう扱うか小声で確認する。細かいことが気になるPriyaに対し、Henriは棚の容器を示して穏やかに受け止める。解決というより、共に暮らす感覚の確認。	msg_conv_run_c_step010_routine_01;msg_conv_run_c_step010_routine_02	llm_summary	llm_detail
conv_run_c_step011_REPB01	11	run_c	ISS07;ISS02	common_area	REPB01	repair	repaired	repair	棚の話題を挟んで互いに少しずつ距離を戻し始める	step9の声量指摘とstep10の音響説明を経て、SofiaとFatimaの緊張がわずかに和らいでいる。Sofiaが棚に話題を移したことで、FatimaがはじめてSofiaに小さな個人情報を返した。完全な和解ではないが、ぎこちなさが少し溶け始めた。	msg_conv_run_c_step011_REPB01_01;msg_conv_run_c_step011_REPB01_02	llm_summary	llm_detail
conv_run_c_step011_routine	11	run_c	ISS01;ISS04	cupola		routine	closed	normal	LinhがPriyaへ配慮し、二人は短い共有を受け入れる	step5でcupolaを短く分け合った流れを引き継ぎ、LinhはPriyaの様子を見て先に出ようとする。Priyaは短い言葉でそれを断ち、静かな共在を選ぶ。長い会話にはならず、地球観測の時間を二人で短く共有する低負荷な接点になった。	msg_conv_run_c_step011_routine_01;msg_conv_run_c_step011_routine_02	llm_summary	llm_detail
