層	ID	項目名	定義	値域/型	初期化根拠	更新トリガー	更新ルール	若者への主影響	現役世代への主影響
認知アクセス	K01	公的統計接触率	行政統計・白書を定期的に参照する傾向	0.00-1.00	出典候補一覧_若者現役.tsv	情報イベント,教育介入	上限1.0で加算/減算	制度信頼,希望指数	制度信頼,政策受容
認知アクセス	K02	SNS依存率	一次情報よりSNS経由で判断する傾向	0.00-1.00	若者/現役エージェント.tsv	SNS不安イベントE06	E06で上昇,メディア教育で低下	感情強度,不安	分断感,怒り
認知アクセス	K03	専門家情報接触率	一次資料より専門家解説に接触する傾向	0.00-1.00	仮定(層別)	政策説明イベント	説明会/学校連携で上昇	未来経路開放度	制度理解
解釈バイアス	B01	現状維持バイアス	変化より現状維持を選好する傾向	0.00-1.00	年齢・職業層別仮定	危機/成功体験	危機で低下,成功で上昇	行動開始遅延	転職/再訓練遅延
解釈バイアス	B02	損失回避強度	利益より損失回避を優先する傾向	0.00-1.00	心理指標仮定	生活コスト上昇E02	E02で上昇,所得改善で低下	結婚/妊活先送り	投資/消費抑制
解釈バイアス	B03	制度不信バイアス	制度情報を疑って受容しづらい傾向	0.00-1.00	制度信頼逆数から導出	政策失敗/成功	失敗で上昇,実感伴う成功で低下	希望回復阻害	政策実行協力度低下
社会学習	S01	同調係数	近傍エージェントの判断を取り込む強さ	0.00-1.00	発信影響重みから導出	近傍感情変化	近傍平均へ部分収束	楽観/悲観の伝播	制度支持/不信の伝播
社会学習	S02	信頼ネットワーク密度	相談可能な関係資本の密度	0.00-1.00	地域区分・家族構成仮定	地域活動/P03	P03,P09で上昇,孤立で低下	孤立防止,妊活継続	介護離職抑制
将来認知	F01	将来予見可能性	自分の5-10年後を見通せる感覚	0.00-100	希望指数,制度信頼から合成	地政学/景気イベント	E03,E05で低下,緩衝政策で回復	結婚/出産意向	職業選択/教育投資
将来認知	F02	修復経路認知	失敗後に回復経路があると認識する程度	0.00-100	構造支援度から初期化	再訓練・再分配施策	P06,P10で上昇,連続失敗で低下	M3/C3滞留抑制	再就職移行率向上
判断ゲート	G01	行動開始閾値_結婚	M1→M2に必要な主観効用閾値	0-100	層別仮定	全イベント	期待効用が閾値超で遷移	結婚行動開始	結婚行動開始
判断ゲート	G02	行動開始閾値_妊活	C1→C2に必要な主観効用閾値	0-100	層別仮定	全イベント	期待効用が閾値超で遷移	妊活開始	妊活開始
判断ゲート	G03	停滞移行閾値	不確実性が一定超でM3/C3へ移る閾値	0-100	層別仮定	不安・コスト上昇	不確実性>閾値で停滞遷移	未達増減	未達増減
可観測ログ	L01	受け取った事実数	当期に認知できた事実イベント件数	整数	ログ計測	毎ステップ	イベント入力ログを集計	情報格差把握	情報格差把握
可観測ログ	L02	誤認率	事実を誤って解釈した割合	0.00-1.00	推定	毎ステップ	観測事実と解釈の不一致率	感情暴走検知	政策誤解検知
