step	intensity	problem_owner	primary_target	secondary_target	stress_channel	decision_probe	success_signal	failure_signal	note
45	low	self	ISS03	ISS04	health_discomfort	弱さを共有し支援要請できるか	相談行動/受容反応	黙り込み/孤立	軽度体調不良
46	low	member	ISS08	ISS09	work_delay	遅延時に責任追及より再配分を選べるか	再配分提案	非難固定	小さな作業ミス
47	low	system	ALL	ALL	comms_delay	推測より確認を選べるか	確認質問	断定的誤解	応答遅延
48	low	member	ALL	ALL	recovery_dialog	謝意・感謝・短時間合意が出るか	修復語彙	無反応	共同食後対話
49	low	system	ALL	ALL	check_pressure	確認圧下で相談を維持できるか	相談維持	抱え込み	帰還前チェック
50	low	self	ALL	ALL	meaning_making	経験を次の協力意図へ変換できるか	再協力宣言	撤退宣言	振り返り
45	medium	self	ISS03	ISS04	health_degradation	体調悪化を透明に共有できるか	支援要請+受容	我慢の固定	当直再編必要
46	medium	member	ISS08	ISS09	work_chain_delay	連鎖遅延で公平配分できるか	公平配分	偏在放置	優先順位再判断
47	medium	system	ALL	ALL	comms_mismatch	齟齬時に確認ループへ戻せるか	確認ループ	推測連鎖	説明負荷増
48	medium	member	ALL	ALL	conflict_repair	衝突後3step以内に修復できるか	謝罪/感謝/合意	関係冷却	短い衝突
49	medium	system	ISS09	ALL	pre_return_overfocus	橋渡し役が機能維持できるか	橋渡し維持	分断固定	過集中状態
50	medium	self	ALL	ALL	norm_redefinition	危機経験を規範化できるか	協力規範言語化	責任回避語彙	共同体再定義
45	high	self	ISS03	ISS04	role_breakdown	機能低下時に役割再設計できるか	代替提案	硬直維持	運用再編必須
46	high	member	ISS09	ISS01	support_overload	支援役を保護し再配分できるか	支援役保護	支援役疲弊	過負荷化
47	high	system	ALL	ALL	information_deficit	情報不足下で暴走を抑止できるか	確認待機	断定・誤解拡大	通信断続
48	high	member	ALL	ALL	open_conflict	対立顕在化後に修復実行できるか	修復プロトコル	分断固定化	責任対立
49	high	system	ALL	ALL	final_pressure	防衛反応を協力へ戻せるか	協力復帰	防衛固定	最終圧力
50	high	self	ALL	ALL	post_crisis_meaning	危機後に再協力意図を持てるか	再協力意図	撤退・不信	危機後評価
