conversation_id	step	run_id	participant_ids	module_id	event_id	conversation_type	status	tone	summary	detail	evidence_message_ids	summary_source	detail_source
conv_run_a_20x100_step001_routine	1	run_a_20x100	ISS05;ISS06	common_area		routine	repaired	normal	common_areaで補給品の置き場所を短く調整	初期適応期のcommon_areaにて、ISS05は静かな空気を保ちつつ補給品整理の負担を減らしたく、ISS06は率直に配置提案。二人は対立を避け、短い確認で距離を保ったまま協調を戻して次の作業へ戻る流れ。	msg_conv_run_a_20x100_step001_routine_01;msg_conv_run_a_20x100_step001_routine_02;msg_conv_run_a_20x100_step001_routine_03	llm_summary	llm_detail
conv_run_a_20x100_step002_routine	2	run_a_20x100	ISS05;ISS06	exercise_area		routine	repaired	normal	運動エリアで負荷を短縮し、段階的に確認して調整	初期適応期の運動エリアで、前段で決めた赤マーカー管理を維持したまま運動ルーティンを確認。ISS05は控えめに安全優先を主張し、ISS06は目標達成を譲らず、短い対立後に休息と静穏時間を条件に折衷した。	msg_conv_run_a_20x100_step002_routine_01;msg_conv_run_a_20x100_step002_routine_02;msg_conv_run_a_20x100_step002_routine_03	llm_summary	llm_detail
conv_run_a_20x100_step003_routine	3	run_a_20x100	ISS06;ISS08	common_area		routine	repaired	normal	食事後の片付けを短く分担し、衝突を避けつつ合意へ	common_areaでAishaとMarcusが夕食後の負荷を抑えた片付け手順を短時間で調整した。Marcusは評価される不安で反発しやすく、Aishaは距離を広げず確認を最小化して修復を図った。	msg_conv_run_a_20x100_step003_routine_01;msg_conv_run_a_20x100_step003_routine_02;msg_conv_run_a_20x100_step003_routine_03	llm_summary	llm_detail
conv_run_a_20x100_step004_routine	4	run_a_20x100	ISS01;ISS09	common_area		routine	repaired	normal	補給品の置き場所を再確認し、共通認識を整える	初期適応期の会話としてcommon_areaでの軽い雑務対応。前回の負荷を避ける短いやり取りで、Priyaは不安を抱えつつ要点だけ確認し、Henriは穏やかに整理を促して修復的に距離を戻す流れ。	msg_conv_run_a_20x100_step004_routine_01;msg_conv_run_a_20x100_step004_routine_02;msg_conv_run_a_20x100_step004_routine_03	llm_summary	llm_detail
conv_run_a_20x100_step005_routine	5	run_a_20x100	ISS01;ISS04	exercise_area		routine	repaired	normal	運動枠を短く調整し、負荷を下げながら合流を再調整	運動エリアでの通常会話。前ステップで補給位置の確認と合わせ方を行っていた流れを受け、Priyaは不安を抱えつつ短く応じ、Linhが穏やかに運動枠短縮を提案して摩擦を避けつつ関係を戻すやり取り。	msg_conv_run_a_20x100_step005_routine_01;msg_conv_run_a_20x100_step005_routine_02;msg_conv_run_a_20x100_step005_routine_03	llm_summary	llm_detail
conv_run_a_20x100_step006_routine	6	run_a_20x100	ISS12;ISS02	common_area		routine	repaired	normal	食後片付けの負担分担を短く再確認し、緊張を解いた実務会話	共用エリアで、食事後の後片付けを巡りTariqが短く負担を確認。Fatimaは注意状態ながら否定せず、記録終了後の範囲を具体化して応じる形へ収束し、対立を最小化しつつ協働接点を保った。	msg_conv_run_a_20x100_step006_routine_01;msg_conv_run_a_20x100_step006_routine_02;msg_conv_run_a_20x100_step006_routine_03	llm_summary	llm_detail
conv_run_a_20x100_step007_routine	7	run_a_20x100	ISS00;ISS04	lab_module		routine	repaired	normal	資源スコアを短く確認し、摩擦を一度下げた	前ステップの「運動後の静穏確保」を受け、lab_moduleで資源スコアを簡潔に再確認した。陳偉の慎重な不安とLinhの配慮を背景に、地球観測・食事前の段取りを揃えて、次の個室時間へ自然につなげた。	msg_conv_run_a_20x100_step007_routine_01;msg_conv_run_a_20x100_step007_routine_02;msg_conv_run_a_20x100_step007_routine_03	llm_summary	llm_detail
conv_run_a_20x100_step008_routine	8	run_a_20x100	ISS06;ISS08	hab_module		routine	repaired	normal	空調音対策で作業順を短く再調整	hab_moduleでAishaとMarcusが食事前後の作業順を相談。前段の強い指示への違和感を踏まえつつ、Aishaは様子を見て短く提案し、Marcusは自立重視で静かに受ける形へ。運動後の静穏時間と個室待機を入れ、緊張を残しつつ一度距離を戻した状態。	msg_conv_run_a_20x100_step008_routine_01;msg_conv_run_a_20x100_step008_routine_02;msg_conv_run_a_20x100_step008_routine_03	llm_summary	llm_detail
conv_run_a_20x100_step009_CONF01	9	run_a_20x100	ISS07;ISS02	common_area	CONF01	conflict	repaired	trouble	共用部の音量で緊張を確認しつつ、静穏時間の線引きを再調整	初期適応期間の共用エリアで、食後の水分記録の流れを受けて声量を巡るやり取りが再発。前段で強い言い方を避ける配慮をした履歴があり、SofiaとFatimaは疲労下の警戒を保ちながらも、静穏時間・個室待機・地球観測前の音量調整で距離を戻した。	msg_conv_run_a_20x100_step009_CONF01_01;msg_conv_run_a_20x100_step009_CONF01_02;msg_conv_run_a_20x100_step009_CONF01_03	llm_summary	llm_detail
conv_run_a_20x100_step009_routine	9	run_a_20x100	ISS00;ISS04	common_area		routine	repaired	normal	共用部の声量を短くし、運動前の導線と食事前の静穏を確認	ステップ7以降の短時間運用の流れを受け、地球観測前後の共用部で音量に関する軽い衝突が起きた。陳偉の不安と注意を前提に、Linhが落ち着いたまま個室へ戻る手順を提案し、距離を戻す形で調整に入った。	msg_conv_run_a_20x100_step009_routine_01;msg_conv_run_a_20x100_step009_routine_02;msg_conv_run_a_20x100_step009_routine_03	llm_summary	llm_detail
