step	agent_id	module_id	x	y	stress	is_isolated	active_event_ids
1	ISS00	crew_quarters	27.72	34.17	53.0	false	
1	ISS01	common_area	47.03	48.68	65.1	false	
1	ISS02	cupola	50.87	28.8	65.2	false	
1	ISS03	crew_quarters	27.72	31.83	72.5	true	
1	ISS04	cupola	49.09	27.21	35.8	false	
1	ISS05	crew_quarters	28.31	34.95	55.0	false	
1	ISS06	crew_quarters	25.6	32.59	47.2	false	
1	ISS07	common_area	48.82	55.55	40.8	false	
1	ISS08	lab_module	74.65	49.02	63.5	false	
1	ISS09	crew_quarters	25.14	34.27	39.5	false	
2	ISS00	common_area	51.61	48.74	57.4	false	
2	ISS01	crew_quarters	25.13	34.36	58.3	true	
2	ISS02	common_area	52.99	53.32	70.6	false	
2	ISS03	crew_quarters	26.8	31.66	72.1	true	
2	ISS04	hab_module	25.57	51.23	36.2	false	
2	ISS05	exercise_area	52.17	73.14	54.7	false	
2	ISS06	exercise_area	47.72	71.34	42.3	false	
2	ISS07	exercise_area	50.46	77.0	47.6	false	
2	ISS08	crew_quarters	27.35	33.67	58.6	true	
2	ISS09	lab_module	70.59	50.52	39.2	false	
3	ISS00	common_area	51.11	48.28	55.9	false	
3	ISS01	hab_module	24.12	50.66	64.1	false	
3	ISS02	common_area	53.9	52.16	63.9	false	
3	ISS03	hab_module	25.29	45.5	75.7	false	
3	ISS04	crew_quarters	26.32	35.43	38.5	false	
3	ISS05	hab_module	29.26	48.98	59.1	false	
3	ISS06	common_area	45.83	48.4	44.4	false	
3	ISS07	crew_quarters	27.99	37.05	41.5	false	
3	ISS08	common_area	50.6	48.04	65.1	false	
3	ISS09	crew_quarters	25.34	35.31	36.1	false	
4	ISS00	cupola	50.25	25.76	53.6	false	
4	ISS01	common_area	47.27	51.77	60.4	false	
4	ISS02	cupola	52.2	27.14	70.6	false	
4	ISS03	common_area	46.59	45.47	69.9	false	
4	ISS04	hab_module	26.57	51.7	40.0	false	
4	ISS05	crew_quarters	27.98	33.43	57.3	false	
4	ISS06	hab_module	23.03	49.87	46.0	false	
4	ISS07	common_area	54.01	54.01	45.6	false	
4	ISS08	hab_module	26.69	48.3	58.3	false	
4	ISS09	common_area	47.86	52.46	41.6	false	
5	ISS00	lab_module	73.1	48.3	53.1	false	
5	ISS01	exercise_area	48.66	74.96	60.9	false	
5	ISS02	exercise_area	52.94	72.78	65.2	false	
5	ISS03	exercise_area	46.86	71.14	76.7	false	
5	ISS04	exercise_area	50.31	74.58	35.6	false	
5	ISS05	hab_module	28.11	47.65	56.2	false	
5	ISS06	crew_quarters	24.62	35.15	47.2	false	
5	ISS07	common_area	55.1	52.49	44.5	false	
5	ISS08	lab_module	72.64	48.41	64.0	false	
5	ISS09	common_area	48.78	53.02	34.9	false	
6	ISS00	crew_quarters	26.33	33.57	55.4	false	
6	ISS01	lab_module	72.37	52.56	63.4	false	
6	ISS02	common_area	53.94	47.9	67.0	false	
6	ISS03	crew_quarters	24.01	33.77	69.3	true	
6	ISS04	common_area	51.08	51.74	40.9	false	
6	ISS05	crew_quarters	27.06	32.9	52.8	false	
6	ISS06	hab_module	23.74	52.19	42.3	false	
