event_id	start_step	end_step	event_type	timeline_type	label	module_id	participant_ids	related_object_id	related_conflict_id	intensity	direction	description
BASE01	1	10	baseline	baseline	初期適応					0.35	距離測定↑ 生活不安↑	ISSでの共同生活が始まり、互いの距離感と生活ルールを探る。
OBJ07	6	100	object	nudge	持ち寄り棚	common_area		OBJ07		0.45	故郷共有↑ 弱い紐帯↑	共用エリアに持ち寄り棚が置かれ、写真・レシピ・手紙などを通じて背景を共有できる。
CONF01	9	9	conflict	conflict	共用部の声量	common_area	ISS07;ISS02			0.44	すれ違い↑ 疲労反応↑	明るい会話が、疲れている人には負荷として伝わる。
REPB01	10	12	repair	repair	共用部の声量の修復	common_area	ISS07;ISS02	OBJ07	CONF01	0.18	記憶共有↑ 距離再調整↑	持ち寄り棚をきっかけに会話の入口が変わり、言い方と場の使い方を調整する。
BASE02	11	30	baseline	baseline	関係形成					0.45	偶発対話↑ 小摩擦↑	共同食・作業・休息のリズムが見え始め、相性差と支え合いが同時に出る。
OBJ06	11	100	object	nudge	話しかけてOKサイン	cupola		OBJ06		0.4	声かけ障壁↓ 相談↑	キューポラの一席に話しかけてOKサインが置かれ、孤立者に声をかけるきっかけが生まれる。
CONF02	16	16	conflict	conflict	キューポラ声かけ	cupola	ISS03;ISS09	OBJ06		0.62	言い合い↑ 孤立反応↑	一人で地球を見たい人と、心配して声をかけたい人がぶつかる。
REPB02	17	19	repair	repair	キューポラ声かけの修復	cupola	ISS03;ISS09	OBJ06	CONF02	0.2	声かけ許可↑ 警戒低下↑	話しかけてOKサインにより、踏み込みすぎない声かけと断る余地が見える。
OBJ09	18	100	object	nudge	個室聖域マーク	crew_quarters		OBJ09		0.42	プライバシー尊重↑ 侵入不安↓	個室入口に聖域マークが置かれ、一人でいることを尊重する暗黙ルールができる。
OBJ03	24	100	object	nudge	リソース・スコアボード	common_area		OBJ03		0.38	協力可視化↑ 個人責め↓	水・酸素・食料の節約がチームスコアとして見え、個人責任ではなく共同達成として扱える。
CONF03	25	25	conflict	conflict	個室待ち	crew_quarters	ISS02;ISS05	OBJ09		0.64	プライバシー圧↑ 言い合い↑	一人になりたいタイミングが重なる。
REPB03	26	28	repair	repair	個室待ちの修復	crew_quarters	ISS02;ISS05	OBJ09	CONF03	0.2	一人時間尊重↑ 順番調整↑	個室聖域マークを手がかりに、一人時間を責めずに順番を組み直す。
OBJ10	28	100	object	nudge	モジュール移動投票パネル	lab_module		OBJ10		0.35	移動動機↑ こもり込み↓	別モジュールへ移動した人だけが答えられる二択パネルが置かれ、ゆるい移動理由になる。
BASE03	31	60	baseline	baseline	中盤ストレス					0.6	疲労↑ 孤立リスク↑	閉鎖空間の疲れ、個室需要、役割偏りが蓄積する。
CONF04	33	34	conflict	conflict	資源スコアの圧	common_area	ISS00;ISS08	OBJ03		0.52	責められ感↑ 反発↑	資源表示が誰かを責める数字として見え始める。
REPB04	35	37	repair	repair	資源スコアの圧の修復	common_area	ISS00;ISS08	OBJ03	CONF04	0.18	共同達成↑ 責任分散↑	スコアを個人評価ではなくチームの調整材料として読み替える。
CONF05	42	42	conflict	conflict	運動枠の順番	exercise_area	ISS06;ISS08	OBJ10		0.46	順番摩擦↑ 疲労感↑	身体ルーティンを守りたい人と、運動枠を逃したくない人の希望が重なる。
REPB05	43	45	repair	repair	運動枠の順番の修復	exercise_area	ISS06;ISS08	OBJ10	CONF05	0.17	移動投票↑ 順番合意↑	モジュール移動投票がきっかけになり、運動枠の前後に短い調整を入れる。
CONF13	49	49	conflict	conflict	食事準備の遠慮	common_area	ISS13;ISS15			0.38	遠慮↑ 速度差↑	Sitiが食事準備を引き受けすぎ、Amaraの速い提案が休む余地を狭めるように伝わる。
REPB13	50	51	repair	repair	食事準備の遠慮の修復	common_area	ISS13;ISS15	OBJ07	CONF13	0.15	分担確認↑ 休息許可↑	持ち寄り棚のレシピを介して、本人が休む選択を持てるように分担を短く確認する。
CONF06	52	53	conflict	conflict	規律と自律	common_area	ISS18;ISS08	OBJ06		0.55	命令感↑ 反発↑	規律を重んじる声かけが、評価に敏感な相手には命令として響く。
REPB06	54	56	repair	repair	規律と自律の修復	common_area	ISS18;ISS08		CONF06	0.19	役割確認↑ 自律尊重↑	ルールの目的と自分で決めたい気持ちを短い作業確認に落とし込む。
CONF11	60	60	conflict	conflict	技術説明の距離	common_area	ISS10;ISS12			0.42	説明過多↑ 置いていかれ感↑	Raviの善意ある技術説明が、Tariqには抽象的で急ぎすぎる説明として伝わる。
REPB11	61	63	repair	repair	技術説明の距離の修復	common_area	ISS10;ISS12	OBJ10	CONF11	0.16	手順共有↑ 理解回復↑	移動投票パネルを手がかりに、言葉だけでなく実物と短い手順で確認する。
BASE04	61	80	baseline	baseline	後半再調整					0.5	修復機会↑ 気遣い疲れ↑	共同ルールと休息配分を見直し、修復できる関係と固定化する距離が分かれる。
CONF07	64	65	conflict	conflict	文字ルールの置き去り	common_area	ISS12;ISS17			0.46	疎外感↑ 説明摩擦↑	数値や文字で整理する運用が置き去りとして伝わる。
REPB07	66	68	repair	repair	文字ルールの置き去りの修復	common_area	ISS12;ISS17		CONF07	0.18	具体物説明↑ 理解回復↑	ハンドプリントや実物確認を使い、数値だけでなく手順で確認する。
CONF08	73	74	conflict	conflict	ケア役の偏り	common_area	ISS16;ISS14			0.48	援助疲れ↑ 役割固定↑	支える人が支えられる側になれず、励ましが負担として響く。
REPB08	75	77	repair	repair	ケア役の偏りの修復	common_area	ISS16;ISS14		CONF08	0.18	支援分担↑ 休息許可↑	ケアを一人に集めず、休むことも共同体の維持として扱い直す。
BASE05	81	100	baseline	baseline	帰還準備					0.65	緊張↑ 意味づけ↑	帰還が近づき、別れ・評価・地上復帰への不安と感謝が同時に強まる。
CONF09	84	85	conflict	conflict	発信速度の圧	common_area	ISS15;ISS11			0.42	置いていかれ感↑ 回避↑	明るく速い発信が、役割喪失に敏感な相手には圧として伝わる。
REPB09	86	88	repair	repair	発信速度の圧の修復	common_area	ISS15;ISS11		CONF09	0.17	速度調整↑ 参加回復↑	相手が返せる速度に合わせ、短い役割依頼として関わり直す。
CONF12	89	89	conflict	conflict	援助の受け取り	common_area	ISS19;ISS15			0.4	助けたい気持ち↑ 拒否感↑	Karimの静かな援助が、Amaraには自分で立て直す余地を狭める関わりとして伝わる。
REPB12	90	91	repair	repair	援助の受け取りの修復	common_area	ISS19;ISS15	OBJ07	CONF12	0.15	境界確認↑ 支援合意↑	持ち寄り棚の前で、先に助け方を尋ねる形に変え、受け取る側が選べる余地を作る。
CONF10	91	91	conflict	conflict	帰還前の助言	cupola	ISS08;ISS09			0.66	押しつけ感↑ 言い合い↑	年長者の助言が、緊張している相手には押しつけに聞こえる。
REPB10	92	96	repair	repair	帰還前の助言の修復	cupola	ISS08;ISS09	OBJ07	CONF10	0.22	経験共有↑ 謝意回復↑	持ち寄り棚の写真や記録を介して、助言ではなく経験の共有として話し直す。
