step	module_id	occupancy	capacity	crowding_level	is_over_capacity
1	hab_module	0	10	normal	False
1	lab_module	1	5	normal	False
1	cupola	2	3	normal	False
1	common_area	2	8	normal	False
1	exercise_area	0	4	normal	False
1	crew_quarters	5	7	normal	False
2	hab_module	1	10	normal	False
2	lab_module	1	5	normal	False
2	cupola	0	3	normal	False
2	common_area	2	8	normal	False
2	exercise_area	3	4	high	False
2	crew_quarters	3	7	normal	False
3	hab_module	3	10	normal	False
3	lab_module	0	5	normal	False
3	cupola	0	3	normal	False
3	common_area	4	8	normal	False
3	exercise_area	0	4	normal	False
3	crew_quarters	3	7	normal	False
4	hab_module	3	10	normal	False
4	lab_module	0	5	normal	False
4	cupola	1	3	normal	False
4	common_area	3	8	normal	False
4	exercise_area	0	4	normal	False
4	crew_quarters	3	7	normal	False
5	hab_module	1	10	normal	False
5	lab_module	2	5	normal	False
5	cupola	0	3	normal	False
5	common_area	2	8	normal	False
5	exercise_area	3	4	high	False
5	crew_quarters	2	7	normal	False
6	hab_module	0	10	normal	False
6	lab_module	1	5	normal	False
6	cupola	1	3	normal	False
6	common_area	3	8	normal	False
6	exercise_area	0	4	normal	False
6	crew_quarters	5	7	normal	False
7	hab_module	1	10	normal	False
7	lab_module	3	5	normal	False
7	cupola	0	3	normal	False
7	common_area	2	8	normal	False
7	exercise_area	2	4	normal	False
7	crew_quarters	2	7	normal	False
8	hab_module	3	10	normal	False
8	lab_module	0	5	normal	False
8	cupola	0	3	normal	False
8	common_area	3	8	normal	False
8	exercise_area	1	4	normal	False
8	crew_quarters	3	7	normal	False
9	hab_module	1	10	normal	False
9	lab_module	0	5	normal	False
9	cupola	3	3	high	False
9	common_area	3	8	normal	False
9	exercise_area	0	4	normal	False
9	crew_quarters	3	7	normal	False
10	hab_module	2	10	normal	False
10	lab_module	0	5	normal	False
10	cupola	0	3	normal	False
10	common_area	5	8	normal	False
10	exercise_area	1	4	normal	False
10	crew_quarters	2	7	normal	False
11	hab_module	3	10	normal	False
11	lab_module	1	5	normal	False
11	cupola	1	3	normal	False
11	common_area	4	8	normal	False
11	exercise_area	0	4	normal	False
11	crew_quarters	1	7	normal	False
12	hab_module	3	10	normal	False
12	lab_module	1	5	normal	False
12	cupola	0	3	normal	False
12	common_area	5	8	normal	False
12	exercise_area	1	4	normal	False
12	crew_quarters	0	7	normal	False
13	hab_module	0	10	normal	False
13	lab_module	2	5	normal	False
13	cupola	3	3	high	False
13	common_area	4	8	normal	False
13	exercise_area	0	4	normal	False
13	crew_quarters	1	7	normal	False
14	hab_module	0	10	normal	False
14	lab_module	2	5	normal	False
14	cupola	3	3	high	False
14	common_area	3	8	normal	False
14	exercise_area	0	4	normal	False
14	crew_quarters	2	7	normal	False
15	hab_module	1	10	normal	False
15	lab_module	0	5	normal	False
15	cupola	2	3	normal	False
15	common_area	2	8	normal	False
15	exercise_area	2	4	normal	False
15	crew_quarters	3	7	normal	False
16	hab_module	2	10	normal	False
16	lab_module	1	5	normal	False
16	cupola	4	3	over	True
16	common_area	1	8	normal	False
16	exercise_area	0	4	normal	False
16	crew_quarters	2	7	normal	False
17	hab_module	0	10	normal	False
17	lab_module	1	5	normal	False
17	cupola	2	3	normal	False
17	common_area	1	8	normal	False
17	exercise_area	4	4	high	False
17	crew_quarters	2	7	normal	False
18	hab_module	0	10	normal	False
18	lab_module	1	5	normal	False
18	cupola	3	3	high	False
18	common_area	3	8	normal	False
18	exercise_area	0	4	normal	False
18	crew_quarters	3	7	normal	False
19	hab_module	0	10	normal	False
19	lab_module	1	5	normal	False
19	cupola	2	3	normal	False
19	common_area	3	8	normal	False
19	exercise_area	1	4	normal	False
19	crew_quarters	3	7	normal	False
20	hab_module	2	10	normal	False
20	lab_module	0	5	normal	False
20	cupola	2	3	normal	False
20	common_area	4	8	normal	False
20	exercise_area	0	4	normal	False
20	crew_quarters	2	7	normal	False
21	hab_module	1	10	normal	False
21	lab_module	0	5	normal	False
21	cupola	0	3	normal	False
21	common_area	2	8	normal	False
21	exercise_area	1	4	normal	False
21	crew_quarters	6	7	high	False
22	hab_module	0	10	normal	False
22	lab_module	2	5	normal	False
22	cupola	2	3	normal	False
22	common_area	2	8	normal	False
22	exercise_area	0	4	normal	False
22	crew_quarters	4	7	normal	False
23	hab_module	1	10	normal	False
23	lab_module	2	5	normal	False
23	cupola	0	3	normal	False
23	common_area	1	8	normal	False
23	exercise_area	1	4	normal	False
23	crew_quarters	5	7	normal	False
24	hab_module	1	10	normal	False
24	lab_module	0	5	normal	False
24	cupola	1	3	normal	False
24	common_area	4	8	normal	False
24	exercise_area	0	4	normal	False
24	crew_quarters	4	7	normal	False
25	hab_module	2	10	normal	False
25	lab_module	0	5	normal	False
25	cupola	1	3	normal	False
25	common_area	2	8	normal	False
25	exercise_area	0	4	normal	False
25	crew_quarters	5	7	normal	False
26	hab_module	0	10	normal	False
26	lab_module	2	5	normal	False
26	cupola	0	3	normal	False
26	common_area	3	8	normal	False
26	exercise_area	1	4	normal	False
26	crew_quarters	4	7	normal	False
27	hab_module	0	10	normal	False
27	lab_module	1	5	normal	False
27	cupola	0	3	normal	False
27	common_area	5	8	normal	False
27	exercise_area	0	4	normal	False
27	crew_quarters	4	7	normal	False
28	hab_module	1	10	normal	False
28	lab_module	0	5	normal	False
28	cupola	0	3	normal	False
28	common_area	4	8	normal	False
28	exercise_area	3	4	high	False
28	crew_quarters	2	7	normal	False
29	hab_module	1	10	normal	False
29	lab_module	1	5	normal	False
29	cupola	3	3	high	False
29	common_area	4	8	normal	False
29	exercise_area	0	4	normal	False
29	crew_quarters	1	7	normal	False
30	hab_module	0	10	normal	False
30	lab_module	2	5	normal	False
30	cupola	1	3	normal	False
30	common_area	4	8	normal	False
30	exercise_area	1	4	normal	False
30	crew_quarters	2	7	normal	False
31	hab_module	1	10	normal	False
31	lab_module	1	5	normal	False
31	cupola	2	3	normal	False
31	common_area	4	8	normal	False
31	exercise_area	0	4	normal	False
31	crew_quarters	2	7	normal	False
32	hab_module	0	10	normal	False
32	lab_module	1	5	normal	False
32	cupola	0	3	normal	False
32	common_area	3	8	normal	False
32	exercise_area	4	4	high	False
32	crew_quarters	2	7	normal	False
33	hab_module	0	10	normal	False
33	lab_module	0	5	normal	False
33	cupola	2	3	normal	False
33	common_area	3	8	normal	False
33	exercise_area	0	4	normal	False
33	crew_quarters	5	7	normal	False
34	hab_module	0	10	normal	False
34	lab_module	0	5	normal	False
34	cupola	0	3	normal	False
34	common_area	2	8	normal	False
34	exercise_area	5	4	over	True
34	crew_quarters	3	7	normal	False
35	hab_module	0	10	normal	False
35	lab_module	0	5	normal	False
35	cupola	3	3	high	False
35	common_area	3	8	normal	False
35	exercise_area	2	4	normal	False
35	crew_quarters	2	7	normal	False
36	hab_module	1	10	normal	False
36	lab_module	2	5	normal	False
36	cupola	0	3	normal	False
36	common_area	0	8	normal	False
36	exercise_area	4	4	high	False
36	crew_quarters	3	7	normal	False
37	hab_module	1	10	normal	False
37	lab_module	0	5	normal	False
37	cupola	1	3	normal	False
37	common_area	1	8	normal	False
37	exercise_area	2	4	normal	False
37	crew_quarters	5	7	normal	False
38	hab_module	2	10	normal	False
38	lab_module	0	5	normal	False
38	cupola	1	3	normal	False
38	common_area	3	8	normal	False
38	exercise_area	2	4	normal	False
38	crew_quarters	2	7	normal	False
39	hab_module	0	10	normal	False
39	lab_module	1	5	normal	False
39	cupola	0	3	normal	False
39	common_area	4	8	normal	False
39	exercise_area	1	4	normal	False
39	crew_quarters	4	7	normal	False
40	hab_module	0	10	normal	False
40	lab_module	3	5	normal	False
40	cupola	1	3	normal	False
40	common_area	3	8	normal	False
40	exercise_area	0	4	normal	False
40	crew_quarters	3	7	normal	False
41	hab_module	2	10	normal	False
41	lab_module	0	5	normal	False
41	cupola	1	3	normal	False
41	common_area	3	8	normal	False
41	exercise_area	1	4	normal	False
41	crew_quarters	3	7	normal	False
42	hab_module	2	10	normal	False
42	lab_module	0	5	normal	False
42	cupola	1	3	normal	False
42	common_area	2	8	normal	False
42	exercise_area	0	4	normal	False
42	crew_quarters	5	7	normal	False
43	hab_module	0	10	normal	False
43	lab_module	1	5	normal	False
43	cupola	0	3	normal	False
43	common_area	2	8	normal	False
43	exercise_area	4	4	high	False
43	crew_quarters	3	7	normal	False
44	hab_module	1	10	normal	False
44	lab_module	0	5	normal	False
44	cupola	2	3	normal	False
44	common_area	2	8	normal	False
44	exercise_area	0	4	normal	False
44	crew_quarters	5	7	normal	False
45	hab_module	0	10	normal	False
45	lab_module	1	5	normal	False
45	cupola	0	3	normal	False
45	common_area	1	8	normal	False
45	exercise_area	2	4	normal	False
45	crew_quarters	6	7	high	False
46	hab_module	1	10	normal	False
46	lab_module	0	5	normal	False
46	cupola	5	3	over	True
46	common_area	2	8	normal	False
46	exercise_area	0	4	normal	False
46	crew_quarters	2	7	normal	False
47	hab_module	1	10	normal	False
47	lab_module	1	5	normal	False
47	cupola	3	3	high	False
47	common_area	2	8	normal	False
47	exercise_area	1	4	normal	False
47	crew_quarters	2	7	normal	False
48	hab_module	1	10	normal	False
48	lab_module	1	5	normal	False
48	cupola	3	3	high	False
48	common_area	1	8	normal	False
48	exercise_area	1	4	normal	False
48	crew_quarters	3	7	normal	False
49	hab_module	1	10	normal	False
49	lab_module	2	5	normal	False
49	cupola	4	3	over	True
49	common_area	0	8	normal	False
49	exercise_area	0	4	normal	False
49	crew_quarters	3	7	normal	False
50	hab_module	2	10	normal	False
50	lab_module	0	5	normal	False
50	cupola	4	3	over	True
50	common_area	2	8	normal	False
50	exercise_area	0	4	normal	False
50	crew_quarters	2	7	normal	False
