event_id	start_step	end_step	event_type	timeline_type	label	module_id	participant_ids	related_object_id	related_conflict_id	intensity	direction	description
BASE01	1	10	baseline	baseline	初期適応					0.35	距離測定↑ 生活不安↑	ISSでの共同生活が始まり、互いの距離感と生活ルールを探る。
RULE01	6	100	rule	rule	短時間確認ルール	common_area				0.22	会話短縮↑ 再開設計↑	全員向けに、長引きそうな会話は短く確認し、必要なら後で再開するという明文化ルールが導入される。
CONF01	9	10	conflict	conflict	共用部の声量	common_area	ISS07;ISS02			0.5	すれ違い↑ 会話短縮↑	明るい会話が疲れている人には負荷として伝わり、共用部で声量をめぐるすれ違いが起きる。
REPD01	11	13	repair	repair	共用部の声量の修復	common_area	ISS07;ISS02		CONF01	0.18	距離再調整↑ 継続観察↑	短時間確認ルールを使い、声量と休息合図について短く確認する。
BASE02	11	30	baseline	baseline	関係形成					0.45	偶発対話↑ 小摩擦↑	共同食・作業・休息のリズムが見え始め、相性差と支え合いが同時に出る。
CONF02	16	17	conflict	conflict	キューポラ声かけ	cupola	ISS03;ISS09			0.68	言い合い↑ 会話短縮↑	一人で地球を見たい人と、心配して声をかけたい人がぶつかる。
REPD02	18	21	repair	repair	キューポラ声かけの修復	cupola	ISS03;ISS09		CONF02	0.18	距離再調整↑ 継続観察↑	静穏時間ルールを使い、声をかける前の確認と一人でいる時間について短く確認する。
RULE02	18	100	rule	rule	静穏時間ルール	common_area				0.18	静穏確保↑ 例外整理↑	全員向けに、共用部とキューポラで疲れている人を優先する静穏時間が明文化される。
CONF03	25	26	conflict	conflict	個室待ち	crew_quarters	ISS02;ISS05			0.66	プライバシー圧↑ 会話短縮↑	一人になりたいタイミングが重なり、個室の順番と声かけの仕方に敏感になる。
REPD03	27	30	repair	repair	個室待ちの修復	crew_quarters	ISS02;ISS05		CONF03	0.18	距離再調整↑ 継続観察↑	短時間確認ルールを使い、個室利用の順番と再開時刻を短く確認する。
BASE03	31	60	baseline	baseline	中盤ストレス					0.6	疲労↑ 孤立リスク↑	閉鎖空間の疲れ、個室需要、役割偏りが蓄積する。
CONF04	33	34	conflict	conflict	資源スコアの圧	common_area	ISS00;ISS08			0.55	責められ感↑ 会話短縮↑	資源表示が誰かを責める数字として見え始める。
RULE03	33	100	rule	rule	確認テンプレート	common_area				0.2	手順化↑ 再開設計↑	全員向けに、摩擦が起きたら、事実、次の行動、再開時刻だけを短く確認するテンプレートが配られる。
