event_id	start_step	end_step	event_type	event_name	intensity	target	direction	description
BASE01	1	10	baseline	初期適応	0.35	全員	距離測定↑ 生活不安↑	ISSでの共同生活が始まり、互いの距離感と生活ルールを探る。
OBJ07	6	100	object	持ち寄り棚	0.45	common_area	故郷共有↑ 弱い紐帯↑	共用エリアに持ち寄り棚が置かれ、写真・レシピ・手紙などを通じて背景を共有できる。
BASE02	11	30	baseline	関係形成	0.45	全員	偶発対話↑ 小摩擦↑	共同食・作業・休息のリズムが見え始め、相性差と支え合いが同時に出る。
OBJ06	11	100	object	話しかけてOKサイン	0.4	cupola	声かけ障壁↓ 相談↑	キューポラの一席に話しかけてOKサインが置かれ、孤立者に声をかけるきっかけが生まれる。
OBJ09	18	100	object	個室聖域マーク	0.42	crew_quarters	プライバシー尊重↑ 侵入不安↓	個室入口に聖域マークが置かれ、一人でいることを尊重する暗黙の合図ができる。
OBJ03	24	100	object	リソース・スコアボード	0.38	common_area	協力可視化↑ 個人責め↓	水・酸素・食料の節約がチームスコアとして見え、個人責任ではなく共同達成として扱える。
OBJ10	28	100	object	モジュール移動投票パネル	0.35	lab_module;hab_module	移動動機↑ こもり込み↓	別モジュールへ移動した人だけが答えられる二択パネルが置かれ、ゆるい移動理由になる。
BASE03	31	60	baseline	中盤ストレス	0.6	全員	疲労↑ 孤立リスク↑	閉鎖空間の疲れ、個室需要、役割偏りが蓄積する。
BASE04	61	80	baseline	後半再調整	0.5	全員	修復機会↑ 気遣い疲れ↑	共同ルールと休息配分を見直し、修復できる関係と固定化する距離が分かれる。
BASE05	81	100	baseline	帰還準備	0.65	全員	緊張↑ 意味づけ↑	帰還が近づき、別れ・評価・地上復帰への不安と感謝が同時に強まる。
