event_id	start_step	end_step	event_type	event_name	intensity	target	direction	description
BASE01	1	10	baseline	初期適応	0.35	全員	距離測定↑ 生活不安↑	ISSでの共同生活が始まり、互いの距離感と生活ルールを探る。
CONF01	9	11	conflict	共用部の声量	0.52	ISS07;ISS02	すれ違い↑ 疲労反応↑	明るい会話が、疲れている人には負荷として伝わり、共用部で声量をめぐるすれ違いが起きる。
REPA01	12	14	repair	共用部の声量の修復	0.22	ISS07;ISS02	気まずさ↓ 距離再調整↑	謝るタイミングが少し遅れ、共同食の中で普通に戻るきっかけを探す。
BASE02	11	30	baseline	関係形成	0.45	全員	偶発対話↑ 小摩擦↑	共同食・作業・休息のリズムが見え始め、相性差と支え合いが同時に出る。
CONF02	16	19	conflict	キューポラ声かけ	0.72	ISS03;ISS09	言い合い↑ 孤立反応↑	一人で地球を見たい人と、心配して声をかけたい人がぶつかる。
REPA02	20	23	repair	キューポラ声かけの修復	0.26	ISS03;ISS09	修復試行↑ 警戒残存↑	言い合いの余韻が残り、相手の善意をどう受け取るか迷いながら短い会話を試す。
CONF03	25	28	conflict	個室待ち	0.74	ISS02;ISS05	プライバシー圧↑ 言い合い↑	一人になりたいタイミングが重なり、個室の順番と声かけの仕方に敏感になる。
REPA03	29	32	repair	個室待ちの修復	0.25	ISS02;ISS05	順番調整↑ 気まずさ残存↑	個室利用の順番を見直すが、どちらも遠慮と疲れを抱えたまま距離を測る。
BASE03	31	60	baseline	中盤ストレス	0.6	全員	疲労↑ 孤立リスク↑	閉鎖空間の疲れ、個室需要、役割偏りが蓄積する。
CONF04	33	36	conflict	資源スコアの圧	0.58	ISS00;ISS08	責められ感↑ 反発↑	資源表示が協力ではなく、誰かを責める数字として見え始める。
REPA04	37	40	repair	資源スコアの圧の修復	0.24	ISS00;ISS08	役割再確認↑ 責任分散↑	数字を個人評価ではなく共同運用の確認として扱い直そうとする。
CONF05	42	44	conflict	運動枠の順番	0.5	ISS06;ISS08	順番摩擦↑ 疲労感↑	身体ルーティンを守りたい人と、疲れて運動枠を逃したくない人の希望が重なる。
REPA05	45	48	repair	運動枠の順番の修復	0.2	ISS06;ISS08	順番合意↑ 配慮疲れ↓	運動枠の使い方を少し明文化し、互いに先に言う習慣を作り直す。
CONF13	49	50	conflict	食事準備の遠慮	0.44	ISS13;ISS15	遠慮↑ 速度差↑	Sitiが食事準備を引き受けすぎ、Amaraの速い提案が休む余地を狭めるように伝わる。
REPA13	51	52	repair	食事準備の遠慮の修復	0.17	ISS13;ISS15	分担確認↑ 休息許可↑	手伝いを申し出る前に、本人が休む選択を持てるように分担を短く確認する。
CONF06	52	55	conflict	規律と自律	0.64	ISS18;ISS08	命令感↑ 反発↑	規律を重んじる声かけが、評価に敏感な相手には命令として響く。
REPA06	56	59	repair	規律と自律の修復	0.24	ISS18;ISS08	役割確認↑ 自律尊重↑	ルールを守る目的と、自分で決めたい気持ちを短い作業確認に落とし込む。
CONF11	60	62	conflict	技術説明の距離	0.48	ISS10;ISS12	説明過多↑ 置いていかれ感↑	Raviの善意ある技術説明が、Tariqには抽象的で急ぎすぎる説明として伝わる。
REPA11	63	65	repair	技術説明の距離の修復	0.19	ISS10;ISS12	手順共有↑ 理解回復↑	言葉だけでなく、実物と短い手順に分けて確認することで距離を戻す。
BASE04	61	80	baseline	後半再調整	0.5	全員	修復機会↑ 気遣い疲れ↑	共同ルールと休息配分を見直し、修復できる関係と固定化する距離が分かれる。
CONF07	64	67	conflict	文字ルールの置き去り	0.54	ISS12;ISS17	疎外感↑ 説明摩擦↑	数値や文字で整理する運用が、文字に慣れない人には置き去りとして伝わる。
REPA07	68	71	repair	文字ルールの置き去りの修復	0.21	ISS12;ISS17	具体物説明↑ 理解回復↑	数値だけでなく実物と手順で確認する形に変え、少しずつ安心を戻す。
CONF08	73	76	conflict	ケア役の偏り	0.56	ISS16;ISS14	援助疲れ↑ 役割固定↑	支える人が支えられる側になれず、励ましの言葉が負担として響く。
REPA08	77	80	repair	ケア役の偏りの修復	0.22	ISS16;ISS14	支援分担↑ 休息許可↑	ケアを一人に集めず、休むことも共同体の維持として扱い直す。
BASE05	81	100	baseline	帰還準備	0.65	全員	緊張↑ 意味づけ↑	帰還が近づき、別れ・評価・地上復帰への不安と感謝が同時に強まる。
CONF12	82	83	conflict	援助の受け取り	0.46	ISS19;ISS15	助けたい気持ち↑ 拒否感↑	Karimの静かな援助が、Amaraには自分で立て直す余地を狭める関わりとして伝わる。
REPA12	84	86	repair	援助の受け取りの修復	0.18	ISS19;ISS15	境界確認↑ 支援合意↑	先に助け方を尋ねる形に変え、受け取る側が選べる余地を作る。
CONF09	84	87	conflict	発信速度の圧	0.5	ISS15;ISS11	置いていかれ感↑ 回避↑	明るく速い発信が、役割喪失に敏感な相手には圧として伝わる。
REPA09	88	90	repair	発信速度の圧の修復	0.2	ISS15;ISS11	速度調整↑ 参加回復↑	相手が返せる速度に合わせ、短い役割依頼として関わり直す。
CONF10	91	94	conflict	帰還前の助言	0.76	ISS08;ISS09	押しつけ感↑ 言い合い↑	年長者の助言が、緊張している相手には押しつけに聞こえる。
REPA10	95	100	repair	帰還前の助言の修復	0.28	ISS08;ISS09	意味づけ↑ 謝意回復↑	助言ではなく経験の共有として受け取り直し、帰還後の最初の行動を一緒に考える。
