組織ID	組織名	意思決定者氏名	分類コード	組織ペルソナ名	組織種別	業種	規模区分	地域区分	主な市場	雇用人数規模	新卒一括採用依存度	中途即戦力依存度	非正規外注依存度	メンバーシップ雇用度	若手育成余力	AI導入余力	ロボ導入余力	資金余力	人手不足圧力	短期利益圧力	賃上げ余力	価格転嫁余力	地域責任意識	構造持続投資姿勢	意思決定速度	採用方針_初期	若手育成方針_初期	AI導入方針_初期	ロボ導入方針_初期	雇用維持姿勢_初期	事業転換方針_初期	若者への初期影響	現役世代への初期影響	組織影響重み_パーセント	発信影響重み	出典種別	根拠メモ
O01	東央モビリティ株式会社	三浦啓介	組織区分1	大企業製造_人事本部	大企業	自動車・機械製造	大企業	都市部・地方拠点	国内外	10000人以上	82	58	42	86	78	76	82	84	62	64	58	60	72	62	48	新卒採用は維持しつつ理工・AI人材へ寄せる	若手育成は残すが配属を選別する	設計・品質・管理部門へ段階導入	工場ラインへ計画導入	正社員維持を優先し配置転換で吸収	電動化・自動化部品へ転換	大企業が若手枠を残すかが進路安心に効く	製造現場と管理職の再配置圧力が高まる	11.0	1.4	統計+専門家判断+仮定	大企業製造は日本の新卒採用・サプライチェーン・地方雇用への波及が大きい
O02	未来通信システム株式会社	小野寺彩	組織区分1	大企業IT_事業企画	大企業	通信・クラウド・AI基盤	大企業	都市部	国内	5000-9999人	70	72	36	72	74	92	40	88	54	70	62	66	58	72	60	新卒はAI活用前提で厳選し中途も増やす	育成はAIネイティブ研修へ再設計	全社基盤として強く導入	物理ロボは限定導入	雇用維持より職務転換を優先	AI基盤・データセンターへ投資集中	AI人材以外の若者に選別不安を与える	現役IT職の再学習圧力を高める	10.0	1.5	統計+専門家判断+仮定	通信・クラウド大手はAI普及と計算資源格差の中心になる
O03	日進リテールホールディングス	白石真紀	組織区分1	大企業小売_人事労務	大企業	小売・外食・生活サービス	大企業	全国	国内	10000人以上	66	50	72	62	58	70	76	76	82	78	46	52	68	58	50	新卒総合職は維持し店舗人員は抑制する	店長候補育成は維持する	需要予測・発注・労務管理に導入	セルフレジ・配膳・清掃へ導入	正社員は守るが非正規シフトを調整	省人化店舗と地域密着を併用	サービス職志望の若者に入口縮小感が出る	非正規・店長層の負荷と不公平感が高まる	9.0	1.3	統計+専門家判断+仮定	小売外食は非正規雇用と生活インフラの双方に関わる
O04	北関東精密加工株式会社	田辺修一	組織区分2	地方中堅製造_二代目社長	中堅・中小企業	部品加工・製造	中堅	地方	国内BtoB	300-999人	48	62	34	70	46	54	72	50	78	68	40	42	82	48	42	新卒は必要数だけ採り中途経験者を探す	OJT中心だが余力は減っている	見積・検査・事務から導入	加工・搬送へ一部導入	雇用維持したいが採算次第	高付加価値加工へ寄せる	地方製造志望には機会と不安が同時に出る	熟練層の技能移転と省人化が衝突する	8.0	1.0	統計+専門家判断+仮定	地方製造は人手不足・技能継承・ロボ導入の典型
O05	森川建設設備株式会社	森川亮	組織区分2	地方建設_人手不足経営	中堅・中小企業	建設・設備保守	中小	地方	地域	50-299人	35	70	44	54	36	38	58	38	86	66	34	48	88	52	38	新卒は難しく中途と紹介採用に頼る	現場育成はしたいが余裕がない	見積・書類作成に限定導入	測量・点検補助から導入	職人は維持し外注で調整	保守・防災・改修へ軸足	地域で働く道はあるがきつい印象が残る	現場中堅の負荷と採用難が続く	7.0	0.9	統計+専門家判断+仮定	建設設備は地域インフラ維持と人手不足が直結する
O06	海風観光サービス株式会社	岩崎奈緒	組織区分2	地方観光_宿泊運営	中堅・中小企業	観光・宿泊・飲食	中小	地方	観光・地域	50-299人	30	58	68	48	32	42	48	34	80	74	28	36	76	42	45	新卒は抑え繁忙期スタッフを中心にする	接客育成は最小限に圧縮する	予約・翻訳・販促に導入	清掃・配膳補助を検討	雇用維持より稼働調整を優先	高単価化と省人運営へ転換	地域サービス職の不安定さが目立つ	季節就労層の収入変動が大きい	5.0	0.9	統計+専門家判断+仮定	観光宿泊は景気・地域・非正規雇用への感応度が高い
O07	首都圏業務支援株式会社	加納俊介	組織区分2	都市中小BPO_管理部門	中堅・中小企業	事務代行・コールセンター	中小	都市部	国内BtoB	300-999人	42	60	74	50	38	76	28	44	66	82	32	46	38	34	50	新卒は減らしAI運用できる中途へ寄せる	若手育成より即戦力化を優先	文章処理・問合せ対応へ強く導入	ロボは対象外	契約社員と外注で調整	AI監督型BPOへ転換	事務職志望に入口縮小を感じさせる	派遣・契約層の不安と怒りが増えやすい	6.0	1.1	統計+専門家判断+仮定	認知労働自動化の影響が見えやすい中小サービス業
O08	ネクストコアAI株式会社	芦田悠真	組織区分3	AIスタートアップ_CEO	スタートアップ	AIプロダクト	スタートアップ	都市部	国内外	10-49人	18	88	22	24	46	96	20	62	50	92	54	72	28	52	86	新卒はほぼ採らず少数精鋭中途にする	育成より自走力を重視する	事業そのものとして最大活用	ロボ連携は研究段階	成果が出る人材のみ維持	AIエージェント事業へ集中	若者には夢と選別圧を同時に与える	現役専門職には高い再学習圧力を与える	4.0	1.5	専門家判断+仮定	AIスタートアップは雇用吸収より技術変化の方向性を示す
O09	東都SaaS工房株式会社	水野栞	組織区分3	中小IT_SaaS代表	スタートアップ・中小	業務SaaS・受託開発	中小	都市部	国内BtoB	50-299人	28	78	36	36	50	88	18	56	64	76	46	62	42	58	70	新卒は少数採用しAI前提で育てる	若手をAIで底上げする	開発・営業・サポートへ導入	ロボは対象外	雇用維持と生産性向上を両立	受託からSaaSへ転換	AIで若手にも機会が出る可能性がある	中堅エンジニアの役割再定義が起きる	4.0	1.2	専門家判断+仮定	中小ITはAI導入で若手育成を残す分岐があり得る
O10	関東広域ロジスティクス株式会社	大沢健吾	組織区分4	物流中堅_配車統括	地域基盤産業	物流・倉庫	中堅	都市部・地方拠点	国内	1000-4999人	38	66	62	48	42	68	86	58	88	72	40	54	78	50	46	新卒は現場管理候補のみ維持する	現場から管理への育成を絞る	配車・在庫・需要予測へ導入	倉庫搬送・仕分けへ導入	ドライバー確保を優先し待遇改善は限定	自動倉庫と共同配送へ転換	物流職の将来像が変わる不安を生む	現場管理者の負荷と技能転換が進む	7.0	1.0	統計+専門家判断+仮定	物流はロボ普及と人手不足の接点で生活インフラに直結する
