conversation_id	step	run_id	participant_ids	module_id	event_id	conversation_type	status	tone	summary	detail	evidence_message_ids	summary_source	detail_source
conv_run_b_20x100_step001_routine	1	run_b_20x100	ISS05;ISS06	common_area		routine	repaired	normal	補給品置き場を静穏性重視で短く再調整	common_areaでの短いやり取り。昨夜の高負荷を避ける空気を保ちつつ、Aishaの率直な提案と田中の慎重な条件付き同意で、動線・音を抑える収納位置へ合意。個室前の静穏時間と次作業への接続を両立した。	msg_conv_run_b_20x100_step001_routine_01;msg_conv_run_b_20x100_step001_routine_02;msg_conv_run_b_20x100_step001_routine_03	llm_summary	llm_detail
conv_run_b_20x100_step002_routine	2	run_b_20x100	ISS05;ISS06	exercise_area		routine	repaired	normal	運動量を抑えて静かな流れに合わせる合意	前段の補給品整理で静音と動線を共有した流れを受け、運動エリアで体力調整を短い会話に限定。ISS06は高負荷を抑える提案に一応応じ、終了後は地球観測ログへ戻る導線を確認し、緊張を広げず距離を戻す方向に寄せた。	msg_conv_run_b_20x100_step002_routine_01;msg_conv_run_b_20x100_step002_routine_02	llm_summary	llm_detail
conv_run_b_20x100_step003_routine	3	run_b_20x100	ISS06;ISS08	common_area		routine	repaired	normal	共通エリアで食事後の片付けを短時間に調整	共通エリアではAishaとMarcusが食事後の片付けタイミングを確認。過去の軽い整頓運用を踏まえ、地球観測前の静穏時間を優先しつつ、短時間協働で境界を取り決める流れ。Marcusの緊張は残るが衝突は和らいだ。	msg_conv_run_b_20x100_step003_routine_01;msg_conv_run_b_20x100_step003_routine_02;msg_conv_run_b_20x100_step003_routine_03	llm_summary	llm_detail
conv_run_b_20x100_step004_routine	4	run_b_20x100	ISS01;ISS09	common_area		routine	closed	normal	補給品の配置を短く確認し、次の区切りを確保	common_areaでの通常運用として食事前の片づけ確認を実施。Priyaは不安を抱えつつも短い意思疎通を優先し、Henriは穏やかに導線を提案して場の負荷を下げる形になった。補給袋の保管位置を合わせ、静穏時間前の一連行動を確認した。	msg_conv_run_b_20x100_step004_routine_01;msg_conv_run_b_20x100_step004_routine_02	llm_summary	llm_detail
conv_run_b_20x100_step005_routine	5	run_b_20x100	ISS01;ISS04	exercise_area		routine	repaired	normal	運動枠を5分ずつずらし、負荷を抑えて合意した	運動エリアでの通常業務的なやり取りとして、前段の補給整理のやり取りを受けて再開。Priyaは不安を抱えつつ短く確認し、Linhはその警戒を受け止めて衝突しない調整案を示し、距離を戻す形で運動枠を取り決めた。	msg_conv_run_b_20x100_step005_routine_01;msg_conv_run_b_20x100_step005_routine_02	llm_summary	llm_detail
conv_run_b_20x100_step006_routine	6	run_b_20x100	ISS12;ISS02	common_area		routine	repaired	normal	持ち寄り棚周辺の片付けを短く確認	共同エリアでの通常調整。対人摩擦は小さいが、Tariqは早めに進めたい意向、Fatimaは負荷を抑えたい慎重姿勢で慎重に応答。現時点の不安は残るものの、短い約束で作業を継続しやすい雰囲気を保った。	msg_conv_run_b_20x100_step006_routine_01;msg_conv_run_b_20x100_step006_routine_02	llm_summary	llm_detail
conv_run_b_20x100_step007_routine	7	run_b_20x100	ISS00;ISS04	lab_module		routine	repaired	normal	資源スコアを−1で小幅調整、食事前確認で修復へ	前段で運動枠を5分ずらす合意があったため、沈黙寄りのISS00は不安を抱えつつ資源スコアの扱いを抑制寄りに提案。ISS04は共同食事・持ち寄り棚を起点に温かく応答し、対立を完全収束させず様子見の運用で張り付きを戻す。	msg_conv_run_b_20x100_step007_routine_01;msg_conv_run_b_20x100_step007_routine_02;msg_conv_run_b_20x100_step007_routine_03	llm_summary	llm_detail
conv_run_b_20x100_step008_routine	8	run_b_20x100	ISS06;ISS08	hab_module		routine	repaired	normal	空調音の調整を確認し、静穏時間へ合わせて手順を再調整した	hab_moduleでAishaとMarcusは空調音を巡って短いやり取りを行い、前回の運動・地球観測前の静けさ優先という経緯を踏まえて対応を合わせた。Marcusは警戒を残しつつも、Aishaが具体案を出して摩擦を下げ、協調を保っている。	msg_conv_run_b_20x100_step008_routine_01;msg_conv_run_b_20x100_step008_routine_02;msg_conv_run_b_20x100_step008_routine_03	llm_summary	llm_detail
conv_run_b_20x100_step009_CONF01	9	run_b_20x100	ISS07;ISS02	common_area	CONF01	conflict	repaired	trouble	共用部の音量を巡る衝突、作業中の境界を短く再確認	SofiaとFatimaは前の棚整理で役割を分けた流れを受け、common_areaで疲労が高いまま声量をめぐる衝突が再発した。互いに責め合いを避けつつ、作業順と静穏時間の取り方で一時的に距離を戻す調整に入った。	msg_conv_run_b_20x100_step009_CONF01_01;msg_conv_run_b_20x100_step009_CONF01_02;msg_conv_run_b_20x100_step009_CONF01_03	llm_summary	llm_detail
conv_run_b_20x100_step009_routine	9	run_b_20x100	ISS00;ISS04	common_area		routine	repaired	normal	共用棚の補給品置き場所を短くすり合わせた	前のやり取りで、陳偉は節度を保ちながら調整し、Linhは受け止めて寄り添って進める流れが続く。common_areaの持ち寄り棚を起点に、補給品の返却位置を短時間ルールで確認し、衝突を避けつつ互いの不安と期待を維持した。	msg_conv_run_b_20x100_step009_routine_01;msg_conv_run_b_20x100_step009_routine_02	llm_summary	llm_detail
conv_run_b_20x100_step010_REPB01	10	run_b_20x100	ISS07;ISS02	common_area	REPB01	repair	repaired	repair	共用部の声を落とし、棚作業の距離を再調整する	前段で衝突しつつも歩留まりを作る形で修復へ。持ち寄り棚前の作業を分担し、静かな時間と個室休息、地球観測の聴取方法を具体化して対立の残響を薄めた。	msg_conv_run_b_20x100_step010_REPB01_01;msg_conv_run_b_20x100_step010_REPB01_02	llm_summary	llm_detail
