エージェントID	結婚状態コード	結婚状態名	出産状態コード	出産状態名	結婚希望度_0to100	子ども希望度_0to100	M1からM2遷移確率_年次	M2からM4遷移確率_年次	M2からM3遷移確率_年次	C1からC2遷移確率_年次	C2からC4遷移確率_年次	C2からC3遷移確率_年次	C4からC5遷移確率_年次	C系からC6遷移確率_年次	主制約タグ
W01	M4	結婚達成_既婚	C1	子ども希望あり_未着手	72	58	0.00	0.00	0.00	0.24	0.22	0.18	0.88	0.01	住居費
W02	M4	結婚達成_既婚	C1	子ども希望あり_未着手	74	63	0.00	0.00	0.00	0.28	0.24	0.16	0.89	0.01	仕事時間
W03	M4	結婚達成_既婚	C0	子ども希望なし	48	22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	年齢要因
W04	M2	結婚希望あり_行動中	C1	子ども希望あり_未着手	66	55	0.00	0.19	0.21	0.22	0.20	0.20	0.87	0.01	仕事時間
W05	M4	結婚達成_既婚	C0	子ども希望なし	52	18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	年齢要因
W06	M4	結婚達成_既婚	C1	子ども希望あり_未着手	70	52	0.00	0.00	0.00	0.20	0.18	0.22	0.86	0.01	介護両立
W07	M4	結婚達成_既婚	C0	子ども希望なし	46	20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	年齢要因
W08	M4	結婚達成_既婚	C0	子ども希望なし	50	24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	年齢要因
W09	M4	結婚達成_既婚	C0	子ども希望なし	43	16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	年齢要因
W10	M4	結婚達成_既婚	C1	子ども希望あり_未着手	67	50	0.00	0.00	0.00	0.18	0.16	0.24	0.85	0.01	ケア負荷
W11	M2	結婚希望あり_行動中	C1	子ども希望あり_未着手	61	46	0.00	0.16	0.26	0.16	0.14	0.28	0.84	0.01	所得不安
W12	M1	結婚希望あり_未着手	C1	子ども希望あり_未着手	64	49	0.20	0.00	0.00	0.17	0.15	0.27	0.84	0.01	仕事時間
W13	M3	結婚希望あり_未達停滞	C1	子ども希望あり_未着手	58	40	0.00	0.00	0.00	0.12	0.10	0.32	0.82	0.01	所得不安
W14	M1	結婚希望あり_未着手	C1	子ども希望あり_未着手	62	45	0.18	0.00	0.00	0.14	0.12	0.30	0.83	0.01	雇用不安
W15	M1	結婚希望あり_未着手	C1	子ども希望あり_未着手	57	38	0.11	0.00	0.00	0.08	0.08	0.40	0.80	0.02	雇用不安
W16	M3	結婚希望あり_未達停滞	C1	子ども希望あり_未着手	60	41	0.00	0.00	0.00	0.10	0.09	0.38	0.80	0.02	住居不安
W17	M3	結婚希望あり_未達停滞	C0	子ども希望なし	50	24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	雇用不安
W18	M0	結婚希望なし	C0	子ども希望なし	22	8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	低所得固定化
W19	M4	結婚達成_既婚	C1	子ども希望あり_未着手	68	47	0.00	0.00	0.00	0.15	0.13	0.30	0.83	0.01	事業不安
W20	M4	結婚達成_既婚	C0	子ども希望なし	52	20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	介護両立
W21	M2	結婚希望あり_行動中	C1	子ども希望あり_未着手	65	48	0.00	0.17	0.24	0.15	0.13	0.30	0.83	0.01	収入変動
W22	M4	結婚達成_既婚	C5	出生達成	75	66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	保育負荷
W23	M4	結婚達成_既婚	C5	出生達成	73	63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	仕事時間
W24	M4	結婚達成_既婚	C5	出生達成	71	60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	教育費不安
W25	M4	結婚達成_既婚	C0	子ども希望なし	44	15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	介護負荷
W26	M3	結婚希望あり_未達停滞	C1	子ども希望あり_未着手	56	36	0.00	0.00	0.00	0.07	0.07	0.42	0.79	0.01	介護負荷
W27	M3	結婚希望あり_未達停滞	C0	子ども希望なし	40	14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	介護負荷
W28	M2	結婚希望あり_行動中	C1	子ども希望あり_未着手	63	43	0.00	0.15	0.25	0.12	0.11	0.33	0.82	0.01	再就職不安
W29	M1	結婚希望あり_未着手	C1	子ども希望あり_未着手	55	35	0.14	0.00	0.00	0.08	0.07	0.40	0.80	0.01	所得不安
W30	M0	結婚希望なし	C0	子ども希望なし	20	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	健康制約
