イベントID	対象分類コード	対象説明	収入見通し変化	希望指数変化	制度信頼変化	子ども意向変化	雇用安定変化	メンタル負荷変化	住居安定変化	nat獲得機会変化	係数単位	備考
E01	区分6,区分7,区分10	非正規・ギグ層	-0.65	-0.85	-0.40	-0.45	-0.75	+0.55	-0.20	+0.10	1ステップあたり(強度1.0時)	生成AIによる事務・接客・オンライン業務の再編が直撃しやすい。
E01	区分5,区分9	正規雇用層	-0.35	-0.45	-0.20	-0.20	-0.35	+0.35	-0.10	+0.20	1ステップあたり(強度1.0時)	ホワイトカラー業務再編で不安は増えるが耐性あり。
E01	区分1,区分2,区分4	在学層	-0.20	-0.50	-0.20	-0.20	-0.20	+0.40	0.00	+0.30	1ステップあたり(強度1.0時)	将来職業像が不透明化。
E01	区分11,区分13	子育て初期・ケア中核	-0.30	-0.45	-0.25	-0.30	-0.25	+0.40	-0.15	+0.10	1ステップあたり(強度1.0時)	家計不安は増えるが、身体ケア負担とは分離して扱う。
E02	区分6,区分7,区分10	非正規・ギグ層	-0.80	-0.70	-0.20	-0.60	-0.30	+0.50	-0.60	0.00	1ステップあたり(強度1.0時)	生活コスト上昇の直撃。
E02	区分11,区分13	子育て初期・ケア中核	-0.70	-0.60	-0.20	-0.70	-0.20	+0.60	-0.50	0.00	1ステップあたり(強度1.0時)	教育・保育関連費が効く。
E02	区分5,区分9	正規雇用層	-0.40	-0.30	-0.10	-0.30	-0.10	+0.20	-0.30	0.00	1ステップあたり(強度1.0時)	賃上げで一部緩和。
E02	区分1,区分2,区分4	在学層	-0.30	-0.40	-0.10	-0.20	0.00	+0.30	-0.30	0.00	1ステップあたり(強度1.0時)	家計制約から進路選択が狭まる。
E03	区分全体	全体	-0.30	-0.50	-0.60	-0.40	-0.20	+0.40	-0.10	0.00	1ステップあたり(強度1.0時)	将来予見性の低下。
E03	区分1,区分2,区分4	在学層	-0.20	-0.60	-0.60	-0.30	-0.10	+0.40	0.00	0.00	1ステップあたり(強度1.0時)	進路意思決定の先送り。
E04	区分2,区分8,区分9,区分13	地方中心層	-0.60	-0.80	-0.30	-0.40	-0.40	+0.80	-0.90	+0.10	1ステップあたり(強度1.0時)	災害で住居・就労が同時悪化。
E04	区分11	子育て初期	-0.50	-0.70	-0.20	-0.50	-0.30	+0.70	-0.80	+0.10	1ステップあたり(強度1.0時)	保育・通勤断絶の影響。
E04	区分5,区分6,区分7,区分10	都市就労層	-0.20	-0.30	-0.10	-0.20	-0.10	+0.20	-0.10	0.00	1ステップあたり(強度1.0時)	間接影響中心。
E05	区分6,区分7,区分10	非正規・ギグ層	-0.70	-0.80	-0.40	-0.50	-0.80	+0.50	-0.30	0.00	1ステップあたり(強度1.0時)	求人減で雇用不安が急増。
E05	区分5,区分9	正規雇用層	-0.40	-0.50	-0.30	-0.30	-0.40	+0.30	-0.20	0.00	1ステップあたり(強度1.0時)	昇給停滞と移動困難。
E05	区分1,区分2,区分4	在学層	-0.20	-0.50	-0.30	-0.20	-0.20	+0.30	-0.10	0.00	1ステップあたり(強度1.0時)	就職期待の低下。
E06	区分4,区分6,区分7,区分10	SNS高感受層が多い区分	-0.10	-0.70	-0.40	-0.30	-0.10	+0.60	0.00	0.00	1ステップあたり(強度1.0時)	悲観連鎖による心理影響。
E06	区分1,区分2	未成年在学層	0.00	-0.50	-0.30	-0.20	0.00	+0.50	0.00	0.00	1ステップあたり(強度1.0時)	将来像の萎縮。
E06	区分11,区分13	子育て初期・ケア中核	-0.10	-0.50	-0.30	-0.40	0.00	+0.60	0.00	0.00	1ステップあたり(強度1.0時)	社会的孤立感の増幅。
E07	区分8,区分13	家族ケア責任層	-0.60	-0.80	-0.30	-0.50	-0.30	+0.90	-0.20	+0.20	1ステップあたり(強度1.0時)	介護負担で時間と進路が削られる。
E07	区分11	子育て初期層	-0.40	-0.60	-0.20	-0.60	-0.20	+0.70	-0.10	+0.10	1ステップあたり(強度1.0時)	育児と親世代ケアの二重負担。
E07	区分2,区分9,区分10	地方層	-0.30	-0.50	-0.20	-0.30	-0.10	+0.50	-0.10	+0.10	1ステップあたり(強度1.0時)	地域のケア不足が家族内に戻る。
E08	区分9	医療福祉・地方正規層	-0.20	-0.50	-0.50	-0.30	-0.10	+0.80	-0.10	+0.20	1ステップあたり(強度1.0時)	医療現場の負荷が上がる。
E08	区分12,区分13	療養・ケア中心層	-0.40	-0.70	-0.60	-0.40	-0.20	+0.80	-0.10	+0.10	1ステップあたり(強度1.0時)	支援接続が弱まり離脱リスクが上がる。
E08	区分全体	全体	-0.10	-0.30	-0.40	-0.20	0.00	+0.30	0.00	0.00	1ステップあたり(強度1.0時)	社会全体の安心感と制度信頼が下がる。
E09	区分3,区分6,区分10	現場・サービス・季節就労層	-0.55	-0.65	-0.30	-0.40	-0.65	+0.45	-0.15	+0.20	1ステップあたり(強度1.0時)	身体労働ロボ導入で、現場職の置換・賃金低下不安が強い。
E09	区分9	正規雇用安定層	-0.35	-0.45	-0.20	-0.25	-0.40	+0.30	-0.10	+0.20	1ステップあたり(強度1.0時)	製造・地域産業再編で中期不安が出る。
E09	区分5	都市部正規雇用初期層	-0.15	-0.25	-0.10	-0.10	-0.15	+0.20	0.00	+0.20	1ステップあたり(強度1.0時)	直接影響は限定的だが、将来の職域再編を意識する。
E09	区分8,区分11,区分13	ケア責任・子育て初期層	-0.20	-0.35	-0.30	-0.30	-0.10	+0.30	-0.10	+0.20	1ステップあたり(強度1.0時)	支援機器の利用格差が出ると、ケア負担の不公平感が増える。
P01	区分6,区分7,区分10	非正規・ギグ層	+0.40	+0.70	+0.40	+0.50	+0.30	-0.50	+0.90	+0.20	1ステップあたり(強度1.0時)	住居安定が希望を押し上げる。
P01	区分12,区分13	無業・ケア中心層	+0.30	+0.60	+0.40	+0.40	+0.20	-0.40	+0.80	+0.20	1ステップあたり(強度1.0時)	生活基盤回復の入口。
P02	区分4	奨学金負債層	+0.60	+0.70	+0.50	+0.50	+0.20	-0.40	+0.20	0.00	1ステップあたり(強度1.0時)	返済平準化の効果が大きい。
P02	区分1,区分2	高校・高専在学層	+0.30	+0.40	+0.30	+0.20	+0.10	-0.20	+0.10	0.00	1ステップあたり(強度1.0時)	進学期待の改善。
P03	区分全体	全体	+0.20	+0.60	+0.50	+0.30	+0.20	-0.20	+0.10	+0.90	1ステップあたり(強度1.0時)	社会持続活動が報酬化される。
P03	区分10,区分13	ケア責任層	+0.30	+0.70	+0.60	+0.40	+0.30	-0.30	+0.20	+1.10	1ステップあたり(強度1.0時)	不可視労働の可視化と収入化。
P03	区分6,区分7	非正規・ギグ層	+0.20	+0.60	+0.50	+0.30	+0.30	-0.20	+0.10	+1.00	1ステップあたり(強度1.0時)	役割創出が離脱を防ぐ。
P04	区分11	子育て初期層	+0.70	+0.80	+0.30	+1.20	+0.10	-0.40	+0.60	0.00	1ステップあたり(強度1.0時)	直接的な出生実行支援。
P04	区分5,区分9	結婚前後の正規層	+0.30	+0.40	+0.20	+0.70	+0.10	-0.10	+0.20	0.00	1ステップあたり(強度1.0時)	出産時期の前倒し効果。
P04	区分6,区分7,区分10	非正規・ギグ層	+0.20	+0.30	+0.10	+0.40	0.00	-0.10	+0.20	0.00	1ステップあたり(強度1.0時)	効果はあるが継続性課題。
P05	区分10,区分13	ケア責任層	+0.60	+0.70	+0.70	+0.50	+0.60	-0.40	+0.30	+0.80	1ステップあたり(強度1.0時)	ケア就労の地位向上。
P05	区分8,区分9	地方就労層	+0.30	+0.40	+0.40	+0.30	+0.40	-0.20	+0.20	+0.50	1ステップあたり(強度1.0時)	地方雇用の底上げ。
P06	区分6,区分7,区分12	非正規・ギグ・無業層	+0.50	+0.80	+0.50	+0.40	+0.90	-0.50	+0.20	+0.40	1ステップあたり(強度1.0時)	移行雇用保証が中核。
P06	区分4	在学負債層	+0.30	+0.50	+0.40	+0.30	+0.40	-0.30	+0.10	+0.40	1ステップあたり(強度1.0時)	卒業後の不安軽減。
P07	区分2,区分8,区分9,区分13	地方層	+0.40	+0.60	+0.50	+0.40	+0.40	-0.20	+0.70	+0.40	1ステップあたり(強度1.0時)	生活基盤の改善が効く。
P07	区分1,区分4,区分5,区分6,区分7	都市層	+0.10	+0.20	+0.20	+0.10	+0.10	-0.10	+0.10	+0.10	1ステップあたり(強度1.0時)	間接的な波及。
P08	区分4,区分6,区分7,区分12,区分13	高負荷層	+0.10	+0.70	+0.30	+0.30	+0.20	-0.90	+0.10	+0.20	1ステップあたり(強度1.0時)	心理安全の回復が先行。
P08	区分1,区分2	未成年層	0.00	+0.50	+0.20	+0.10	+0.10	-0.70	0.00	+0.10	1ステップあたり(強度1.0時)	早期アクセスで重症化予防。
P09	区分1,区分2,区分4	在学層	+0.20	+0.60	+0.50	+0.20	+0.20	-0.20	+0.10	+0.60	1ステップあたり(強度1.0時)	努力と社会価値の接続。
P09	区分5,区分6,区分7	若年就労層	+0.20	+0.50	+0.40	+0.20	+0.30	-0.20	+0.10	+0.70	1ステップあたり(強度1.0時)	地域課題参画が機会化。
P10	区分1,区分2,区分4,区分6,区分7,区分8,区分10,区分12,区分13	低所得・脆弱層	+0.30	+0.50	+0.60	+0.30	+0.20	-0.20	+0.20	+0.80	1ステップあたり(強度1.0時)	nat配分の逆進性補正。
P10	区分5,区分9,区分11	中位安定層	-0.05	+0.10	+0.20	+0.10	0.00	0.00	0.00	-0.10	1ステップあたり(強度1.0時)	再分配負担は軽微に設定。
P11	区分8,区分13	家族ケア責任層	+0.35	+0.70	+0.50	+0.50	+0.20	-0.70	+0.10	+0.60	1ステップあたり(強度1.0時)	介護ロボットと在宅支援で時間制約が緩み、役割が孤立から社会接続へ変わる。
P11	区分11	子育て初期層	+0.30	+0.60	+0.40	+0.60	+0.10	-0.60	+0.20	+0.30	1ステップあたり(強度1.0時)	育児と親世代ケアの二重負担を軽くする。
P11	区分9	医療福祉・地方正規層	+0.20	+0.30	+0.30	+0.20	+0.20	-0.30	+0.10	+0.40	1ステップあたり(強度1.0時)	現場負荷が下がり、地域ケアの継続可能性が上がる。
P11	区分12	療養・再参加調整層	+0.20	+0.50	+0.40	+0.20	+0.10	-0.60	+0.10	+0.30	1ステップあたり(強度1.0時)	在宅支援により孤立と制度接続の弱さを緩める。
