組織出力	変換先状態	若者への主効果	現役世代への主効果	想定される波及	備考
新卒採用縮小	未来経路開放度↓,希望指数↓	初職の入口が狭まり不安・諦念が増える	中間管理職の採用選別負荷が増える	就活不安,SNS悲観,学歴選別感	介入なし比較で重要
新卒採用維持	未来経路開放度↑,制度信頼↑	努力すれば入れる経路が残り希望が保たれる	育成負荷は残るが組織内継承が続く	安心,希望,相談行動	構造持続投資として扱える
若手育成縮小	自己効力感↓,喪失感↑	入社後に育ててもらえない感覚が強まる	中堅層が即戦力不足を抱える	早期離職,学習焦り,怒り	AI時代に起こりやすい副作用
AI前提育成	自己効力感↑,適応行動↑	AIを使えば戦える感覚が出る	現役層にも再教育圧力と機会が出る	学習・就活,制度利用	教育機関と接続すると強い
AI少数精鋭化	格差認知↑,怒り↑	一部だけ選ばれる感じが強まり分断する	専門職以外の再配置不安が増える	抗議・発信,回避・縮小	スタートアップ・大企業ITで出やすい
ロボ導入による現場省人化	雇用安定↓,地域不安↑	身体労働職の将来像が揺らぐ	現場職の配置転換と技能更新が必要になる	生活防衛,学び直し	製造・物流・小売で強い
ロボ導入による負荷軽減	メンタル負荷↓,構造支援度↑	介護・インフラ職に役割継続の希望が出る	介護離職や現場疲弊を抑える	連帯,制度利用,ケア継続	ケア・インフラで正の効果
非正規調整	制度信頼↓,裏切られ感↑	弱い層から切られる感覚が怒りになる	非正規現役層の諦念と不安が増える	抗議・発信,撤退	日本型雇用の負の面
雇用維持・配置転換	安心↑,制度信頼↑	社会が人を捨てない感覚につながる	配置転換ストレスはあるが生活基盤が残る	相談,学習,制度利用	再教育とセットで効果が出る
地域採用・学校連携	連帯感↑,未来経路開放度↑	地域に残る/戻る選択肢が見える	子育て・介護との両立可能性が上がる	参加・連帯,学習・就活	地方分散施策と相性がよい
ケア支援拡充	子ども意向↑,安心↑	将来の家族形成に現実味が出る	介護中核・子育て層の離職圧力が下がる	ケア継続,制度利用	構造持続論ありで重要
価格転嫁失敗・賃上げ不能	生活コスト不安↑,怒り↑	働いても生活が良くならない感覚が強まる	転職意向と家計防衛が増える	生活防衛,諦念	中小企業で起こりやすい
