国家コード	国名	英語名	地域	主機能	制度容量	同盟支援	エネルギー安全保障	食料安全保障	計算資源アクセス	半導体重要度	AI自動化影響	国内不安	戦争圧力	財政余力	日本波及係数	初期リスク段階	主な懸念	出典種別	根拠_歴史と国家特性
USA	アメリカ	United States	北米	AI覇権・同盟・金融	78	84	82	86	97	82	82	42	38	92	86	圧力上昇	AI競争と中東・台湾を同時に抱え、同盟国への要求が強まりやすい	統計+専門家判断+仮定	基軸通貨、同盟網、AI計算資源、軍事展開力が大きく、日本の安全保障とAI産業条件に強く効く
CHN	中国	China	東アジア	製造・台湾海峡・大国競争	68	48	68	74	90	72	78	44	52	88	92	境界的圧力	台湾海峡、半導体、輸出管理、国内雇用不安が連動する	統計+専門家判断+仮定	製造供給網と台湾海峡の緊張、国家主導AI投資により、日本の物価、半導体、心理不安に直接波及する
JPN	日本	Japan	東アジア	国内制度・同盟・半導体周辺	83	76	32	42	88	78	77	36	28	74	100	圧力上昇	安全保障費、生活支援、若者政策の財政配分が競合する	統計+専門家判断+仮定	少子高齢化、輸入エネルギー依存、日米同盟、半導体政策が若者の希望経路と制度信頼に直結する
TWN	台湾	Taiwan	東アジア	先端半導体・台湾海峡	79	72	46	52	90	100	82	40	62	74	90	境界的圧力	台湾有事と半導体供給の不安が日本の若者にも心理的に波及する	統計+専門家判断+仮定	先端半導体供給の集中と海峡リスクにより、日本の産業継続性とSNS不安への波及が大きい
KOR	韓国	South Korea	東アジア	半導体・同盟・近隣世論	76	74	36	48	86	92	80	42	34	72	70	圧力上昇	半導体競争と北朝鮮リスク、若者雇用不安が連動する	統計+専門家判断+仮定	日本と近い産業構造、同盟関係、半導体競争を持ち、近隣国として心理的・経済的な比較対象になる
PRK	北朝鮮	North Korea	東アジア	軍事圧力・ミサイルリスク	26	36	22	28	24	8	30	52	72	18	58	間接衝突	ミサイル・核リスクが日本の安全保障不安を周期的に高める	専門家判断+仮定	制度閉鎖性と軍事圧力の高さにより、直接経済規模よりも安全保障心理への波及が大きい
RUS	ロシア	Russia	ユーラシア	資源・軍事・制裁	48	32	88	72	46	28	52	50	78	62	56	間接衝突	戦争継続、資源価格、制裁の長期化が世界不安を残す	統計+専門家判断+仮定	資源輸出と軍事圧力が大きく、欧州・エネルギー価格・安全保障認識を通じて日本へ間接波及する
UKR	ウクライナ	Ukraine	欧州	戦争継続・復興・欧州安全保障	46	72	34	66	42	18	50	64	86	34	38	限定戦争	戦争長期化と復興負担が国際秩序の不確実性を高める	統計+専門家判断+仮定	領土防衛と復興が同時進行し、戦争の長期化が日本の地政学不安と財政議論に波及する
IRN	イラン	Iran	中東	中東緊張・エネルギー航路	44	28	78	48	38	16	44	58	68	46	64	境界的圧力	停戦や抑止が崩れると原油・海上輸送・SNS不安に波及する	専門家判断+仮定	ホルムズ海峡や地域対立を通じて、日本のエネルギー価格と危機認識に効く
ISR	イスラエル	Israel	中東	安全保障・先端技術・地域紛争	74	76	42	42	84	42	74	54	74	68	52	間接衝突	地域紛争、サイバー、技術供給網が不安定化しやすい	専門家判断+仮定	先端技術力と地域紛争の同時性により、技術供給・世論分断・安全保障認識に波及する
SAU	サウジアラビア	Saudi Arabia	中東	原油・エネルギー調整	62	62	96	28	58	22	44	36	34	72	72	圧力上昇	原油価格と中東外交の調整役として日本の生活コストに効く	統計+専門家判断+仮定	原油供給と価格調整力が大きく、日本の電気代、物流費、家計不安に波及しやすい
IND	インド	India	南アジア	人口・AI労働市場・成長軸	52	58	49	69	63	44	68	48	42	46	48	圧力上昇	AI労働市場、人口規模、対中関係が世界雇用観を変える	統計+専門家判断+仮定	人口規模、IT人材、成長市場として、AI時代の雇用競争と供給網再編の参照点になる
EU	欧州連合	European Union	欧州	規制・ウクライナ支援・景気	81	78	56	80	84	64	79	40	30	80	68	圧力上昇	AI規制、ウクライナ支援、景気減速が世界制度観に影響する	統計+専門家判断+仮定	規制設計と市場規模が大きく、AI制度、データ、環境政策、戦争支援の規範形成に影響する
GBR	英国	United Kingdom	欧州	金融・安全保障・AI政策	74	78	58	62	82	36	76	44	32	66	42	圧力上昇	AI安全保障と金融市場、欧州安全保障への関与が制度観に効く	統計+専門家判断+仮定	金融センター、英米連携、AI安全政策の発信力により、日本の制度設計議論へ間接波及する
AUS	オーストラリア	Australia	オセアニア	資源・対中抑止・食料	72	82	84	88	62	22	58	34	30	70	46	平時	資源・食料供給と安全保障協力が日本の緩衝材になる	統計+専門家判断+仮定	資源・食料・同盟協力の面で、日本の不安を下げる緩衝国として機能しやすい
CAN	カナダ	Canada	北米	資源・移民・同盟	76	80	88	90	72	28	66	38	24	78	32	平時	資源・人材・北米供給網が安定側に働く	統計+専門家判断+仮定	資源、移民、人材、北米連携を通じて、世界供給網の安定要素として日本へ間接波及する
DEU	ドイツ	Germany	欧州	製造・EU中核・景気	82	76	48	76	78	72	78	42	28	78	46	圧力上昇	製造業の停滞やエネルギー転換が世界景気観を悪化させる	統計+専門家判断+仮定	EU製造業の中核として、日本の製造業心理、輸出環境、環境政策コスト認識に影響する
