モデル要素	対応する実装列/状態	根拠データ	出典ファイル	反映方法	妥当性メモ	未確定点
人口構成	人口重み_パーセント	人口推計	出典候補一覧_若者現役.tsv	年齢帯比率で重み再配分	標本30体でも母集団へ復元可能	最新年次で再校正
就業形態	在学就業区分,雇用安定度	労働力調査	出典候補一覧_若者現役.tsv	正規/非正規/無業比率で初期割当	政策感度差を再現	産業別細分は未反映
所得制約	世帯所得階層	国民生活基礎調査	出典候補一覧_若者現役.tsv	五分位近似で層別設定	M2/C2の停滞理由を説明可能	地域物価補正は未反映
教育負債	奨学金等負債_百万円	JASSO返還者属性調査	出典候補一覧_若者現役.tsv	負債レンジを層別に設定	将来投資先送りを説明可能	在学者の最新分布は要追補
婚姻過程	結婚状態M0-M4	人口動態統計（婚姻）	結婚出産状態定義.tsv	初期状態と遷移確率を分離	希望と達成の乖離を分解可能	都道府県別差は未導入
出生過程	出産状態C0-C6	人口動態統計（出生）	結婚出産状態定義.tsv	希望/妊活/妊娠/出生を分離	介入の効き所を特定可能	C6推計は仮定依存
保育制約	ケア責任,住居形態	保育所等関連状況	出典候補一覧_若者現役.tsv	子育て層の停滞確率へ反映	C2→C3の構造的制約を表現	自治体粒度は未導入
介護制約	ケア責任,現役区分7	就業構造基本調査等	出典候補一覧_若者現役.tsv	介護中核層に高負荷設定	M3/C3滞留の説明力を強化	表番号固定が未完
心理状態	希望指数,制度信頼,主感情	こども白書等	若者/現役エージェント.tsv	初期値を層別に仮定設定	感情・行動連関を可視化	実測分布との厳密一致は未対応
外圧入力	geopolitical_risk等	国家モデル初期値/目的重み	国家から若者への接続設計.tsv	国家層から国内層へ変換	国際情勢→家計/心理の経路が明確	係数の感度分析が必要
政策介入	イベントID(P01-P11)	政策仮説+公開統計トレンド	イベント定義.tsv	遷移補正へ加算適用	介入なし/あり比較が可能	政策実装遅延の再現は未対応
自動化の分離	イベントID(E01,E09,P11)	AI労働市場資料+ロボティクス普及仮説	イベント定義.tsv,更新係数.tsv	認知労働自動化と身体労働ロボ普及を別イベントとして入力	生成AIショックとロボット普及の速度差・対象差を表現	普及速度と産業別影響は感度分析が必要
創発挙動	認知層(K/B/S/F/G)	行動科学知見+仮定	認知層設計.tsv	命令ではなく情報入力で更新	LLM自律判断の余地を確保	プロンプト差の影響検証が必要
再現性	状態遷移ログ,解釈ログ	シミュレーション内部ログ	実装側ログ設計	各ステップで保存	審査時の説明可能性が高い	ログ量最適化が必要
