step	label	relative_year	unit	duration_years	phase	quiet_hours	shared_meal_time	private_room_priority	description
1	ISS滞在 Day1	0.00	日	0.003	ISS_100日_初期適応	22:00-06:00	19:00	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での初期適応観測
2	ISS滞在 Day2	0.01	日	0.003	ISS_100日_初期適応	22:00-06:00	19:00	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での初期適応観測
3	ISS滞在 Day3	0.01	日	0.003	ISS_100日_初期適応	22:00-06:00	19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での初期適応観測
4	ISS滞在 Day4	0.01	日	0.003	ISS_100日_初期適応	22:00-06:00	19:00	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での初期適応観測
5	ISS滞在 Day5	0.01	日	0.003	ISS_100日_初期適応	22:00-06:00	19:00	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での初期適応観測
6	ISS滞在 Day6	0.02	日	0.003	ISS_100日_初期適応	22:00-06:00	19:00	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での初期適応観測
7	ISS滞在 Day7	0.02	日	0.003	ISS_100日_初期適応	22:00-06:00	19:00	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での初期適応観測
8	ISS滞在 Day8	0.02	日	0.003	ISS_100日_初期適応	22:00-06:00	19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での初期適応観測
9	ISS滞在 Day9	0.02	日	0.003	ISS_100日_初期適応	22:00-06:00	19:00	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での初期適応観測
10	ISS滞在 Day10	0.03	日	0.003	ISS_100日_初期適応	22:00-06:00	19:00	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での初期適応観測
11	ISS滞在 Day11	0.03	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での関係形成観測
12	ISS滞在 Day12	0.03	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での関係形成観測
13	ISS滞在 Day13	0.04	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での関係形成観測
14	ISS滞在 Day14	0.04	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での関係形成観測
15	ISS滞在 Day15	0.04	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での関係形成観測
16	ISS滞在 Day16	0.04	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での関係形成観測
17	ISS滞在 Day17	0.05	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での関係形成観測
18	ISS滞在 Day18	0.05	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での関係形成観測
19	ISS滞在 Day19	0.05	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での関係形成観測
20	ISS滞在 Day20	0.05	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での関係形成観測
21	ISS滞在 Day21	0.06	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での関係形成観測
22	ISS滞在 Day22	0.06	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での関係形成観測
23	ISS滞在 Day23	0.06	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での関係形成観測
24	ISS滞在 Day24	0.07	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での関係形成観測
25	ISS滞在 Day25	0.07	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での関係形成観測
26	ISS滞在 Day26	0.07	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での関係形成観測
27	ISS滞在 Day27	0.07	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での関係形成観測
28	ISS滞在 Day28	0.08	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での関係形成観測
29	ISS滞在 Day29	0.08	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での関係形成観測
30	ISS滞在 Day30	0.08	日	0.003	ISS_100日_関係形成	22:00-06:00	12:30+19:00	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での関係形成観測
31	ISS滞在 Day31	0.08	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での中盤ストレス観測
32	ISS滞在 Day32	0.09	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での中盤ストレス観測
33	ISS滞在 Day33	0.09	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での中盤ストレス観測
34	ISS滞在 Day34	0.09	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での中盤ストレス観測
35	ISS滞在 Day35	0.10	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での中盤ストレス観測
36	ISS滞在 Day36	0.10	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での中盤ストレス観測
37	ISS滞在 Day37	0.10	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での中盤ストレス観測
38	ISS滞在 Day38	0.10	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での中盤ストレス観測
39	ISS滞在 Day39	0.11	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での中盤ストレス観測
40	ISS滞在 Day40	0.11	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での中盤ストレス観測
41	ISS滞在 Day41	0.11	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での中盤ストレス観測
42	ISS滞在 Day42	0.12	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での中盤ストレス観測
43	ISS滞在 Day43	0.12	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での中盤ストレス観測
44	ISS滞在 Day44	0.12	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での中盤ストレス観測
45	ISS滞在 Day45	0.12	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での中盤ストレス観測
46	ISS滞在 Day46	0.13	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での中盤ストレス観測
47	ISS滞在 Day47	0.13	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での中盤ストレス観測
48	ISS滞在 Day48	0.13	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での中盤ストレス観測
49	ISS滞在 Day49	0.13	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での中盤ストレス観測
50	ISS滞在 Day50	0.14	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での中盤ストレス観測
51	ISS滞在 Day51	0.14	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での中盤ストレス観測
52	ISS滞在 Day52	0.14	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での中盤ストレス観測
53	ISS滞在 Day53	0.15	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での中盤ストレス観測
54	ISS滞在 Day54	0.15	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での中盤ストレス観測
55	ISS滞在 Day55	0.15	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での中盤ストレス観測
56	ISS滞在 Day56	0.15	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での中盤ストレス観測
57	ISS滞在 Day57	0.16	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での中盤ストレス観測
58	ISS滞在 Day58	0.16	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での中盤ストレス観測
59	ISS滞在 Day59	0.16	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での中盤ストレス観測
60	ISS滞在 Day60	0.16	日	0.003	ISS_100日_中盤ストレス	21:30-06:30	12:30+19:00	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での中盤ストレス観測
61	ISS滞在 Day61	0.17	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での後半再調整観測
62	ISS滞在 Day62	0.17	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での後半再調整観測
63	ISS滞在 Day63	0.17	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での後半再調整観測
64	ISS滞在 Day64	0.18	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での後半再調整観測
65	ISS滞在 Day65	0.18	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での後半再調整観測
66	ISS滞在 Day66	0.18	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での後半再調整観測
67	ISS滞在 Day67	0.18	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での後半再調整観測
68	ISS滞在 Day68	0.19	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での後半再調整観測
69	ISS滞在 Day69	0.19	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での後半再調整観測
70	ISS滞在 Day70	0.19	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での後半再調整観測
71	ISS滞在 Day71	0.19	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での後半再調整観測
72	ISS滞在 Day72	0.20	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での後半再調整観測
73	ISS滞在 Day73	0.20	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での後半再調整観測
74	ISS滞在 Day74	0.20	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での後半再調整観測
75	ISS滞在 Day75	0.21	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での後半再調整観測
76	ISS滞在 Day76	0.21	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での後半再調整観測
77	ISS滞在 Day77	0.21	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での後半再調整観測
78	ISS滞在 Day78	0.21	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での後半再調整観測
79	ISS滞在 Day79	0.22	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での後半再調整観測
80	ISS滞在 Day80	0.22	日	0.003	ISS_100日_後半再調整	22:30-06:00	19:00+感謝ログ2分	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での後半再調整観測
81	ISS滞在 Day81	0.22	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での帰還準備観測
82	ISS滞在 Day82	0.22	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での帰還準備観測
83	ISS滞在 Day83	0.23	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での帰還準備観測
84	ISS滞在 Day84	0.23	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での帰還準備観測
85	ISS滞在 Day85	0.23	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での帰還準備観測
86	ISS滞在 Day86	0.24	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での帰還準備観測
