国家コード	国名	国家構造の存続	領域安全保障	政権制度正統性	経済再生産	戦略的自律性	同盟抑止信頼	社会安定	技術主権	構造持続余力	目的関数メモ	重み出典種別	重み根拠_歴史と国家特性
USA	アメリカ	1.00	0.82	0.74	0.82	0.90	0.92	0.68	0.95	0.82	AI覇権と同盟信頼を維持しつつ、国内分断と生活費不満を抑える。	専門家判断+仮定	第二次大戦後の同盟秩序維持と技術覇権競争の歴史を重視
CHN	中国	1.00	0.92	0.94	0.88	0.95	0.42	0.90	0.92	0.78	体制正統性・台湾・雇用安定が強く結合する。	専門家判断+仮定	体制安定と領域課題、製造主導成長の継続を重視
JPN	日本	1.00	0.76	0.82	0.86	0.68	0.78	0.82	0.86	0.92	若者支援、防衛費、生活費、技術基盤の配分が中核制約。	専門家判断+仮定	少子高齢化、低成長、同盟依存、安全保障費増加を反映
TWN	台湾	1.00	0.98	0.82	0.84	0.92	0.88	0.78	0.98	0.80	領域安全保障と半導体継続がほぼ存続条件。	専門家判断+仮定	海峡緊張と半導体中核産業の地政学的重要性を反映
KOR	韓国	1.00	0.84	0.80	0.86	0.74	0.84	0.78	0.92	0.78	半導体、同盟、若者雇用、北朝鮮リスクを同時に管理する。	専門家判断+仮定	輸出主導製造業と安全保障リスクの近接性を反映
PRK	北朝鮮	1.00	0.98	0.98	0.46	0.90	0.40	0.88	0.40	0.42	体制存続と抑止力維持が最優先で、経済再生産は従属しやすい。	専門家判断+仮定	閉鎖的制度と軍事抑止依存を反映
RUS	ロシア	1.00	0.94	0.88	0.72	0.92	0.36	0.78	0.62	0.66	領域・体制正統性・資源収入の維持が強い。	専門家判断+仮定	資源国家、軍事大国、制裁下での制度存続を反映
UKR	ウクライナ	1.00	0.99	0.82	0.70	0.84	0.92	0.78	0.48	0.66	領域防衛、国際支援、復興可能性が存続条件。	専門家判断+仮定	戦争継続下の国家存続と支援依存を反映
IRN	イラン	1.00	0.86	0.92	0.62	0.90	0.36	0.80	0.54	0.62	体制存続、制裁耐性、地域影響力の維持が強い。	専門家判断+仮定	制裁下の地域大国としての行動制約を反映
ISR	イスラエル	1.00	0.98	0.80	0.76	0.84	0.86	0.76	0.88	0.70	領域安全保障、技術優位、同盟維持の重みが高い。	専門家判断+仮定	地域安全保障と先端技術国家の二重構造を反映
