step	agent_id	module_id	x	y	stress	is_isolated	active_event_ids
1	ISS00	crew_quarters	27.72	34.17	50.9	false	
1	ISS01	common_area	47.03	48.68	63.0	false	
1	ISS02	cupola	50.87	28.8	63.2	false	
1	ISS03	crew_quarters	27.72	31.83	70.4	true	
1	ISS04	cupola	49.09	27.21	33.7	false	
1	ISS05	crew_quarters	28.31	34.95	52.9	false	
1	ISS06	crew_quarters	25.6	32.59	45.1	false	
1	ISS07	common_area	48.82	55.55	38.7	false	
1	ISS08	lab_module	74.65	49.02	61.4	false	
1	ISS09	crew_quarters	25.14	34.27	37.4	false	
1	ISS10	lab_module	75.59	52.89	50.5	false	
1	ISS11	crew_quarters	26.95	31.67	53.8	false	
1	ISS12	lab_module	72.0	51.16	51.3	false	
1	ISS13	common_area	53.26	50.0	59.7	false	
1	ISS14	cupola	48.37	25.23	39.4	false	
1	ISS15	common_area	50.4	55.66	39.8	false	
1	ISS16	cupola	50.64	25.95	45.6	false	
1	ISS17	hab_module	24.06	50.38	47.5	false	
1	ISS18	cupola	51.83	28.03	39.1	false	
1	ISS19	common_area	48.82	44.45	47.5	false	
2	ISS00	common_area	51.61	48.74	55.4	false	
2	ISS01	crew_quarters	25.13	34.36	56.2	false	
2	ISS02	common_area	52.99	53.32	68.5	false	
2	ISS03	crew_quarters	26.8	31.66	70.0	true	
2	ISS04	hab_module	25.57	51.23	34.1	false	
2	ISS05	exercise_area	52.17	73.14	52.6	false	
2	ISS06	exercise_area	47.72	71.34	40.2	false	
2	ISS07	exercise_area	50.46	77.0	45.5	false	
2	ISS08	crew_quarters	27.35	33.67	56.5	false	
2	ISS09	lab_module	70.59	50.52	37.2	false	
2	ISS10	common_area	53.79	52.37	44.6	false	
2	ISS11	lab_module	72.03	45.43	55.4	false	
2	ISS12	crew_quarters	26.27	35.4	49.4	false	
2	ISS13	lab_module	75.81	49.12	61.4	false	
2	ISS14	common_area	45.92	48.18	43.5	false	
2	ISS15	lab_module	75.1	54.35	33.1	false	
2	ISS16	common_area	50.7	48.08	51.2	false	
2	ISS17	cupola	48.55	27.49	46.5	false	
2	ISS18	hab_module	30.33	51.03	40.3	false	
2	ISS19	exercise_area	48.05	70.01	46.4	false	
3	ISS00	common_area	51.11	48.28	53.8	false	
3	ISS01	hab_module	24.12	50.66	62.1	false	
3	ISS02	common_area	53.9	52.16	61.8	false	
3	ISS03	hab_module	25.29	45.5	73.6	false	
3	ISS04	crew_quarters	26.32	35.43	36.5	false	
3	ISS05	hab_module	29.26	48.98	57.0	false	
3	ISS06	common_area	45.83	48.4	42.4	false	
3	ISS07	crew_quarters	27.99	37.05	39.4	false	
3	ISS08	common_area	50.6	48.04	63.0	false	
3	ISS09	crew_quarters	25.34	35.31	34.0	false	
3	ISS10	exercise_area	52.9	73.92	51.4	false	
3	ISS11	exercise_area	47.89	70.11	50.9	false	
3	ISS12	lab_module	72.98	51.68	48.4	false	
3	ISS13	crew_quarters	28.03	33.5	62.5	true	
3	ISS14	common_area	45.55	49.61	42.6	false	
3	ISS15	hab_module	29.91	53.51	38.7	false	
3	ISS16	common_area	50.04	47.95	44.4	false	
3	ISS17	hab_module	24.87	51.95	50.6	false	
3	ISS18	crew_quarters	28.98	34.38	41.9	false	
3	ISS19	hab_module	23.13	46.96	44.6	false	
4	ISS00	cupola	50.25	25.76	51.6	false	
4	ISS01	common_area	47.27	51.77	58.4	false	
4	ISS02	cupola	52.2	27.14	68.5	false	
4	ISS03	common_area	46.59	45.47	67.8	false	
4	ISS04	hab_module	26.57	51.7	37.9	false	
4	ISS05	crew_quarters	27.98	33.43	55.3	false	
4	ISS06	hab_module	23.03	49.87	43.9	false	
4	ISS07	common_area	54.01	54.01	43.6	false	
4	ISS08	hab_module	26.69	48.3	56.3	false	
4	ISS09	common_area	47.86	52.46	39.6	false	
4	ISS10	crew_quarters	28.97	34.27	45.0	false	
4	ISS11	common_area	45.47	46.59	57.2	false	
4	ISS12	crew_quarters	26.93	35.51	45.8	false	
4	ISS13	lab_module	74.73	47.73	58.7	false	
4	ISS14	crew_quarters	24.58	35.04	39.6	false	
4	ISS15	crew_quarters	29.23	35.88	35.5	false	
4	ISS16	crew_quarters	26.43	33.53	51.0	false	
4	ISS17	common_area	48.62	52.95	44.5	false	
4	ISS18	hab_module	30.2	48.61	44.0	false	
4	ISS19	crew_quarters	24.1	33.48	49.1	false	
5	ISS00	lab_module	73.1	48.3	51.1	false	
5	ISS01	exercise_area	48.66	74.96	58.8	false	
5	ISS02	exercise_area	52.94	72.78	63.2	false	
5	ISS03	exercise_area	46.86	71.14	74.6	false	
5	ISS04	exercise_area	50.31	74.58	33.5	false	
5	ISS05	hab_module	28.11	47.65	54.2	false	
5	ISS06	crew_quarters	24.62	35.15	45.2	false	
5	ISS07	common_area	55.1	52.49	42.5	false	
5	ISS08	lab_module	72.64	48.41	61.9	false	
5	ISS09	common_area	48.78	53.02	32.8	false	
5	ISS10	common_area	54.05	48.11	49.6	false	
5	ISS11	hab_module	22.25	48.54	50.4	false	
5	ISS12	common_area	50.99	51.79	51.0	false	
5	ISS13	crew_quarters	27.14	32.92	58.5	true	
5	ISS14	lab_module	70.13	52.03	39.8	false	
5	ISS15	exercise_area	53.72	73.91	35.3	false	
5	ISS16	crew_quarters	26.13	33.68	46.0	false	
5	ISS17	exercise_area	49.77	75.41	51.4	false	
5	ISS18	crew_quarters	28.43	33.04	39.1	false	
5	ISS19	hab_module	22.03	49.84	48.7	false	
6	ISS00	crew_quarters	26.33	33.57	53.3	false	
6	ISS01	lab_module	72.37	52.56	61.3	false	
6	ISS02	common_area	53.94	47.9	65.0	false	
6	ISS03	crew_quarters	24.01	33.77	67.2	true	
6	ISS04	common_area	51.08	51.74	38.8	false	
6	ISS05	crew_quarters	27.06	32.9	50.7	false	
6	ISS06	hab_module	23.74	52.19	40.2	false	
6	ISS07	cupola	52.82	27.1	38.7	false	
6	ISS08	common_area	48.68	48.43	57.6	false	
6	ISS09	crew_quarters	26.66	36.13	38.4	false	
6	ISS10	common_area	53.21	46.9	46.9	false	
6	ISS11	lab_module	68.52	50.08	55.3	false	
6	ISS12	common_area	51.52	51.37	43.4	false	
6	ISS13	lab_module	73.01	47.3	61.0	false	
6	ISS14	crew_quarters	25.38	36.26	41.4	false	
6	ISS15	lab_module	77.92	49.26	38.5	false	
6	ISS16	common_area	48.3	48.86	47.3	false	
6	ISS17	crew_quarters	27.12	36.09	44.2	false	
6	ISS18	common_area	52.23	46.13	44.6	false	
6	ISS19	cupola	47.29	27.58	44.7	false	
7	ISS00	lab_module	72.09	48.75	54.0	false	
7	ISS01	crew_quarters	26.75	36.13	60.5	true	
7	ISS02	lab_module	75.79	47.28	65.7	false	
7	ISS03	common_area	44.34	50.4	71.9	false	
7	ISS04	lab_module	74.58	51.07	32.0	false	
7	ISS05	common_area	49.55	46.78	55.8	false	
7	ISS06	crew_quarters	25.47	36.33	40.2	false	
7	ISS07	hab_module	31.37	49.02	38.8	false	
7	ISS08	crew_quarters	25.87	33.97	57.6	false	
7	ISS09	exercise_area	50.6	75.34	33.3	false	
7	ISS10	cupola	51.01	24.76	44.9	false	
7	ISS11	common_area	44.67	51.94	51.5	false	
7	ISS12	cupola	50.94	27.15	50.1	false	
7	ISS13	crew_quarters	26.09	33.01	55.2	false	
7	ISS14	lab_module	72.04	53.52	42.7	false	
7	ISS15	crew_quarters	29.25	33.17	37.0	false	
7	ISS16	lab_module	71.6	49.56	48.6	false	
7	ISS17	common_area	51.72	52.76	48.4	false	
7	ISS18	lab_module	73.96	46.35	37.8	false	
7	ISS19	common_area	45.41	53.33	50.1	false	
8	ISS00	exercise_area	48.8	72.61	50.1	false	
8	ISS01	lab_module	74.13	52.56	58.6	false	
8	ISS02	cupola	50.91	24.71	60.9	false	
8	ISS03	common_area	44.78	52.22	70.1	false	
8	ISS04	hab_module	28.35	50.58	38.0	false	
8	ISS05	common_area	48.52	47.1	49.2	false	
8	ISS06	hab_module	25.72	53.58	43.6	false	
8	ISS07	crew_quarters	29.18	33.04	41.4	false	
8	ISS08	hab_module	25.08	49.65	61.6	false	
8	ISS09	common_area	51.87	52.67	35.7	false	
8	ISS10	hab_module	27.27	46.32	44.2	false	
8	ISS11	exercise_area	47.06	75.63	52.1	false	
8	ISS12	exercise_area	51.36	73.35	44.7	false	
8	ISS13	exercise_area	48.52	71.66	62.0	false	
8	ISS14	exercise_area	50.0	76.23	38.3	false	
8	ISS15	lab_module	76.47	46.54	35.7	false	
8	ISS16	crew_quarters	25.73	34.57	50.1	false	
8	ISS17	common_area	52.53	52.05	47.2	false	
8	ISS18	hab_module	26.23	46.32	43.6	false	
8	ISS19	common_area	46.75	54.65	43.4	false	
9	ISS00	common_area	47.98	49.68	56.9	false	
9	ISS01	cupola	51.0	28.03	57.6	false	
9	ISS02	common_area	50.39	45.55	74.8	false	CONF01
9	ISS03	cupola	47.89	28.65	69.0	false	
9	ISS04	common_area	52.05	50.04	34.9	false	
9	ISS05	cupola	48.83	25.62	56.8	false	
9	ISS06	common_area	50.23	54.46	38.7	false	
9	ISS07	common_area	53.65	45.65	54.4	false	CONF01
9	ISS08	crew_quarters	25.73	34.62	61.1	true	
9	ISS09	hab_module	28.94	51.59	37.8	false	
9	ISS10	crew_quarters	26.32	32.31	48.4	false	
9	ISS11	hab_module	24.24	54.01	56.3	false	
9	ISS12	common_area	51.98	49.47	48.5	false	
9	ISS13	hab_module	24.36	48.73	56.4	false	
9	ISS14	common_area	51.45	54.22	45.4	false	
9	ISS15	crew_quarters	27.9	31.91	34.2	false	
9	ISS16	lab_module	71.68	50.67	46.8	false	
9	ISS17	cupola	51.53	27.31	45.4	false	
9	ISS18	common_area	47.97	46.02	41.0	false	
9	ISS19	crew_quarters	25.97	37.23	50.9	false	
10	ISS00	exercise_area	48.66	73.49	55.3	false	
10	ISS01	common_area	52.73	51.77	56.0	false	
10	ISS02	common_area	48.92	45.67	79.3	false	CONF01
10	ISS03	common_area	47.25	54.96	70.0	false	
10	ISS04	hab_module	28.37	49.47	33.9	false	
10	ISS05	crew_quarters	25.27	33.81	52.6	false	
10	ISS06	common_area	51.67	54.14	40.0	false	
10	ISS07	common_area	52.03	44.7	56.4	false	CONF01
10	ISS08	hab_module	25.22	50.75	56.4	false	
10	ISS09	common_area	53.11	50.95	36.9	false	
10	ISS10	hab_module	24.89	46.78	44.5	false	
10	ISS11	common_area	48.72	55.53	55.2	false	
10	ISS12	cupola	50.85	26.18	49.4	false	
10	ISS13	lab_module	70.57	49.58	61.1	false	
10	ISS14	cupola	51.37	28.51	43.4	false	
10	ISS15	common_area	50.49	44.35	32.9	false	
10	ISS16	crew_quarters	25.99	35.18	51.0	false	
10	ISS17	crew_quarters	28.38	34.53	46.5	false	
10	ISS18	crew_quarters	25.14	32.95	40.0	false	
10	ISS19	crew_quarters	26.9	37.33	46.4	false	
11	ISS00	crew_quarters	25.86	35.0	55.1	false	
11	ISS01	cupola	51.58	27.14	58.8	false	
11	ISS02	common_area	47.57	46.26	59.2	false	REPE01
11	ISS03	hab_module	25.93	54.66	73.2	false	
11	ISS04	common_area	51.63	48.77	32.9	false	
11	ISS05	hab_module	24.05	49.72	51.4	false	
11	ISS06	crew_quarters	28.21	36.18	38.3	false	
11	ISS07	common_area	50.2	44.33	38.0	false	REPE01
11	ISS08	common_area	48.55	51.45	61.2	false	
11	ISS09	hab_module	29.46	49.91	31.5	false	
11	ISS10	common_area	46.63	47.07	49.1	false	
11	ISS11	crew_quarters	27.05	37.32	48.8	false	
11	ISS12	common_area	51.23	48.37	49.0	false	
11	ISS13	cupola	48.4	27.03	58.4	false	
11	ISS14	lab_module	76.37	52.03	43.9	false	
11	ISS15	cupola	49.31	24.0	35.3	false	
11	ISS16	common_area	49.01	51.79	43.7	false	
11	ISS17	hab_module	29.33	49.16	50.0	false	
11	ISS18	common_area	45.95	48.11	38.5	false	
11	ISS19	hab_module	28.52	54.38	45.9	false	
12	ISS00	exercise_area	49.09	74.26	51.7	false	
12	ISS01	crew_quarters	28.37	34.36	55.3	false	
12	ISS02	common_area	46.48	47.25	61.5	false	REPE01
12	ISS03	common_area	50.89	55.6	67.5	false	
12	ISS04	hab_module	27.7	48.59	38.4	false	
12	ISS05	common_area	46.83	50.73	49.5	false	
12	ISS06	hab_module	29.97	51.86	41.1	false	
12	ISS07	common_area	48.34	44.57	42.1	false	REPE01
12	ISS08	crew_quarters	26.3	35.42	58.3	true	
12	ISS09	common_area	53.04	48.83	37.4	false	
12	ISS10	hab_module	23.3	48.61	47.8	false	
12	ISS11	exercise_area	51.6	76.68	54.1	false	
12	ISS12	exercise_area	50.42	71.95	43.1	false	
12	ISS13	crew_quarters	25.33	35.29	61.2	true	
12	ISS14	exercise_area	52.89	73.97	39.8	false	
12	ISS15	lab_module	70.68	46.04	32.5	false	
12	ISS16	crew_quarters	26.57	35.51	45.6	false	
12	ISS17	common_area	52.6	48.04	44.5	false	
12	ISS18	common_area	45.56	49.53	44.2	false	
12	ISS19	lab_module	76.35	53.57	43.6	false	
13	ISS00	crew_quarters	26.35	35.44	55.7	false	
13	ISS01	common_area	52.97	48.68	56.4	false	
13	ISS02	common_area	45.78	48.55	60.7	false	REPE01
13	ISS03	crew_quarters	28.08	37.0	67.8	true	
13	ISS04	crew_quarters	27.01	33.51	33.6	false	
13	ISS05	common_area	47.24	51.72	55.6	false	
13	ISS06	lab_module	76.9	50.71	37.4	false	
13	ISS07	common_area	46.67	45.41	40.4	false	REPE01
13	ISS08	cupola	49.88	27.77	59.9	false	
13	ISS09	crew_quarters	28.0	33.45	36.5	false	
