分類コード	分類名	対象年齢帯	主な状態	代表的な制約	初期評価の傾向	備考
区分1	都市部の高校・高専在学層	15-17歳	進学や技術習得の経路が比較的見えている	進路選択の早期化、将来職業の不確実性	良好または中立	実家同居を基本とし、家計制約は比較的小さい層
区分2	地方の高校・高専在学制約層	15-19歳	在学中だが家計や通学、進路未定の負荷がある	地域の選択肢不足、家計制約、移動負担	注意	将来経路が閉じると危険へ移りやすい層
区分3	高卒若年就業初期層	18-20歳	早期に就業し生活基盤を作り始めている	賃金上昇経路の弱さ、再学習機会の不足	注意	雇用が安定すれば中立から良好へ移れる層
区分4	都市部の大学・専門学校在学層	20-24歳	進学後の専門性形成と就職準備の途中	奨学金負担、専攻と雇用市場のずれ、住居費	中立または注意	進路可視性と負債負担で評価が分かれる層
区分5	都市部の正規雇用初期層	23-24歳	正規雇用に入り自己効力感が比較的高い	将来の職務自動化、都市部生活費	良好	構造持続活動が入ると発信役になりやすい層
区分6	都市部の非正規・ギグ就労層	22-24歳	収入や契約が不安定で将来設計が難しい	雇用安定性の低さ、住居費、社会保障接続の弱さ	注意または危険	怒りが制度変革行動に向く可能性がある層
区分7	都市部の無業・就職活動層	20-24歳	就職活動中だが経路と自己効力感が低下している	採用市場不安、自己効力感低下、孤立	危険	早期の役割回復が重要な層
区分8	若年家族ケア在宅層	20-24歳	家族ケアと短時間就労が重なっている	時間制約、移動制約、ケア責任の不可視化	危険	構造持続クレジットの効果を見やすい層
区分9	正規雇用安定層	25-29歳	地方・都市で正規雇用に入り生活基盤がある	職務自動化、地域産業の変化、子育て費用	良好または中立	制度更新の担い手にも受益者にもなる層
区分10	二十代後半の非正規・季節就労層	25-29歳	収入変動が大きく将来経路が見えにくい	低所得、雇用継続不安、地域経済依存	危険	介入なしでは諦念や喪失感に寄りやすい層
区分11	子育て初期世帯層	28-29歳	子育てと就業の両立に入っている	住居費、保育負担、時間不足、ケア責任	中立または注意	子ども意向と実際の子育て可能性の差を見る層
区分12	無業・療養調整層	25-29歳	心身の調整や療養により社会参加が弱まっている	健康制約、孤立、制度接続の弱さ	危険	最低保障だけでなく再参加経路が必要な層
区分13	若年家族ケア中核層	25-29歳	家族ケアの中心を担い、就労が制限されている	重いケア責任、所得制約、将来経路の閉塞	危険	ケアを構造持続活動として評価できるかを見る層
